api_request_bytes,attempt,background,background_warnings,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_evidence_warnings,kv_response_bytes,load_warnings,median_tcp_rtt_ms,migration_s,movement_tokens,pack,policy,realized_shed_w,repeat,request_failures,requested_shed_w,retransmissions,scenario_id,session_count,status,target_met,workload
658600,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,True,45,"east,germany",,0,0,0,,11.730743259,648131,recorded-28-seed-8,replay_only,26.136110385313458,1,0,37.113979472624806,0,9a64f1aae499b9f0,28,complete,False,agentic_tool_loop
3123316,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,False,45,"east,germany",,0,22838016135,0,,91.895969984,648131,recorded-28-seed-8,queue_haul_deadline_blind,38.94752224897253,1,0,37.113979472624806,0,8f6cf7d88edac910,28,complete,True,agentic_tool_loop
1256220,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,True,45,"east,germany",,0,8153737992,0,,22.250124974,648131,recorded-28-seed-8,greedy,41.765823463220215,2,0,37.113979472624806,0,68524e09b9ce0538,28,complete,True,agentic_tool_loop
1173388,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,True,45,"east,germany",,0,6077554707,0,,19.287079977,648131,recorded-28-seed-8,queue_haul_power_blind,21.06172073787903,2,0,37.113979472624806,0,b2ea19029fabfa28,28,complete,False,agentic_tool_loop
803036,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,True,45,"east,germany",,0,5662318050,0,,21.680018244,648131,recorded-28-seed-8,kv_only,24.483280675822215,2,0,37.113979472624806,0,e68c7133cedbef2b,28,complete,False,agentic_tool_loop
1273826,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,True,45,"east,germany",,0,7663003761,0,,28.945859801,648131,recorded-28-seed-8,isolated_fastest,32.513380781045655,2,0,37.113979472624806,0,bc07149ceb10089b,28,complete,False,agentic_tool_loop
3115498,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,False,45,"east,germany",,0,22838016135,0,,91.029687957,648131,recorded-28-seed-8,queue_haul_deadline_blind,38.94752224897253,2,0,37.113979472624806,0,afafbc0cf95634fb,28,complete,True,agentic_tool_loop
1505010,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,True,45,"east,germany",,0,9172955241,0,,31.933118792,648131,recorded-28-seed-8,queue_haul,47.72395920282574,2,0,37.113979472624806,0,07f97cf5d00ec7f3,28,complete,True,agentic_tool_loop
658599,1,"{""east"": [0.25, 0], ""germany"": [0.95, 0]}",0,natural,0,True,45,"east,germany",,0,0,0,,11.60030262,648131,recorded-28-seed-8,replay_only,26.136110385313458,2,0,37.113979472624806,0,aae6ccf9e2e5c73f,28,complete,False,agentic_tool_loop
2779078,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,False,45,germany,,0,22838016135,0,,47.85502292,648131,recorded-28-seed-8,queue_haul_deadline_blind,58.00102458818654,0,0,47.6296069898685,0,5d951ecb135eb2a2,28,complete,True,agentic_tool_loop
1884697,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,12230606988,0,,30.084837342,648131,recorded-28-seed-8,queue_haul,55.91862816438437,0,0,47.6296069898685,0,c85dce2c7e383d4b,28,complete,True,agentic_tool_loop
1250851,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,germany,,0,7625254974,0,,21.474809203,648131,recorded-28-seed-8,isolated_fastest,41.87514466853774,0,0,47.6296069898685,0,00cf162b4e3ce847,28,complete,False,agentic_tool_loop
1631120,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,10468996928,0,,22.686382935,648131,recorded-28-seed-8,greedy,53.719362633651315,0,0,47.6296069898685,0,1625f505cb602403,28,complete,True,agentic_tool_loop
1010227,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,8883547874,0,,14.387302164,648131,recorded-28-seed-8,kv_only,32.359476699170685,0,0,47.6296069898685,0,b9d71fa66b5055a6,28,complete,False,agentic_tool_loop
661109,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,0,0,,10.509223572,648131,recorded-28-seed-8,replay_only,26.314278650408568,0,0,47.6296069898685,0,a7f37d3a44d2ef89,28,complete,False,agentic_tool_loop
1944055,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,12079611840,0,,34.645621305,648131,recorded-28-seed-8,queue_haul_power_blind,34.7217852322603,0,0,47.6296069898685,0,a0e6ac059d669b65,28,complete,False,agentic_tool_loop
1651439,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,10468996928,0,,23.854747838,648131,recorded-28-seed-8,greedy,53.719362633651315,1,0,47.6296069898685,0,429795467b8992a9,28,complete,True,agentic_tool_loop
657983,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,0,0,,10.540011837,648131,recorded-28-seed-8,replay_only,26.314278650408568,1,0,47.6296069898685,0,d2472d92459fe2e3,28,complete,False,agentic_tool_loop
2919802,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,False,45,germany,,0,22838016135,0,,55.319965762,648131,recorded-28-seed-8,queue_haul_deadline_blind,34.02193358176153,1,0,47.6296069898685,0,364fa38e085cb5ba,28,complete,False,agentic_tool_loop
1278985,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,germany,,0,7625254974,0,,22.514510645,648131,recorded-28-seed-8,isolated_fastest,41.87514466853774,1,0,47.6296069898685,0,1dffe49a6c2b5fa3,28,complete,False,agentic_tool_loop
1943914,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,12079611840,0,,34.895954536,648131,recorded-28-seed-8,queue_haul_power_blind,34.7217852322603,1,0,47.6296069898685,0,5f6a7fb1d14cb5a6,28,complete,False,agentic_tool_loop
1904875,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,12230606988,0,,30.490543137,648131,recorded-28-seed-8,queue_haul,55.91862816438437,1,0,47.6296069898685,0,57e29f55681677af,28,complete,True,agentic_tool_loop
1043050,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,8883547874,0,,14.51674895,648131,recorded-28-seed-8,kv_only,32.359476699170685,1,0,47.6296069898685,0,39df150d2d78d8f4,28,complete,False,agentic_tool_loop
1261792,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,germany,,0,7625254974,0,,21.317456946,648131,recorded-28-seed-8,isolated_fastest,41.87514466853774,2,0,47.6296069898685,0,62a7c9ae0ecc52e6,28,complete,False,agentic_tool_loop
1895356,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,12230606988,0,,29.897201301,648131,recorded-28-seed-8,queue_haul,55.91862816438437,2,0,47.6296069898685,0,195dae8491bd1f75,28,complete,True,agentic_tool_loop
1033672,1,"{""east"": [0.9, 0], ""germany"": [0.25, 0]}",0,natural,1,True,45,"east,germany",,0,8883547874,0,,14.582640755,648131,recorded-28-seed-8,kv_only,32.359476699170685,2,0,47.6296069898685,0,d55f54f304321b40,28,complete,False,agentic_tool_loop
