schema,plan_sha256,cell_id,model,revision,offered_rps,repeat,status,offered,completed,failed,exact_timing,p90_ttft_s,p90_tpot_s,tpot_samples,scheduled_span_s,actual_start_span_s,max_send_lateness_s,peak_running_requests,peak_waiting_requests,drained,engine_exited,client_error,sampler_error,source_schema,source_plan_sha256,source_result_sha256,source_requests_sha256,source_label,source_root
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps0p125-b0,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,0.125,0,recorded,32,32,0,31,0.28936679210000005,0.0320430686,31713,163.520773527,163.516123078,0.034413609,11.0,0.0,True,False,,,queue-haul-agentic-rps-sweep-v1,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,490fe1c6520dcdc95d69c6e46e290af55f6565f2abfc21b3051fa84c46b7eec2,77a0f6f09f6db4409110f5ea5910cec68a5b04b44e2d72df25893822b6f8bb38,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps0p25-b0,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,0.25,0,recorded,32,32,0,32,0.2844409529,0.0316628475,32736,93.172083978,93.162877753,0.023255204,16.0,0.0,True,False,,,queue-haul-agentic-rps-sweep-v1,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,55ec32fffc91d7385a490bdee39e68b7091dc069443a0ab1bb5f2eeaedcc82b8,6438cec9b6da73cc48d7b0ef49b29593e36222f065b17c148a3e4ded6acfc990,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps0p5-b0,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,0.5,0,recorded,32,32,0,32,0.2866771014,0.033193318,32736,48.644541285,48.643801422,0.010285428,24.0,0.0,True,False,,,queue-haul-agentic-rps-sweep-v1,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,f239d1a5f5e011af3201aecc8d0be02d7f3773ac9c73a52cecfc95e48f71f8be,832e4e5d4db4c225e3c0eeb732f524f7ac96560bf0c4f872a514fa79f63bce0b,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps1-b0,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,1.0,0,recorded,32,32,0,32,0.5160017118,0.032261033499999994,32736,38.480766275,38.478615814,0.010005026,28.0,0.0,True,False,,,queue-haul-agentic-rps-sweep-v1,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,5d9628acac6b312ef5cb77f604adda7f216e6dffc5332b58cbda441b18242654,7de29d92cc3b7111b35feb7124b8acb53cd9da0c61e6be0aad18d3f99634458e,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps2-b0,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,2.0,0,recorded,32,32,0,32,0.5766496586000001,0.032539165499999995,32736,16.659754033,16.659237484,0.005697027,32.0,0.0,True,False,,,queue-haul-agentic-rps-sweep-v1,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,7b1b955d6f572f6beb51234e6d460ba8fe6653714acc78c0ee505757356ecfbe,d59684f888cab99a64ffa1ff1978279fc637f28d44b69575defec7adac30f9e2,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps3-b0,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,3.0,0,recorded,32,32,0,32,0.9597274000000001,0.0314652235,32736,10.826639115,10.826095855,0.004183069,32.0,0.0,True,False,,,queue-haul-agentic-rps-sweep-v2,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,8ec5970e57f22b9909a75dab9ddb0b93c69d4fdd5b075cee697f44d8e392b4a1,73df1cf319fdf75f50e339b25a10ab1e4a181f2fe8c13f7b8f92683fef102ca8,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps4-b0,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,4.0,0,recorded,32,32,0,32,1.0534041472000002,0.03271145,32736,8.760765399,8.761007901,0.003987289,32.0,0.0,True,False,,,queue-haul-agentic-rps-sweep-v1,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,4515896cd7b19712d0cc0dd4ef28ee595b784b1103cc7215e9a388b53bdb37c1,b690a42e72de0a7445bb064e0ca916f032056cf1d783e65d4c42ffabb0742212,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps4-b1,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,4.0,1,recorded,32,32,0,32,0.7640908541,0.032300264499999995,32736,9.420168327,9.419021548,0.004088026,32.0,0.0,True,False,,,queue-haul-agentic-rps-sweep-v1,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,057785879f382917873cc8b6c888778b256c1fb24b28d0fa78f78ec98d7a808a,5e66ebed5065cd6eb04d10635d8ffdc7c59da2397916bbcc83af97bdec4b922a,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps4-b2,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,4.0,2,recorded,32,32,0,32,2.1190380559,0.0327223935,32736,7.315855357,7.314179954,0.00697928,32.0,4.0,True,False,,,queue-haul-agentic-rps-sweep-v1,4709014a6cbaa32104531be1c9e0482094a4f3ac6d155fb44d015f13473b67ed,708bc32a006f48729e2b46a4e96505c32979e8c1fafe9837b4d2361b58e407c1,ea0dcd6ed2c115642e51a626a11262077244759cfcf32f237520eb8262a9ccf7,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
queue-haul-agentic-rps-sweep-v3,362af5ca07b59f83b9ac5f610f4f225c7539b89cf7bfa98a3d8e44e250dedcf7,openai-gpt-oss-20b-rps5-b0,openai/gpt-oss-20b,6cee5e81ee83917806bbde320786a8fb61efebee,5.0,0,recorded,32,32,0,32,1.1593170931,0.032051513000000004,32736,6.9511965,6.950474931,0.002999136,32.0,1.0,True,False,,,queue-haul-agentic-rps-sweep-v2,194ad7d6e376e903fb7ce3db7f40df925942f8cb21b91e2d6fb890a39825512d,b6c99748b2c01ed4d88c69af75c29e4dec04d9ecfce981ed107f49a0f38597f5,0a0f1d5536a8d94c5edced97b09462c736b6bc893e8601830b2e859b31d9ee5c,swedencentral,/datadrive/qh-agentic-rps-sweep-a100-dense-20260817-sweden/cells
