step,coding_progress,overall_progress,coding_drop_marker
0,0.0,0.0,0
2,0.0,0.0,0
7,1.0,1.0,0
8,0.5,0.5,1
21,1.0,1.0,0
22,0.6666666666666666,0.6666666666666666,1
23,1.0,1.0,0
26,0.6666666666666666,0.6666666666666666,1
27,1.0,1.0,0
28,0.75,0.75,1
29,1.0,1.0,0
30,1.0,0.8,0
32,1.0,1.0,0
