step,coding_progress,overall_progress,coding_drop_marker
0,0.0,0.0,0
2,0.0,0.0,0
11,1.0,1.0,0
12,0.5,0.5,1
14,0.3333333333333333,0.3333333333333333,1
15,0.6666666666666666,0.6666666666666666,0
16,0.6666666666666666,0.75,0
