step,coding_progress,overall_progress,coding_drop_marker
0,0.0,0.0,0
2,0.0,0.0,0
23,1.0,1.0,0
24,0.5,0.5,1
25,1.0,1.0,0
26,0.6666666666666666,0.6666666666666666,1
27,1.0,1.0,0
28,0.75,0.75,1
39,1.0,1.0,0
40,0.8,0.8,1
41,1.0,1.0,0
42,1.0,1.0,0
