step,coding_progress,overall_progress,coding_drop_marker
0,0.0,0.0,0
2,0.0,0.0,0
9,1.0,1.0,0
10,0.5,0.5,1
15,1.0,1.0,0
16,0.6666666666666666,0.6666666666666666,1
19,1.0,1.0,0
22,0.6666666666666666,0.6666666666666666,1
27,1.0,1.0,0
30,0.75,0.75,1
33,1.0,1.0,0
34,0.8,0.8,1
35,1.0,1.0,0
36,1.0,1.0,0
