timestamp,index,power_w,util_gpu,memory_mib
2026/07/14 17:49:56.055, 0, 88.97, 98, 73631
2026/07/14 17:49:56.057, 1, 88.69, 0, 74059
2026/07/14 17:49:56.307, 0, 381.91, 28, 74277
2026/07/14 17:49:56.307, 1, 88.69, 0, 74059
2026/07/14 17:49:56.558, 0, 387.06, 100, 74277
2026/07/14 17:49:56.558, 1, 88.69, 0, 74059
2026/07/14 17:49:56.808, 0, 377.90, 100, 74277
2026/07/14 17:49:56.808, 1, 88.42, 0, 74059
2026/07/14 17:49:57.058, 0, 358.03, 96, 74277
2026/07/14 17:49:57.058, 1, 88.42, 0, 74059
2026/07/14 17:49:57.308, 0, 364.09, 100, 74277
2026/07/14 17:49:57.308, 1, 88.42, 0, 74059
2026/07/14 17:49:57.559, 0, 135.00, 88, 74277
2026/07/14 17:49:57.559, 1, 88.18, 0, 74059
2026/07/14 17:49:57.809, 0, 368.53, 28, 74277
2026/07/14 17:49:57.809, 1, 88.09, 0, 74059
2026/07/14 17:49:58.059, 0, 401.11, 100, 74277
2026/07/14 17:49:58.059, 1, 87.77, 0, 74059
2026/07/14 17:49:58.309, 0, 386.34, 100, 74277
2026/07/14 17:49:58.309, 1, 88.09, 0, 74059
2026/07/14 17:49:58.560, 0, 358.03, 100, 74277
2026/07/14 17:49:58.560, 1, 87.77, 0, 74059
2026/07/14 17:49:58.810, 0, 359.22, 100, 74277
2026/07/14 17:49:58.810, 1, 87.77, 0, 74059
2026/07/14 17:49:59.060, 0, 371.68, 100, 74277
2026/07/14 17:49:59.060, 1, 87.77, 0, 74059
2026/07/14 17:49:59.310, 0, 324.59, 100, 74277
2026/07/14 17:49:59.310, 1, 87.77, 0, 74059
2026/07/14 17:49:59.560, 0, 147.63, 32, 74277
2026/07/14 17:49:59.561, 1, 87.27, 0, 74059
2026/07/14 17:49:59.811, 0, 143.13, 32, 74277
2026/07/14 17:49:59.811, 1, 86.99, 0, 74059
2026/07/14 17:50:00.061, 0, 136.46, 36, 74277
2026/07/14 17:50:00.061, 1, 86.67, 0, 74059
2026/07/14 17:50:00.311, 0, 137.71, 34, 74277
2026/07/14 17:50:00.311, 1, 86.67, 0, 74059
2026/07/14 17:50:00.561, 0, 135.86, 35, 74277
2026/07/14 17:50:00.562, 1, 86.67, 0, 74059
2026/07/14 17:50:00.812, 0, 390.56, 48, 74277
2026/07/14 17:50:00.812, 1, 86.58, 0, 74059
2026/07/14 17:50:01.062, 0, 404.73, 100, 74277
2026/07/14 17:50:01.062, 1, 86.58, 0, 74059
2026/07/14 17:50:01.312, 0, 398.08, 100, 74277
2026/07/14 17:50:01.312, 1, 86.58, 0, 74059
2026/07/14 17:50:01.562, 0, 382.12, 96, 74277
2026/07/14 17:50:01.562, 1, 86.31, 0, 74059
2026/07/14 17:50:01.813, 0, 388.77, 100, 74277
2026/07/14 17:50:01.813, 1, 86.31, 0, 74059
2026/07/14 17:50:02.063, 0, 401.20, 100, 74277
2026/07/14 17:50:02.063, 1, 86.31, 0, 74059
2026/07/14 17:50:02.313, 0, 388.26, 100, 74277
2026/07/14 17:50:02.313, 1, 86.31, 0, 74059
2026/07/14 17:50:02.563, 0, 355.00, 100, 74277
2026/07/14 17:50:02.563, 1, 86.31, 0, 74059
2026/07/14 17:50:02.814, 0, 398.49, 100, 74277
2026/07/14 17:50:02.814, 1, 86.31, 0, 74059
2026/07/14 17:50:03.064, 0, 374.86, 100, 74277
2026/07/14 17:50:03.064, 1, 86.31, 0, 74059
2026/07/14 17:50:03.314, 0, 361.33, 93, 74277
2026/07/14 17:50:03.314, 1, 86.31, 0, 74059
2026/07/14 17:50:03.564, 0, 342.93, 100, 74277
2026/07/14 17:50:03.564, 1, 86.31, 0, 74059
2026/07/14 17:50:03.815, 0, 364.03, 100, 74277
2026/07/14 17:50:03.815, 1, 85.99, 0, 74059
2026/07/14 17:50:04.065, 0, 344.80, 100, 74277
2026/07/14 17:50:04.065, 1, 85.99, 0, 74059
2026/07/14 17:50:04.315, 0, 362.84, 100, 74277
2026/07/14 17:50:04.315, 1, 85.99, 0, 74059
2026/07/14 17:50:04.565, 0, 343.01, 100, 74277
2026/07/14 17:50:04.565, 1, 85.99, 0, 74059
2026/07/14 17:50:04.816, 0, 145.24, 100, 74277
2026/07/14 17:50:04.816, 1, 85.99, 0, 74059
2026/07/14 17:50:05.066, 0, 151.27, 55, 74277
2026/07/14 17:50:05.066, 1, 86.08, 0, 74059
2026/07/14 17:50:05.316, 0, 155.82, 39, 74277
2026/07/14 17:50:05.316, 1, 86.08, 0, 74059
2026/07/14 17:50:05.566, 0, 144.92, 39, 74277
2026/07/14 17:50:05.566, 1, 85.99, 0, 74059
2026/07/14 17:50:05.816, 0, 145.24, 39, 74277
2026/07/14 17:50:05.817, 1, 85.67, 0, 74059
2026/07/14 17:50:06.067, 0, 145.84, 39, 74277
2026/07/14 17:50:06.067, 1, 85.75, 0, 74059
2026/07/14 17:50:06.320, 0, 392.94, 47, 74277
2026/07/14 17:50:06.321, 1, 90.20, 0, 74059
2026/07/14 17:50:06.571, 0, 392.94, 100, 74277
2026/07/14 17:50:06.571, 1, 85.67, 0, 74059
2026/07/14 17:50:06.821, 0, 380.33, 100, 74277
2026/07/14 17:50:06.821, 1, 85.67, 0, 74059
2026/07/14 17:50:07.071, 0, 384.55, 95, 74277
2026/07/14 17:50:07.071, 1, 85.67, 0, 74059
2026/07/14 17:50:07.321, 0, 364.03, 100, 74277
2026/07/14 17:50:07.322, 1, 85.67, 0, 74059
2026/07/14 17:50:07.572, 0, 351.96, 100, 74277
2026/07/14 17:50:07.572, 1, 85.67, 0, 74059
2026/07/14 17:50:07.822, 0, 376.37, 100, 74277
2026/07/14 17:50:07.822, 1, 85.39, 0, 74059
2026/07/14 17:50:08.072, 0, 380.60, 100, 74277
2026/07/14 17:50:08.072, 1, 85.67, 0, 74059
2026/07/14 17:50:08.322, 0, 385.82, 100, 74277
2026/07/14 17:50:08.323, 1, 85.39, 0, 74059
2026/07/14 17:50:08.573, 0, 359.81, 100, 74277
2026/07/14 17:50:08.573, 1, 85.39, 0, 74059
2026/07/14 17:50:08.823, 0, 398.08, 100, 74277
2026/07/14 17:50:08.823, 1, 85.39, 0, 74059
2026/07/14 17:50:09.073, 0, 348.34, 92, 74277
2026/07/14 17:50:09.073, 1, 85.39, 0, 74059
2026/07/14 17:50:09.323, 0, 405.60, 100, 74277
2026/07/14 17:50:09.323, 1, 85.39, 0, 74059
2026/07/14 17:50:09.574, 0, 343.01, 100, 74277
2026/07/14 17:50:09.574, 1, 85.39, 0, 74059
2026/07/14 17:50:09.824, 0, 348.71, 100, 74277
2026/07/14 17:50:09.824, 1, 85.39, 0, 74059
