phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,296.80033333333336
baseline,1,240,240,1.0,83.34616666666666
drain,0,365,365,1.0,97.1652602739726
drain,1,365,365,1.0,303.91904109589046
post,0,240,240,1.0,88.45354166666667
post,1,240,240,1.0,341.36099999999993
