stratum,bin,n,mean_predicted_p,observed_rate
pooled,0,334283,0.05864605710394563,0.08099723886646942
pooled,1,493606,0.14892603472278673,0.18778337378394913
pooled,2,460005,0.2510274195067835,0.28462081933892025
pooled,3,358650,0.3518927673424668,0.38562107904642406
pooled,4,289604,0.44375568379397107,0.4753490973881576
pooled,5,392096,0.5524893300559471,0.585729005141598
pooled,6,402742,0.6455372626565631,0.6641795491903005
pooled,7,467714,0.7527867816722069,0.7738489760836751
pooled,8,654028,0.8539856780398744,0.867201404221226
pooled,9,2017457,0.971518912808247,0.9759870966270905
swe-agent,0,320695,0.058263107505243494,0.07926534557757371
swe-agent,1,444973,0.1484644096523354,0.18766756634672216
swe-agent,2,405429,0.25129599688126114,0.285976089524923
swe-agent,3,306679,0.3525514536932518,0.3884876369102547
swe-agent,4,239202,0.4426012924736723,0.47668497755035494
swe-agent,5,355408,0.5531549456015061,0.5887290100391662
swe-agent,6,353273,0.6452160819465101,0.6644096775015357
swe-agent,7,424792,0.7535437366291144,0.7761280815081263
swe-agent,8,602796,0.854577773532453,0.8680946787968069
swe-agent,9,1869363,0.9719411228744762,0.9766893856356417
swe-agent x long,0,202294,0.06158334092377857,0.09536615025655729
swe-agent x long,1,287794,0.14953412900164684,0.2070369778383149
swe-agent x long,2,248958,0.24965172712454178,0.2692381847540549
swe-agent x long,3,189460,0.3496673753205962,0.3402881874802069
swe-agent x long,4,155664,0.44535232126316704,0.4168786617329633
swe-agent x long,5,213328,0.5524550312594377,0.4927060676516913
swe-agent x long,6,195436,0.6473896377570084,0.5534753064941976
swe-agent x long,7,247755,0.7516787162706853,0.6672963209622409
swe-agent x long,8,355935,0.8526498624492413,0.7848904996698836
swe-agent x long,9,1297838,0.9726829359167902,0.9666691836731549
swe-agent x short,0,44769,0.05049849063303547,0.0570930777993701
swe-agent x short,1,53815,0.14023042416152576,0.15137043575211373
swe-agent x short,2,44351,0.25788564747332465,0.45022660142950555
swe-agent x short,3,36653,0.3655057261058212,0.6314626360734455
swe-agent x short,4,25009,0.4304428238976531,0.7851173577512096
swe-agent x short,5,37259,0.5526640575943012,0.9520384336670334
swe-agent x short,6,57865,0.6370674938402644,0.9608053227339497
swe-agent x short,7,57801,0.7605724365597496,0.999809691873843
swe-agent x short,8,85458,0.8604198236960036,0.999988298345386
swe-agent x short,9,176962,0.9716925105285034,1.0
swe-agent x medium,0,73632,0.05386217901733029,0.04851151673185571
swe-agent x medium,1,103364,0.14977292246995003,0.1526353469292984
swe-agent x medium,2,112120,0.2523403825093451,0.25816981805208705
swe-agent x medium,3,80566,0.35344022242685874,0.39129409428294815
swe-agent x medium,4,58529,0.4404798654055948,0.5039553042081704
swe-agent x medium,5,104821,0.5547538744702158,0.6550118773909808
swe-agent x medium,6,99972,0.6456834827901365,0.7097187212419478
swe-agent x medium,7,119236,0.7540117348359805,0.8938323996108558
swe-agent x medium,8,161403,0.8557361231794984,0.9817475511607591
swe-agent x medium,9,394563,0.9696125765748939,0.9991940450574432
hermes,0,1715,0.07755236670730414,0.10845481049562682
hermes,1,13379,0.15177488165384204,0.17968458031242993
hermes,2,23076,0.24925881145520218,0.26469058762350495
hermes,3,24496,0.3520891633548668,0.3620999346832136
hermes,4,24120,0.449545336918836,0.46165008291873966
hermes,5,17909,0.545954809682406,0.5439164665810486
hermes,6,22899,0.6490472884363021,0.6492423249923578
hermes,7,22274,0.7435461517042473,0.7422106491873933
hermes,8,18291,0.8484902078695185,0.852113061068285
hermes,9,81548,0.9735690919361264,0.9749472703193212
hermes x medium,0,590,0.07917450031255636,0.06271186440677966
hermes x medium,1,5057,0.1481957292718423,0.17065453826379276
hermes x medium,2,7483,0.24635839548441085,0.30335426967793666
hermes x medium,3,7471,0.35331380020559605,0.4513452014455896
hermes x medium,4,7873,0.4498282115881899,0.6020576654388416
hermes x medium,5,5245,0.5452674450847899,0.7601525262154433
hermes x medium,6,7009,0.6499738694607594,0.8295049222428307
hermes x medium,7,6929,0.7418382545621761,0.9392408716986578
hermes x medium,8,5440,0.8491371343035093,0.9902573529411764
hermes x medium,9,26726,0.9752485929561793,0.9996632492703734
hermes x short,0,224,0.07141113788065281,0.40625
hermes x short,1,1414,0.14981018953771452,0.6364922206506365
hermes x short,2,4025,0.24974008946955004,0.5393788819875777
hermes x short,3,3459,0.35480597575877737,0.7825961260479908
hermes x short,4,3339,0.44472495414352997,0.8691224917640012
hermes x short,5,1779,0.5427699239984605,0.9387296233839235
hermes x short,6,2830,0.6621193648080548,0.9936395759717315
hermes x short,7,1870,0.748881756851195,1.0
hermes x short,8,690,0.8466533395123348,0.9942028985507246
hermes x short,9,11016,0.9759984867980387,1.0
hermes x long,0,901,0.078016935442122,0.06437291897891231
hermes x long,1,6908,0.15479715267987948,0.09279096699478866
hermes x long,2,11568,0.25096754837619406,0.14410442600276624
hermes x long,3,13566,0.35072201636855016,0.20573492554916703
hermes x long,4,12908,0.4506197237963034,0.2706073752711497
hermes x long,5,10885,0.5468065450012495,0.3751952227836472
hermes x long,6,13060,0.645717396971446,0.47787136294027566
hermes x long,7,13475,0.7436839207337618,0.6051205936920223
hermes x long,8,12161,0.8483050388345493,0.7822547487871063
hermes x long,9,43806,0.9719335041615399,0.9535680043829612
terminalbench,0,11873,0.06625876666244356,0.12381032594963362
terminalbench,1,35254,0.15367148118000074,0.19231860214443752
terminalbench,2,31500,0.24886625579532912,0.2817777777777778
terminalbench,3,27475,0.3443653355656437,0.3745950864422202
terminalbench,4,26282,0.44894883040558287,0.47576287953732593
terminalbench,5,18779,0.5461237959793513,0.5688268810905799
terminalbench,6,26570,0.6467825917011244,0.6739932254422281
terminalbench,7,20648,0.7471822379784493,0.7610906625339016
terminalbench,8,32941,0.8462022121531718,0.8592331744634346
terminalbench,9,66546,0.9571461198007581,0.9575331349743035
terminalbench x long,0,11706,0.0661216970591135,0.12139073979155988
terminalbench x long,1,29735,0.1524120024255449,0.1636791659660333
terminalbench x long,2,26339,0.248374226221485,0.2362656137286913
terminalbench x long,3,21557,0.34588011543824043,0.2975367630004175
terminalbench x long,4,20626,0.44901380652561085,0.38713274507902645
terminalbench x long,5,14456,0.5472967460793268,0.4831211953514112
terminalbench x long,6,20417,0.6475075572900595,0.5943086643483372
terminalbench x long,7,15479,0.7489969392151813,0.6986885457716907
terminalbench x long,8,24448,0.8477288169005882,0.8140543193717278
terminalbench x long,9,46168,0.9543762452158879,0.9390486917345348
terminalbench x medium,0,163,0.07563431572286454,0.2883435582822086
terminalbench x medium,1,4348,0.15823701875026416,0.2720791168353266
terminalbench x medium,2,4643,0.25025221579808055,0.4731854404479862
terminalbench x medium,3,4811,0.34102622717844816,0.6013302847640823
terminalbench x medium,4,4867,0.4484883393519485,0.7752208752825149
terminalbench x medium,5,3272,0.5448127217320647,0.816320293398533
terminalbench x medium,6,5046,0.6455612761141636,0.937970669837495
terminalbench x medium,7,3820,0.7466734272239921,0.9316753926701571
terminalbench x medium,8,6426,0.8400933062835807,0.9866168689698102
terminalbench x medium,9,15212,0.9617324888018748,0.9992111490928215
terminalbench x short,0,4,0.08533933659471206,0.5
terminalbench x short,1,1171,0.1687010656447603,0.623398804440649
terminalbench x short,2,518,0.26146192114825845,0.8803088803088803
terminalbench x short,3,1107,0.329379193503592,0.8897922312556459
terminalbench x short,4,789,0.450090798094845,0.9455006337135615
terminalbench x short,5,1051,0.5340721007291739,0.9771646051379639
terminalbench x short,6,1107,0.6389787398693342,0.940379403794038
terminalbench x short,7,1349,0.7278003970883917,0.994069681245367
terminalbench x short,8,2067,0.8471375756046242,0.9975810353168844
terminalbench x short,9,5166,0.9683950018357372,1.0
