scope,metric,old_value,new_value
train_depth0,supported_cells,,3861
train_depth0,supported_cell_rate,,0.2140837260881619
train_depth0,supported_prefixes,,3423213
train_depth0,supported_prefix_rate,,0.9328826815642458
pooled,eval_full_key_rate,0.9489675667366911,0.9358791408254016
pooled,served_median_support,,1677
hermes,eval_full_key_rate,0.9508485931219295,0.9275346136668156
hermes,served_median_support,,481.0
swe-agent,eval_full_key_rate,0.9600861554055277,0.9501553572613682
swe-agent,served_median_support,,2127
terminalbench,eval_full_key_rate,0.7365932760825873,0.674196053352823
terminalbench,served_median_support,,125.0
