stratum,old_n,new_n,old_median_interval80_width,new_median_interval80_width,delta_new_minus_old
pooled,917299,917299,19.0,19.0,0.0
hermes,44780,44780,10.0,10.0,0.0
swe-agent,828735,828735,19.0,19.0,0.0
terminalbench,43784,43784,26.0,26.0,0.0
hermes x short,4922,4922,13.0,13.0,0.0
hermes x medium,13750,13750,11.0,11.0,0.0
hermes x long,26108,26108,10.0,9.0,-1.0
swe-agent x short,88581,88581,19.0,19.0,0.0
swe-agent x medium,188076,188076,20.0,20.0,0.0
swe-agent x long,552078,552078,19.0,19.0,0.0
terminalbench x short,2168,2168,19.0,19.0,0.0
terminalbench x medium,7845,7845,23.0,23.0,0.0
terminalbench x long,33771,33771,29.0,30.0,1.0
