source_length_tercile,grid_offset,bin,n,mean_predicted_p,observed_rate,mean_bias
hermes x long,1,0,815,0.07822803425122316,0.05889570552147239,0.019332328729750763
hermes x long,1,1,5391,0.15170469716773,0.09107772212947506,0.06062697503825494
hermes x long,1,2,6100,0.24687762734625424,0.1659016393442623,0.08097598800199193
hermes x long,1,3,6434,0.34499220359717336,0.19101647497668636,0.153975728620487
hermes x long,1,4,2385,0.4542893176956483,0.3270440251572327,0.1272452925384156
hermes x long,1,5,2316,0.5443479783753694,0.3596718480138169,0.1846761303615525
hermes x long,1,6,2626,0.6277421995871314,0.3952779893373953,0.23246421024973613
hermes x long,1,7,41,0.7243902439024389,0.4878048780487805,0.2365853658536584
hermes x long,2,0,85,0.07691071668947207,0.11764705882352941,-0.04073634213405734
hermes x long,2,1,1423,0.16466936981492036,0.09908643710470837,0.065582932710212
hermes x long,2,2,4840,0.2546974373987916,0.10351239669421487,0.15118504070457672
hermes x long,2,3,4560,0.3532960654837749,0.2348684210526316,0.11842764443114331
hermes x long,2,4,5270,0.4416177350889993,0.2527514231499051,0.1888663119390942
hermes x long,2,5,3464,0.5425080779083797,0.41483833718244806,0.12766974072593168
hermes x long,2,6,2827,0.6333627400731732,0.5405022992571631,0.09286044081601008
hermes x long,2,7,3294,0.7353764080193018,0.5686095931997571,0.1667668148195447
hermes x long,2,8,315,0.8294370538122652,0.653968253968254,0.1754687998440112
hermes x long,2,9,30,0.8999999999999996,0.6666666666666666,0.23333333333333295
hermes x long,4,0,1,0.0,0.0,0.0
hermes x long,4,1,93,0.18267752526403344,0.0967741935483871,0.08590333171564635
hermes x long,4,2,573,0.2595669647500367,0.2425828970331588,0.01698406771687791
hermes x long,4,3,2451,0.3599693775096153,0.17258261933904528,0.18738675817057
hermes x long,4,4,5002,0.4582337257470478,0.2526989204318273,0.2055348053152205
hermes x long,4,5,4491,0.5500840005575474,0.3306613226452906,0.21942267791225678
hermes x long,4,6,3477,0.6521679719146227,0.5171124532643083,0.1350555186503144
hermes x long,4,7,4525,0.7447938542425465,0.6541436464088398,0.0906502078337067
hermes x long,4,8,4727,0.8379623645415326,0.7776602496297863,0.06030211491174631
hermes x long,4,9,768,0.9301975643981404,0.8515625,0.07863506439814039
hermes x long,8,1,1,0.18518518518518517,0.0,0.18518518518518517
hermes x long,8,2,55,0.2867564543956067,0.2727272727272727,0.014029181668334001
hermes x long,8,3,121,0.3710746547889434,0.5619834710743802,-0.19090881628543677
hermes x long,8,4,251,0.4530231551911171,0.46613545816733065,-0.013112302976213575
hermes x long,8,5,604,0.5558782077911344,0.5331125827814569,0.022765625009677493
hermes x long,8,6,4015,0.6608452598356039,0.4455790784557908,0.21526618137981313
hermes x long,8,7,5365,0.7483227537937578,0.580242311276794,0.16808044251696375
hermes x long,8,8,5387,0.8545670797417962,0.7683311676257657,0.08623591211603054
hermes x long,8,9,9968,0.9491216324667252,0.9345906902086677,0.014530942258057511
hermes x long,16,5,10,0.5853658536585364,0.7,-0.11463414634146352
hermes x long,16,6,115,0.636695352671086,0.7652173913043478,-0.12852203863326184
hermes x long,16,7,250,0.7366687172830174,0.752,-0.015331282716982586
hermes x long,16,8,1732,0.8604872687986533,0.8614318706697459,-0.0009446018710925763
hermes x long,16,9,18499,0.9689495173946838,0.9396183577490675,0.029331159645616278
hermes x long,32,9,12354,0.9926524083833037,0.9885866925692084,0.0040657158140953165
hermes x long,64,9,2187,0.9997521472160673,1.0,-0.0002478527839326894
hermes x medium,1,0,543,0.0796469894215691,0.058931860036832415,0.020715129384736686
hermes x medium,1,1,4084,0.1428416970037321,0.16723800195886385,-0.02439630495513176
hermes x medium,1,2,2909,0.23636768678070538,0.34135441732554145,-0.10498673054483607
hermes x medium,1,3,3101,0.34510936966933353,0.491131892937762,-0.14602252326842846
hermes x medium,1,4,1048,0.4584328780392906,0.7242366412213741,-0.2658037631820835
hermes x medium,1,5,1008,0.5324752730992824,0.8759920634920635,-0.34351679039278105
hermes x medium,1,6,1053,0.6305301116965741,0.9468186134852802,-0.31628850178870604
hermes x medium,1,7,4,0.7,1.0,-0.30000000000000004
