stratum,n,full_key_rate,low_confidence_rate
pooled,917299,0.9358791408254016,0.16092244731543368
swe-agent,828735,0.9501553572613682,0.1463761033382203
swe-agent x long,552078,0.926135437383848,0.21724285336492308
swe-agent x short,88581,0.9993000756369876,0.0013772705207663043
swe-agent x medium,188076,0.9975169612284396,0.006646249388545056
hermes,44780,0.9275346136668156,0.1505582849486378
hermes x medium,13750,0.9808,0.04829090909090909
hermes x short,4922,0.9963429500203169,0.013612352702153597
hermes x long,26108,0.886509882028497,0.2302359430059752
terminalbench,43784,0.674196053352823,0.44685273159144895
terminalbench x long,33771,0.5910396494033342,0.5523081934203903
terminalbench x medium,7845,0.9444231994901211,0.11064372211599745
terminalbench x short,2168,0.9916974169741697,0.020756457564575646
