source,position_bin,position_low,position_high,position_midpoint,n,mean_interval80_width,p25_interval80_width,p75_interval80_width
hermes,0,0.0,0.05,0.025,1496,13.052807486631016,13,13
hermes,1,0.05,0.1,0.075,2232,13.192652329749103,13,13
hermes,2,0.1,0.15,0.125,2375,12.881684210526316,12,13
hermes,3,0.15,0.2,0.175,2208,12.569746376811594,12,13
hermes,4,0.2,0.25,0.225,2277,12.154589371980677,10,13
hermes,5,0.25,0.3,0.275,2377,11.873369793857805,10,13
hermes,6,0.3,0.35,0.325,2456,11.490228013029316,10,12
hermes,7,0.35,0.4,0.375,2267,11.011910013233347,9,12
hermes,8,0.4,0.45,0.425,2325,10.534623655913979,9,12
hermes,9,0.45,0.5,0.475,1810,9.946408839779005,8,11
hermes,10,0.5,0.55,0.525,2961,10.242147922998987,8,12
hermes,11,0.55,0.6,0.575,2053,9.755479785679494,7,11
hermes,12,0.6,0.65,0.625,2539,9.62229224103978,7,11
hermes,13,0.65,0.7,0.675,2222,9.288028802880287,7,10
hermes,14,0.7,0.75,0.725,2107,9.051257712387281,6,10
hermes,15,0.75,0.8,0.775,2494,9.225340817963112,6,11
hermes,16,0.8,0.85,0.825,2469,8.898339408667477,6,11
hermes,17,0.85,0.9,0.875,2124,8.843691148775894,6,11
hermes,18,0.9,0.95,0.925,2442,8.712940212940213,6,10
hermes,19,0.95,1.0,0.975,1546,8.376455368693403,6,10
swe-agent,0,0.0,0.05,0.025,34209,20.094916542430354,20,20
swe-agent,1,0.05,0.1,0.075,42313,20.003710443598894,17,22
swe-agent,2,0.1,0.15,0.125,42206,19.638629578732882,17,22
swe-agent,3,0.15,0.2,0.175,40719,19.398217048552272,17,23
swe-agent,4,0.2,0.25,0.225,43760,19.49170475319927,17,23
swe-agent,5,0.25,0.3,0.275,42233,19.452205621196693,16,23
swe-agent,6,0.3,0.35,0.325,42219,19.416163338781118,15,24
swe-agent,7,0.35,0.4,0.375,40719,19.34561261327636,13,25
swe-agent,8,0.4,0.45,0.425,43680,19.49306318681319,13,25
swe-agent,9,0.45,0.5,0.475,42313,19.267482806702432,12,27
swe-agent,10,0.5,0.55,0.525,42314,19.28068724299286,10,27
swe-agent,11,0.55,0.6,0.575,40612,19.245567812469222,8,28
swe-agent,12,0.6,0.65,0.625,43787,19.253454221572614,8,28
swe-agent,13,0.65,0.7,0.675,42219,19.18297449015846,5,29
swe-agent,14,0.7,0.75,0.725,42233,19.17185613146118,4,29
swe-agent,15,0.75,0.8,0.775,40692,19.199400373537795,3,30
swe-agent,16,0.8,0.85,0.825,43787,19.376618631100555,3,30
swe-agent,17,0.85,0.9,0.875,42206,19.63448324882718,3,30
swe-agent,18,0.9,0.95,0.925,42313,19.74466476023917,2,31
swe-agent,19,0.95,1.0,0.975,34201,19.47671120727464,0,32
terminalbench,0,0.0,0.05,0.025,1716,21.224941724941726,19,25
terminalbench,1,0.05,0.1,0.075,2212,23.353526220614828,19,25
terminalbench,2,0.1,0.15,0.125,2351,24.250531688643132,20,26
terminalbench,3,0.15,0.2,0.175,2192,26.087591240875913,20,29
terminalbench,4,0.2,0.25,0.225,2276,28.247363796133566,21,30
terminalbench,5,0.25,0.3,0.275,2445,29.567280163599182,21,31
terminalbench,6,0.3,0.35,0.325,2367,31.639628221377272,21,34
terminalbench,7,0.35,0.4,0.375,2157,33.84886416318962,22,37
terminalbench,8,0.4,0.45,0.425,2401,34.077051228654724,22,36
terminalbench,9,0.45,0.5,0.475,1953,36.357398873527906,23,38
terminalbench,10,0.5,0.55,0.525,2529,33.485567417951756,21,37
terminalbench,11,0.55,0.6,0.575,2116,34.57797731568998,23,39
terminalbench,12,0.6,0.65,0.625,2286,34.99300087489064,23,40
terminalbench,13,0.65,0.7,0.675,2191,36.849383842994065,23,42
terminalbench,14,0.7,0.75,0.725,2120,38.55377358490566,24,43
terminalbench,15,0.75,0.8,0.775,2245,39.605345211581295,24,45
terminalbench,16,0.8,0.85,0.825,2303,40.60790273556231,24,44
terminalbench,17,0.85,0.9,0.875,2175,44.81563218390804,24,50
terminalbench,18,0.9,0.95,0.925,2141,43.126576366184025,24,49
terminalbench,19,0.95,1.0,0.975,1608,49.29601990049751,27,54
