fallback_depth,retained_fields,min_support,cells,supported_cells,supported_cell_rate,prefixes,supported_prefixes,supported_prefix_rate,p10_support,median_support,p90_support,max_support
0,source;total;current_category;fine_turn_bucket;age_bucket;stuck,25,18035,3861,0.2140837260881619,3669500,3423213,0.9328826815642458,1,3,96,63805
1,source;total;current_category;fine_turn_bucket;age_bucket,25,12846,3338,0.259847423322435,3669500,3489477,0.9509407276195667,1,5,161,63805
2,source;total;current_category;fine_turn_bucket,25,4599,1540,0.334855403348554,3669500,3547936,0.9668717808965799,1,8,305,63805
3,source;total;current_category,25,1978,581,0.2937310414560162,3669500,3654932,0.9960299768360812,1,3,414,63805
4,source;total,25,846,225,0.26595744680851063,3669500,3662568,0.9981109142935005,1,4,959,63805
5,source,25,3,3,1.0,3669500,3669500,1.0,5184,6115,63805,63805
