dispatch_rank,id,action,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,R,6.5787904262542725,6.5787904262542725,9.676777124404907,3.0979228019714355,2.3603439331054688e-05
1,codex:b3070edb-ef84-2a59-177e-4b7291e2aefe,R,2.8961374759674072,2.8961374759674072,2.89621639251709,2.9325485229492188e-05,4.291534423828125e-06
2,codex:ae694cc1-4887-7ade-f085-b22a801120db,R,1.7488715648651123,1.7488715648651123,1.7490003108978271,8.821487426757812e-05,5.245208740234375e-06
3,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,1.5721242427825928,1.5721242427825928,2.689526081085205,1.1173210144042969,2.1219253540039062e-05
4,codex:e6744833-786a-9c87-c539-3a40cda50680,S,5.538061857223511,5.538061857223511,7.397855997085571,1.8596785068511963,3.361701965332031e-05
5,codex:362639e1-f680-4bda-bd1e-8f149f7717ab,R,8.081088542938232,8.241808414459229,12.049433946609497,3.8075830936431885,2.0265579223632812e-05
6,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,4.674179553985596,4.674179553985596,5.525676488876343,0.851294994354248,1.7404556274414062e-05
7,codex:7de80c9c-04b3-49a8-66a8-dedbd1acb80e,R,4.988611221313477,4.988611221313477,4.988687515258789,4.00543212890625e-05,5.0067901611328125e-06
8,codex:41e93e85-eff7-106f-9736-224049baedb2,R,3.3770487308502197,3.5913891792297363,3.5919573307037354,0.00021409988403320312,1.1920928955078125e-05
9,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,2.4934258460998535,2.4934258460998535,2.963757038116455,0.47023844718933105,2.86102294921875e-05
10,codex:e717fd54-aecf-8710-559b-8d23833866c4,R,6.1256492137908936,6.267906665802002,6.693739414215088,0.42522192001342773,2.6702880859375e-05
11,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,1.5070734024047852,1.5070734024047852,1.5071547031402588,2.193450927734375e-05,5.4836273193359375e-06
12,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,9.877660036087036,10.033776760101318,10.033951759338379,2.1457672119140625e-05,5.4836273193359375e-06
13,codex:c55b5430-f5e1-56b7-a298-2db8c6581658,R,9.412578582763672,9.570327758789062,9.570388317108154,2.1696090698242188e-05,5.245208740234375e-06
14,codex:b759a30c-c03e-8e0e-1900-3ac8dd4c0130,R,3.4535677433013916,3.828084707260132,3.8283002376556396,3.218650817871094e-05,3.337860107421875e-06
15,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,R,2.2035508155822754,2.2035508155822754,2.204434394836426,2.5033950805664062e-05,5.7220458984375e-06
