anchor,model_profile,state_scale,prefill_capacity,link_gbps,n_workflows,hypothesis,observed_regime,matches_hypothesis,dominant_bottleneck,strong_p50_s,mixed_p50_s,mixed_vs_strong_gap_frac
w1_large_repo_coding,compact_kv,medium,loose,1,8,state_locality,state_locality,True,network,67.9906562,5.17826667,0.923838554
w1_large_repo_coding,compact_kv,medium,tight,5,8,state_locality,multi_resource,False,prefill,33.7651222,17.1679467,0.491547919
w1_large_repo_coding,compact_kv,medium,loose,100,8,state_locality,state_locality,True,workspace,10.2994562,4.56541979,0.556731958
w1_large_repo_coding,vanilla_gqa_fp16,medium,loose,1,8,state_locality,state_locality,True,network,68.8841858,5.63742302,0.918160853
w1_large_repo_coding,vanilla_gqa_fp16,medium,tight,5,8,state_locality,multi_resource,False,prefill,42.7004181,21.7595102,0.490414587
w1_large_repo_coding,vanilla_gqa_fp16,medium,loose,100,8,state_locality,multi_resource,False,workspace,11.1929858,5.63742302,0.496343236
w1_large_repo_coding,frontier_v4_fp8,medium,loose,1,8,state_locality,state_locality,True,network,71.312881,6.88545202,0.903447289
w1_large_repo_coding,frontier_v4_fp8,medium,tight,5,8,state_locality,state_locality,True,network,23.5327591,9.16009395,0.610751383
w1_large_repo_coding,frontier_v4_fp8,medium,loose,100,8,state_locality,state_locality,True,workspace,8.70241635,4.36791242,0.498080505
w1_large_repo_coding,glm_5_mla,medium,loose,1,8,state_locality,state_locality,True,network,69.5919599,6.00112555,0.91376697
w1_large_repo_coding,glm_5_mla,medium,tight,5,8,state_locality,landing_pressure,False,prefill,49.7781592,19.1926713,0.614435896
w1_large_repo_coding,glm_5_mla,medium,loose,100,8,state_locality,multi_resource,False,workspace,11.9007599,4.6678359,0.60776993
w1_large_repo_coding,qwen3_next_hybrid,medium,loose,1,8,state_locality,state_locality,True,network,66.1048671,4.20921979,0.936325115
w1_large_repo_coding,qwen3_next_hybrid,medium,tight,5,8,state_locality,state_locality,True,network,14.9072309,5.0049979,0.664257036
w1_large_repo_coding,qwen3_next_hybrid,medium,loose,100,8,state_locality,state_locality,True,workspace,8.41366709,4.20921979,0.499716385
w2_data_rag_heavy,compact_kv,medium,loose,1,8,state_locality,state_locality,True,network,125.284523,9.0508,0.927758036
w2_data_rag_heavy,compact_kv,medium,tight,5,8,state_locality,multi_resource,False,prefill,51.7572289,26.164,0.494486074
w2_data_rag_heavy,compact_kv,medium,loose,100,8,state_locality,state_locality,True,workspace,18.0445229,8.22418457,0.544228206
w2_data_rag_heavy,vanilla_gqa_fp16,medium,loose,1,8,state_locality,state_locality,True,network,126.467522,9.65469105,0.923658731
w2_data_rag_heavy,vanilla_gqa_fp16,medium,tight,5,8,state_locality,multi_resource,False,prefill,63.5872187,32.2029105,0.493563154
w2_data_rag_heavy,vanilla_gqa_fp16,medium,loose,100,8,state_locality,state_locality,True,workspace,19.2275219,9.65469105,0.497871275
w2_data_rag_heavy,frontier_v4_fp8,medium,loose,1,8,state_locality,state_locality,True,network,129.683021,11.2961222,0.912894363
w2_data_rag_heavy,frontier_v4_fp8,medium,tight,5,8,state_locality,state_locality,True,network,38.0351591,14.287774,0.624353512
w2_data_rag_heavy,frontier_v4_fp8,medium,loose,100,8,state_locality,state_locality,True,workspace,15.9396644,7.91288522,0.503572657
w2_data_rag_heavy,glm_5_mla,medium,loose,1,8,state_locality,state_locality,True,network,127.404588,10.1330394,0.920465663
w2_data_rag_heavy,glm_5_mla,medium,tight,5,8,state_locality,multi_resource,False,prefill,72.957877,27.9729102,0.61658821
w2_data_rag_heavy,glm_5_mla,medium,loose,100,8,state_locality,multi_resource,False,workspace,20.1645877,8.40392464,0.5832335
