phase,scenario_id,condition_index,repeat,policy,pack,movement_tokens,mean_destination_load,deadline_s,requested_shed_w,attainment_s,attained_by_deadline
pilot,b30a935c1d320f27,8,0,queue_haul,8x16k,131072,0.9,30,49.48530596349974,9.372666398,True
pilot,4d7094f4be03f6a2,31,0,kv_only,8x16k,131072,0.675,30,49.48530596349974,9.225358182,True
pilot,f27fd452bdeabea6,27,0,queue_haul_power_blind,8x31k,251904,0.85,30,49.48530596349974,,False
pilot,d8e38d285ecb1ab2,28,0,queue_haul_power_blind,8x31k,251904,0.9,30,49.48530596349974,,False
pilot,c8197de6598300f0,8,0,kv_only,8x16k,131072,0.9,30,49.48530596349974,9.632478824,True
pilot,c548db6b8a6e8751,3,0,kv_only,4x16k,65536,0.9,30,49.485305963499734,8.172461299,True
pilot,16d52a45834b1d34,3,0,queue_haul,4x16k,65536,0.9,30,49.485305963499734,6.891107245,True
pilot,f13d49317cfea3ad,15,0,greedy,8x8k,65536,0.0,30,49.48530596349974,5.359319973,True
pilot,a26c43d352f38a12,3,0,replay_only,4x16k,65536,0.9,30,49.485305963499734,6.853474936,True
pilot,8acfd0e7bb931fc6,20,0,queue_haul,8x24k,196608,0.0,30,49.48530596349974,11.983112383,True
pilot,57a5b4d5ed6b7c30,2,0,queue_haul,4x16k,65536,0.85,30,49.485305963499734,6.296845191,True
pilot,941c3936f2bd933f,5,0,kv_only,8x16k,131072,0.0,30,49.48530596349974,9.099874044,True
pilot,7ab4f67aad10f7cd,13,0,replay_only,16x16k,262144,0.9,30,49.48530596349974,10.021682884,True
pilot,073327e8d946f15c,12,0,kv_only,16x16k,262144,0.85,30,49.48530596349974,14.399116555,True
pilot,8ee5bdd14579f455,22,0,greedy,8x24k,196608,0.85,30,49.48530596349974,11.45680166,True
pilot,1be2075d3ae54562,19,0,kv_only,8x8k,65536,0.95,30,49.48530596349974,5.427026567,True
pilot,018d6aa0b4e4071f,6,0,kv_only,8x16k,131072,0.5,30,49.48530596349974,9.37249563,True
pilot,cf2212ae66599cc3,1,0,queue_haul_power_blind,4x16k,65536,0.5,30,49.485305963499734,6.832417786,True
pilot,14a6a55933410fa0,11,0,replay_only,16x16k,262144,0.5,30,49.48530596349974,9.960403757,True
pilot,5419d6abd917960f,10,0,replay_only,16x16k,262144,0.0,30,49.48530596349974,9.841269398,True
pilot,c83f2a7be543cbdb,3,0,queue_haul_power_blind,4x16k,65536,0.9,30,49.485305963499734,7.575152613,True
pilot,f629292c802013a1,23,0,queue_haul_power_blind,8x24k,196608,0.9,30,49.48530596349974,,False
pilot,8bb1fd5802a7705b,36,0,kv_only,8x16k,131072,0.725,30,49.48530596349974,8.510216523,True
pilot,812ae2255244f181,30,0,replay_only,8x16k,131072,0.5,30,49.48530596349974,9.882068507,True
pilot,9ad6dcff360164f9,1,0,kv_only,4x16k,65536,0.5,30,49.485305963499734,5.578319731,True
pilot,2b90125fed29832e,22,0,kv_only,8x24k,196608,0.85,30,49.48530596349974,12.816264194,True
pilot,35ea400659b072da,34,0,kv_only,8x16k,131072,0.675,30,49.48530596349974,8.494191755,True
pilot,95267a00fe43a592,8,0,replay_only,8x16k,131072,0.9,30,49.48530596349974,9.911161823,True
pilot,fe662adcf98dfdfb,26,0,kv_only,8x31k,251904,0.5,30,49.48530596349974,13.64200409,True
pilot,339bfc5275fecbb4,26,0,queue_haul,8x31k,251904,0.5,30,49.48530596349974,20.767915655,True
pilot,8f467ba8f2d7e2bc,5,0,replay_only,8x16k,131072,0.0,30,49.48530596349974,9.896918333,True
pilot,b6909ff0af839fe9,7,0,replay_only,8x16k,131072,0.85,30,49.48530596349974,10.138223431,True
