model,deadline_s,draws,action,count,percent
openai/gpt-oss-20b,5,100,kv_transfer,785,98.125
openai/gpt-oss-20b,5,100,replay,15,1.875
openai/gpt-oss-20b,5,100,not_moved,0,0.0
openai/gpt-oss-20b,10,100,kv_transfer,800,100.0
openai/gpt-oss-20b,10,100,replay,0,0.0
openai/gpt-oss-20b,10,100,not_moved,0,0.0
openai/gpt-oss-20b,20,100,kv_transfer,800,100.0
openai/gpt-oss-20b,20,100,replay,0,0.0
openai/gpt-oss-20b,20,100,not_moved,0,0.0
openai/gpt-oss-20b,30,100,kv_transfer,800,100.0
openai/gpt-oss-20b,30,100,replay,0,0.0
openai/gpt-oss-20b,30,100,not_moved,0,0.0
google/gemma-4-26B-A4B-it,5,100,kv_transfer,706,88.25
google/gemma-4-26B-A4B-it,5,100,replay,94,11.75
google/gemma-4-26B-A4B-it,5,100,not_moved,0,0.0
google/gemma-4-26B-A4B-it,10,100,kv_transfer,800,100.0
google/gemma-4-26B-A4B-it,10,100,replay,0,0.0
google/gemma-4-26B-A4B-it,10,100,not_moved,0,0.0
google/gemma-4-26B-A4B-it,20,100,kv_transfer,800,100.0
google/gemma-4-26B-A4B-it,20,100,replay,0,0.0
google/gemma-4-26B-A4B-it,20,100,not_moved,0,0.0
google/gemma-4-26B-A4B-it,30,100,kv_transfer,800,100.0
google/gemma-4-26B-A4B-it,30,100,replay,0,0.0
google/gemma-4-26B-A4B-it,30,100,not_moved,0,0.0
Qwen/Qwen3.8-27B,5,100,kv_transfer,292,36.5
Qwen/Qwen3.8-27B,5,100,replay,159,19.875
Qwen/Qwen3.8-27B,5,100,not_moved,349,43.625
Qwen/Qwen3.8-27B,10,100,kv_transfer,698,87.25
Qwen/Qwen3.8-27B,10,100,replay,14,1.75
Qwen/Qwen3.8-27B,10,100,not_moved,88,11.0
Qwen/Qwen3.8-27B,20,100,kv_transfer,800,100.0
Qwen/Qwen3.8-27B,20,100,replay,0,0.0
Qwen/Qwen3.8-27B,20,100,not_moved,0,0.0
Qwen/Qwen3.8-27B,30,100,kv_transfer,800,100.0
Qwen/Qwen3.8-27B,30,100,replay,0,0.0
Qwen/Qwen3.8-27B,30,100,not_moved,0,0.0
