seed,context,append,width,phase,phase_valid,requests,cache_state,elapsed_s,model_full_rebuild_local_s,model_minus_observed_s,optimistic_error_s
7101,30000,32,1,initial,True,1,cold_verified,4.801422075,4.423811356056187,-0.3776107189438127,0.3776107189438127
7101,30000,32,1,catch_up,True,1,native_reuse_verified,0.949467854,4.43047678338226,3.48100892938226,0
7101,30000,32,1,cold_updated,True,1,cold_verified,4.79542254,4.43047678338226,-0.36494575661773965,0.36494575661773965
7101,2048,2048,1,initial,True,1,cold_verified,0.852686504,0.6963892862983582,-0.15629721770164184,0.15629721770164184
7101,2048,2048,1,catch_up,True,1,native_reuse_verified,1.157677302,0.8369439130511498,-0.3207333889488502,0.3207333889488502
7101,2048,2048,1,cold_updated,True,1,cold_verified,1.301132327,0.8369439130511498,-0.46418841394885013,0.46418841394885013
7101,2048,32,8,initial,False,8,cold_verified,3.848623825,1.7012187742,-2.1474050508,2.1474050508
7101,2048,32,8,catch_up,True,8,native_reuse_verified,1.316169294,1.720039723109923,0.4038704291099229,0
7101,2048,32,8,cold_updated,True,8,cold_verified,2.052279628,1.720039723109923,-0.33223990489007704,0.33223990489007704
7101,2048,2048,8,initial,True,8,cold_verified,1.966112748,1.7012187742,-0.2648939738,0.2648939738
7101,2048,2048,8,catch_up,True,8,native_reuse_verified,2.175265048,3.0371124755,0.8618474274999999,0
7101,2048,2048,8,cold_updated,False,8,cold_verified,3.090053386,3.0371124755,-0.05294091050000027,0.05294091050000027
7101,8192,2048,1,initial,True,1,cold_verified,1.294322362,1.1696722534889723,-0.12465010851102765,0.12465010851102765
7101,8192,2048,1,catch_up,True,1,native_reuse_verified,1.282787856,1.3716978006038194,0.08890994460381951,0
7101,8192,2048,1,cold_updated,False,1,cold_verified,1.615870053,1.3716978006038194,-0.24417225239618068,0.24417225239618068
7101,30000,2048,1,initial,True,1,cold_verified,4.888754013,4.423811356056187,-0.46494265694381287,0.46494265694381287
7101,30000,2048,1,catch_up,True,1,native_reuse_verified,1.463539558,4.868394709413724,3.4048551514137237,0
7101,30000,2048,1,cold_updated,True,1,cold_verified,5.44093955,4.868394709413724,-0.5725448405862767,0.5725448405862767
7101,30000,2048,8,initial,True,8,cold_verified,31.994645396,35.390490848449495,3.395845452449496,0
7101,30000,2048,8,catch_up,True,8,native_reuse_verified,4.814580402,38.94715767530979,34.13257727330979,0
7101,30000,2048,8,cold_updated,True,8,cold_verified,35.909685797,38.94715767530979,3.0374718783097876,0
7101,8192,32,8,initial,True,8,cold_verified,5.722996727,6.0489204457,0.32592371870000036,0
7101,8192,32,8,catch_up,True,8,native_reuse_verified,1.289921318,6.069742687774877,4.779821369774877,0
7101,8192,32,8,cold_updated,True,8,cold_verified,5.804914892,6.069742687774877,0.2648277957748766,0
7101,8192,2048,8,initial,True,8,unknown,5.679323448,6.0489204457,0.36959699770000043,0
7101,8192,2048,8,catch_up,False,8,unknown,2.734314392,7.488743298459009,4.754428906459009,0
7101,8192,2048,8,cold_updated,False,0,unknown,,7.488743298459009,,
7101,30000,32,8,initial,True,8,cold_verified,31.999076963,35.390490848449495,3.391413885449495,0
7101,30000,32,8,catch_up,True,8,native_reuse_verified,1.438585048,35.44381426705808,34.00522921905808,0
7101,30000,32,8,cold_updated,True,8,cold_verified,32.350035228,35.44381426705808,3.0937790390580773,0
7101,2048,32,1,initial,True,1,cold_verified,1.067636717,0.6963892862983582,-0.3712474307016419,0.3712474307016419
7101,2048,32,1,catch_up,True,1,native_reuse_verified,0.723970567,0.6987931949417088,-0.02517737205829118,0.02517737205829118
7101,2048,32,1,cold_updated,True,1,cold_verified,1.130166637,0.6987931949417088,-0.4313734420582913,0.4313734420582913
7101,8192,32,1,initial,True,1,cold_verified,1.264098704,1.1696722534889723,-0.09442645051102772,0.09442645051102772
7101,8192,32,1,catch_up,True,1,native_reuse_verified,0.787110263,1.1726781931684571,0.38556793016845714,0
7101,8192,32,1,cold_updated,True,1,cold_verified,1.484718911,1.1726781931684571,-0.31204071783154297,0.31204071783154297
7102,30000,2048,1,initial,True,1,cold_verified,4.809925546,4.423811356056187,-0.38611418994381275,0.38611418994381275
7102,30000,2048,1,catch_up,True,1,native_reuse_verified,1.369530503,4.868394709413724,3.4988642064137236,0
7102,30000,2048,1,cold_updated,True,1,cold_verified,5.222050669,4.868394709413724,-0.35365595958627605,0.35365595958627605
7102,30000,2048,8,initial,True,8,cold_verified,32.540811212,35.390490848449495,2.849679636449494,0
7102,30000,2048,8,catch_up,True,8,native_reuse_verified,5.027136163,38.94715767530979,33.92002151230979,0
7102,30000,2048,8,cold_updated,True,8,cold_verified,35.941333335,38.94715767530979,3.005824340309786,0
7102,2048,32,1,initial,True,1,cold_verified,1.082932359,0.6963892862983582,-0.3865430727016418,0.3865430727016418
7102,2048,32,1,catch_up,True,1,native_reuse_verified,0.754204966,0.6987931949417088,-0.055411771058291204,0.055411771058291204
7102,2048,32,1,cold_updated,True,1,cold_verified,0.841588957,0.6987931949417088,-0.14279576205829125,0.14279576205829125
7102,30000,32,1,initial,True,1,cold_verified,4.821028936,4.423811356056187,-0.39721757994381335,0.39721757994381335
7102,30000,32,1,catch_up,True,1,native_reuse_verified,0.891160766,4.43047678338226,3.53931601738226,0
7102,30000,32,1,cold_updated,True,1,cold_verified,4.844588632,4.43047678338226,-0.41411184861773975,0.41411184861773975
7102,8192,32,1,initial,True,1,cold_verified,1.650921154,1.1696722534889723,-0.48124890051102764,0.48124890051102764
7102,8192,32,1,catch_up,True,1,native_reuse_verified,1.165810465,1.1726781931684571,0.0068677281684570435,0
7102,8192,32,1,cold_updated,True,1,cold_verified,1.793868931,1.1726781931684571,-0.6211907378315429,0.6211907378315429
7102,8192,2048,1,initial,True,1,cold_verified,1.295984455,1.1696722534889723,-0.12631220151102762,0.12631220151102762
7102,8192,2048,1,catch_up,True,1,native_reuse_verified,1.033406321,1.3716978006038194,0.33829147960381944,0
7102,8192,2048,1,cold_updated,True,1,cold_verified,1.620631182,1.3716978006038194,-0.2489333813961805,0.2489333813961805
7102,2048,32,8,initial,True,8,cold_verified,2.067160948,1.7012187742,-0.36594217380000016,0.36594217380000016
7102,2048,32,8,catch_up,True,8,native_reuse_verified,1.263028197,1.720039723109923,0.457011526109923,0
7102,2048,32,8,cold_updated,True,8,cold_verified,2.116854866,1.720039723109923,-0.39681514289007724,0.39681514289007724
7102,30000,32,8,initial,True,8,cold_verified,32.499078253,35.390490848449495,2.891412595449495,0
7102,30000,32,8,catch_up,True,8,native_reuse_verified,1.407258444,35.44381426705808,34.03655582305808,0
7102,30000,32,8,cold_updated,True,8,cold_verified,32.435315884,35.44381426705808,3.0084983830580825,0
7102,2048,2048,1,initial,True,1,cold_verified,0.922896469,0.6963892862983582,-0.22650718270164183,0.22650718270164183
7102,2048,2048,1,catch_up,True,1,native_reuse_verified,0.943084423,0.8369439130511498,-0.10614050994885016,0.10614050994885016
7102,2048,2048,1,cold_updated,False,1,cold_verified,1.014418532,0.8369439130511498,-0.1774746189488503,0.1774746189488503
7102,8192,32,8,initial,True,8,cold_verified,5.717964762,6.0489204457,0.33095568370000006,0
7102,8192,32,8,catch_up,True,8,native_reuse_verified,1.119166069,6.069742687774877,4.9505766187748765,0
7102,8192,32,8,cold_updated,True,8,cold_verified,5.811513762,6.069742687774877,0.2582289257748771,0
7102,8192,2048,8,initial,True,8,cold_verified,5.770392004,6.0489204457,0.2785284417000007,0
7102,8192,2048,8,catch_up,False,8,native_reuse_verified,3.061440343,7.488743298459009,4.427302955459009,0
7102,8192,2048,8,cold_updated,False,8,cold_verified,7.386466398,7.488743298459009,0.10227690045900939,0
7102,2048,2048,8,initial,True,8,cold_verified,1.829538081,1.7012187742,-0.12831930679999992,0.12831930679999992
7102,2048,2048,8,catch_up,True,8,native_reuse_verified,2.262618108,3.0371124755,0.7744943675,0
7102,2048,2048,8,cold_updated,True,8,cold_verified,3.13887213,3.0371124755,-0.10175965450000035,0.10175965450000035
