episode,workload,seed,rate,arm,cohort,window_start_s,window_end_s,offered_requests,completed_requests,exact_requests,tpot_requests,unfinished_or_failed_requests,offered_rps,completed_rps,completions_in_window,arrival_cohort_completion_cutoff_s,exact_timing_coverage,p90_arrival_ttft_s,p90_request_mean_tpot_s,p90_client_send_lateness_s,p90_client_queue_s,p90_client_schedule_lateness_s,queue_growth_requests,max_engine_waiting,prompt_tokens,output_tokens,screen_pass,tail_guarantee,scope,outstanding_all_prior_arrivals,requests_with_known_cache_count,reported_cached_tokens_sum,derived_prompt_minus_cache_tokens_sum,engine_counter_interval_s,engine_all_cohorts_prefix_cache_queries_total,engine_all_cohorts_prefix_cache_hits_total,engine_all_cohorts_external_prefix_cache_hits_total,engine_all_cohorts_request_prefill_kv_computed_tokens_sum,engine_all_cohorts_request_queue_time_seconds_sum,engine_all_cohorts_request_prefill_time_seconds_sum,engine_all_cohorts_request_decode_time_seconds_sum,ttft_over_1s_requests,request_tpot_over_100ms_requests,exact_completed_fraction_of_arrivals,mean_power_w,mean_gpu_utilization_pct
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,resident,0,60,4,4,4,3,0,0.06666666666666667,0.06666666666666667,4,60,1.0,0.19996397320000003,0.031865581168888886,0.012483554800000001,0.007628028500000002,0.007144013000000001,0.0,0.0,"{'min': 5761, 'median': 9391.0, 'max': 18978}","{'median': 10.0, 'max': 36}",True,False,finite-window request-level screen; sample counts and censoring retained,0,4,40016,3505,59.578925815,43521.0,40016.0,0.0,3505.0,8.266500003628607e-05,0.43945831099995303,1.6938659129998541,0,0,1.0,106.33083333333335,1.5333333333333334
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,resident,60,90,4,4,4,3,0,0.13333333333333333,0.13333333333333333,4,90,1.0,0.12424319730000001,0.03338867619803571,0.0126426164,0.0115102403,0.0026740301000000005,0.0,0.0,"{'min': 3491, 'median': 12761.5, 'max': 28624}","{'median': 23.5, 'max': 36}",True,False,finite-window request-level screen; sample counts and censoring retained,0,4,56736,902,29.535661886,262228.0,259424.0,0.0,2804.0,0.00020530400070128962,1.0702768559997367,10.465643139999656,0,0,1.0,117.4366666666667,7.933333333333334
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,resident,90,120,2,2,2,1,0,0.06666666666666667,0.06666666666666667,2,120,1.0,0.1265132185,0.03224735527083333,0.0103170594,0.006613706600000001,0.0036450154,0.0,0.0,"{'min': 3885, 'median': 9390.5, 'max': 14896}","{'median': 25.0, 'max': 49}",True,False,finite-window request-level screen; sample counts and censoring retained,0,2,18064,717,29.545340983,181967.0,177584.0,0.0,3388.0,0.00019280200035609596,0.8010391289994914,3.748492572999794,0,0,1.0,109.83333333333334,4.883333333333334
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,resident,120,150,5,5,5,3,0,0.16666666666666666,0.16666666666666666,5,150,1.0,0.136248754,0.03334935082153846,0.0135749282,0.011259632,0.0026150864,0.0,0.0,"{'min': 9545, 'median': 20136.0, 'max': 26212}","{'median': 15.0, 'max': 66}",True,False,finite-window request-level screen; sample counts and censoring retained,0,5,89744,494,29.557334786,232474.0,228272.0,0.0,4874.0,0.0002654789993812301,1.0981656339999972,9.69495706500038,0,0,1.0,118.54583333333332,7.5
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,resident,150,180,4,4,4,1,0,0.13333333333333333,0.13333333333333333,4,180,1.0,0.10659163649999999,0.03402789692307692,0.013321278900000002,0.0122032797,0.0011587344000000002,0.0,0.0,"{'min': 8301, 'median': 17215.0, 'max': 31548}","{'median': 1.0, 'max': 27}",True,False,finite-window request-level screen; sample counts and censoring retained,0,4,73504,775,29.537595333,213046.0,210960.0,0.0,2054.0,0.00021646599998348393,0.8673891629998707,7.871545447000017,0,0,1.0,107.05933333333333,6.783333333333333
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,resident,60,180,15,15,15,8,0,0.125,0.125,15,180,1.0,0.13129919339999999,0.03384670437846154,0.0141351086,0.0124591358,0.0030624418000000002,0.0,0.0,"{'min': 3491, 'median': 14923.0, 'max': 31548}","{'median': 14.0, 'max': 66}",True,False,finite-window request-level screen; sample counts and censoring retained,0,15,238048,2888,119.703256005,914730.0,900768.0,0.0,13607.0,0.0008920230004605401,3.9802316659990993,31.780638224999848,0,0,1.0,113.21879166666668,6.775
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,incoming,0,60,0,0,0,0,0,0.0,0.0,0,60,0.0,,,,,,0.0,0.0,"{'min': None, 'median': None, 'max': None}","{'median': None, 'max': None}",False,False,finite-window request-level screen; sample counts and censoring retained,0,0,,,59.578925815,43521.0,40016.0,0.0,3505.0,8.266500003628607e-05,0.43945831099995303,1.6938659129998541,0,0,,106.33083333333335,1.5333333333333334
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,incoming,60,90,12,12,12,8,0,0.4,0.4,12,90,1.0,0.11377644370000001,0.03400646014147727,0.0060149965000000005,0.0045685000000000005,0.0025934238000000004,0.0,0.0,"{'min': 6545, 'median': 16051.0, 'max': 31781}","{'median': 12.5, 'max': 66}",True,False,finite-window request-level screen; sample counts and censoring retained,0,12,202688,1902,29.535661886,262228.0,259424.0,0.0,2804.0,0.00020530400070128962,1.0702768559997367,10.465643139999656,0,0,1.0,117.4366666666667,7.933333333333334
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,incoming,90,120,9,8,8,3,1,0.3,0.26666666666666666,8,120,1.0,0.16948353469999994,0.03155651002709677,0.0059704111,0.0040519358,0.0021662587,0.0,0.0,"{'min': 6681, 'median': 16196.0, 'max': 32077}","{'median': 1.0, 'max': 32}",False,False,finite-window request-level screen; sample counts and censoring retained,1,8,134720,2671,29.545340983,181967.0,177584.0,0.0,3388.0,0.00019280200035609596,0.8010391289994914,3.748492572999794,0,0,0.8888888888888888,109.83333333333334,4.883333333333334
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,incoming,120,150,11,9,9,5,2,0.36666666666666664,0.3333333333333333,10,150,1.0,0.10673864120000001,0.031989860839316236,0.0056255336000000005,0.0034209584,0.0026117642,0.0,0.0,"{'min': 2038, 'median': 15379.0, 'max': 25918}","{'median': 8.0, 'max': 40}",False,False,finite-window request-level screen; sample counts and censoring retained,2,8,126768,1347,29.557334786,232474.0,228272.0,0.0,4874.0,0.0002654789993812301,1.0981656339999972,9.69495706500038,0,0,0.8181818181818182,118.54583333333332,7.5
episodes-coding-0-control-7101,coding,7101,0.11065006370908212,control,incoming,150,180,12,11,11,4,1,0.4,0.43333333333333335,13,180,1.0,0.111605583,0.03281325757149321,0.005734398,0.002944749,0.002950358,0.0,0.0,"{'min': 2095, 'median': 15421.0, 'max': 25992}","{'median': 1.0, 'max': 18}",False,False,finite-window request-level screen; sample counts and censoring retained,1,11,144944,1415,29.537595333,213046.0,210960.0,0.0,2054.0,0.00021646599998348393,0.8673891629998707,7.871545447000017,0,0,0.9166666666666666,107.05933333333333,6.783333333333333
