episode,workload,seed,rate,cohort,window_start_s,window_end_s,control_admitted_at_window_start,replay_admitted_at_window_start,equivalent_full_incoming_population,replay_arrival_ttft_p90_s,control_arrival_ttft_p90_s,replay_request_tpot_p90_s,control_request_tpot_p90_s,replay_outstanding,control_outstanding,completion_deficit_requests,replay_completed_rps,control_completed_rps,replay_screen_pass,control_screen_pass,replay_exact_coverage,control_exact_coverage,replay_completed_n,control_completed_n
episodes-coding-0-replay-7101,coding,7101,0.11065006370908212,incoming,60,180,0,0,False,4.710824841200035,0.114397515,0.03379204075721153,0.033913748798455136,6,1,5,0.31666666666666665,0.35833333333333334,False,False,1.0,1.0,38,43
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,resident,0,60,0,0,False,0.15942567309999997,0.15834041769999999,0.03243568939318182,0.03202386555,1,1,0,0.13333333333333333,0.13333333333333333,False,False,1.0,1.0,8,8
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,resident,60,90,0,0,False,,,,,0,0,0,0.03333333333333333,0.03333333333333333,False,False,0.0,0.0,0,0
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,resident,90,120,8,8,True,0.1374712505,0.1362812608,0.03290119484567669,0.0336821938169173,0,0,0,0.06666666666666667,0.06666666666666667,True,True,1.0,1.0,2,2
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,resident,120,150,8,8,True,0.1345811746,0.1284722952,0.03446993423764706,0.03537005117470588,0,0,0,0.16666666666666666,0.16666666666666666,True,True,1.0,1.0,5,5
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,resident,150,180,8,8,True,0.12513597440000002,0.1271466884,0.033769810875833334,0.034389380274839745,0,0,0,0.16666666666666666,0.16666666666666666,True,True,1.0,1.0,5,5
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,resident,60,180,0,0,False,0.1354440454,0.13276865399999999,0.034469075163529414,0.03515953585615196,0,0,0,0.10833333333333334,0.10833333333333334,True,True,1.0,1.0,12,12
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,incoming,0,60,0,0,False,,,,,0,0,0,0.0,0.0,False,False,0.0,0.0,0,0
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,incoming,60,90,0,0,False,9.370994293999999,0.13316030949999993,0.03565694165804195,0.03402420425372208,1,1,0,0.3333333333333333,0.3333333333333333,False,False,1.0,1.0,10,10
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,incoming,90,120,8,8,True,0.13812562359999994,0.13413239139999997,0.0336515711148718,0.03447746206235897,0,0,0,0.36666666666666664,0.36666666666666664,True,True,1.0,1.0,10,10
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,incoming,120,150,8,8,True,0.1375786385,0.12905417249999998,0.03631444000062696,0.03670441377742947,1,1,0,0.3333333333333333,0.3333333333333333,False,False,1.0,1.0,10,10
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,incoming,150,180,8,8,True,0.121321204,0.120455858,0.03336815834117647,0.03439483527058824,0,0,0,0.4,0.4,True,True,1.0,1.0,11,11
episodes-coding-0-replay-7102,coding,7102,0.11065006370908212,incoming,60,180,0,0,False,5.425209838800027,0.13950413220000007,0.035285770363636365,0.03540886744444444,0,0,0,0.35833333333333334,0.35833333333333334,False,True,1.0,1.0,43,43
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,resident,0,60,0,0,False,0.14255874249999997,0.14435412229999994,0.03363050035666667,0.03242568394982143,0,0,0,0.16666666666666666,0.16666666666666666,True,True,1.0,1.0,10,10
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,resident,60,90,0,0,False,13.2177477444,0.1235595346,0.03640802564,0.03257338619692308,0,0,0,0.3,0.3,False,True,1.0,1.0,9,9
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,resident,90,120,8,8,True,0.4134059502999998,0.4117624284999999,0.038107342589616365,0.03723705958092072,0,0,0,0.26666666666666666,0.26666666666666666,True,True,1.0,1.0,8,8
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,resident,120,150,8,8,True,0.103260853,0.1027656358,0.0350216788872807,0.034346442469298244,1,1,0,0.1,0.1,False,False,1.0,1.0,3,3
episodes-coding-1-replay-7101,coding,7101,0.22130012741816424,resident,150,180,8,8,True,0.117029621,0.11947864650000001,,,1,1,0,0.23333333333333334,0.23333333333333334,False,False,1.0,1.0,6,6
