context,append,width,phase,training_phase_valid,validation_phase_valid,training_observed_s,validation_observed_s,repeat_error_s,repeat_relative_error,baseline_model_error_s,optimistic_error_s
30000,2048,1,initial,True,True,4.888754013,4.809925546,0.07882846700000012,0.016388708358605397,-0.38611418994381275,0.38611418994381275
30000,2048,1,catch_up,True,True,1.463539558,1.369530503,0.0940090549999999,0.06864327212433019,3.4988642064137236,0
30000,2048,1,cold_updated,True,True,5.44093955,5.222050669,0.2188888810000007,0.041916269081685664,-0.35365595958627605,0.35365595958627605
30000,2048,8,initial,True,True,31.994645396,32.540811212,-0.546165816000002,-0.01678402583272398,2.849679636449494,0
30000,2048,8,catch_up,True,True,4.814580402,5.027136163,-0.21255576099999995,-0.04228167968960583,33.92002151230979,0
30000,2048,8,cold_updated,True,True,35.909685797,35.941333335,-0.03164753800000142,-0.0008805332207635352,3.005824340309786,0
2048,32,1,initial,True,True,1.067636717,1.082932359,-0.015295641999999887,-0.014124281976506947,-0.3865430727016418,0.3865430727016418
2048,32,1,catch_up,True,True,0.723970567,0.754204966,-0.030234399000000023,-0.04008777502533711,-0.055411771058291204,0.055411771058291204
2048,32,1,cold_updated,True,True,1.130166637,0.841588957,0.28857768000000006,0.34289622932873165,-0.14279576205829125,0.14279576205829125
30000,32,1,initial,True,True,4.801422075,4.821028936,-0.01960686100000064,-0.00406694530571905,-0.39721757994381335,0.39721757994381335
30000,32,1,catch_up,True,True,0.949467854,0.891160766,0.05830708799999995,0.06542824844243644,3.53931601738226,0
30000,32,1,cold_updated,True,True,4.79542254,4.844588632,-0.049166092000000106,-0.01014866188539576,-0.41411184861773975,0.41411184861773975
8192,32,1,initial,True,True,1.264098704,1.650921154,-0.38682244999999993,-0.23430704068620833,-0.48124890051102764,0.48124890051102764
8192,32,1,catch_up,True,True,0.787110263,1.165810465,-0.3787002020000001,-0.3248385679914102,0.0068677281684570435,0
8192,32,1,cold_updated,True,True,1.484718911,1.793868931,-0.3091500199999999,-0.17233701674495405,-0.6211907378315429,0.6211907378315429
8192,2048,1,initial,True,True,1.294322362,1.295984455,-0.0016620929999999756,-0.001282494549674218,-0.12631220151102762,0.12631220151102762
8192,2048,1,catch_up,True,True,1.282787856,1.033406321,0.24938153499999993,0.24131992415014447,0.33829147960381944,0
8192,2048,1,cold_updated,False,True,1.615870053,1.620631182,,,-0.2489333813961805,0.2489333813961805
2048,32,8,initial,False,True,3.848623825,2.067160948,,,-0.36594217380000016,0.36594217380000016
2048,32,8,catch_up,True,True,1.316169294,1.263028197,0.05314109700000014,0.04207435520934788,0.457011526109923,0
2048,32,8,cold_updated,True,True,2.052279628,2.116854866,-0.0645752380000002,-0.030505274139091654,-0.39681514289007724,0.39681514289007724
30000,32,8,initial,True,True,31.999076963,32.499078253,-0.5000012900000002,-0.015385091420364927,2.891412595449495,0
30000,32,8,catch_up,True,True,1.438585048,1.407258444,0.03132660399999998,0.02226073265615458,34.03655582305808,0
30000,32,8,cold_updated,True,True,32.350035228,32.435315884,-0.08528065599999479,-0.0026292531358408366,3.0084983830580825,0
2048,2048,1,initial,True,True,0.852686504,0.922896469,-0.07020996499999999,-0.0760756675947365,-0.22650718270164183,0.22650718270164183
2048,2048,1,catch_up,True,True,1.157677302,0.943084423,0.21459287900000001,0.22754365756288175,-0.10614050994885016,0.10614050994885016
2048,2048,1,cold_updated,True,False,1.301132327,1.014418532,,,-0.1774746189488503,0.1774746189488503
8192,32,8,initial,True,True,5.722996727,5.717964762,0.005031964999999694,0.0008800272840856493,0.33095568370000006,0
8192,32,8,catch_up,True,True,1.289921318,1.119166069,0.17075524899999994,0.1525736472269692,4.9505766187748765,0
8192,32,8,cold_updated,True,True,5.804914892,5.811513762,-0.006598869999999479,-0.0011354821256981396,0.2582289257748771,0
8192,2048,8,initial,True,True,5.679323448,5.770392004,-0.09106855599999975,-0.01578203975342951,0.2785284417000007,0
8192,2048,8,catch_up,False,False,2.734314392,3.061440343,,,4.427302955459009,0
8192,2048,8,cold_updated,False,False,,7.386466398,,,0.10227690045900939,0
2048,2048,8,initial,True,True,1.966112748,1.829538081,0.1365746670000001,0.07464980828677281,-0.12831930679999992,0.12831930679999992
2048,2048,8,catch_up,True,True,2.175265048,2.262618108,-0.08735305999999987,-0.038607071909812496,0.7744943675,0
2048,2048,8,cold_updated,False,True,3.090053386,3.13887213,,,-0.10175965450000035,0.10175965450000035
