network_bandwidth_scale,drain_window_s,max_safe_source_load_fraction,source_load_removal_rate,request_migration_fraction,p95_delay_over_deadline,deadline_miss_rate,max_network_queue_depth,max_prefill_queue_depth,network_capacity_pressure,prefill_capacity_pressure,drain_completion_s,deadline_overrun_max,replay_load_fraction,state_transfer_load_fraction
0.6,60.0,0.7,9.65269076305221,0.5981132075471698,0.3638893531855118,0.0,25.0,18.0,0.6148499911111109,0.9748375319459653,113.96025064532678,0.0,0.6648648648648653,0.3351351351351349
0.8,60.0,0.7,9.65269076305221,0.5641509433962264,0.34218622267859194,0.0,21.0,21.0,0.5665381816524222,1.0890982110259217,116.71746620180056,0.0,0.6290773532152846,0.3709226467847155
1.0,60.0,0.7,9.65269076305221,0.5641509433962264,0.2986171966324119,0.0,21.0,20.0,0.6710141505641024,1.0890982110259217,116.7173989853903,0.0,0.6018106776727469,0.3981893223272531
1.25,60.0,0.7,9.65269076305221,0.4226415094339623,0.33658668680810744,0.0,22.0,20.0,0.5368099761230769,1.0890982110259217,112.7568220397824,0.0,0.5813606710158438,0.4186393289841563
1.5,60.0,0.7,9.65269076305221,0.30943396226415093,0.32842116190935045,0.0,21.0,19.0,0.5480497537094016,1.0890982110259217,107.85667610960756,0.0,0.554093995473306,0.44590600452669393
2.0,60.0,0.7,9.65269076305221,0.30943396226415093,0.2976490656294175,0.0,21.0,19.0,0.46160832401139607,1.0292807594012414,105.11068968142331,0.0,0.5336439888164027,0.4663560111835972
