policy,deadline_scale,drain_window_s,max_safe_source_working_set_fraction,target_state_tb_at_frontier,evacuated_state_tb_at_frontier,evacuated_nvl72_hbm_fraction_at_frontier,p95_delay_at_frontier,p95_delay_over_deadline_at_frontier,deadline_miss_rate_at_frontier,network_capacity_pressure_at_frontier,prefill_capacity_pressure_at_frontier,replay_retained_prefill_fraction_at_frontier,state_transfer_retained_prefill_fraction_at_frontier,drain_completion_s_at_frontier
CVXPY-rounded,0.25,1800.0,0.9,0.555625152,0.5556366592,0.04146542232835821,3.589226341241556,0.23928175608277039,0.0,0.03073556786324785,0.05829086041134231,0.5438636457772443,0.4561363542227558,1815.2339900633895
CVXPY-rounded,0.5,1800.0,0.9,0.555625152,0.5556366592,0.04146542232835821,3.589226341241556,0.11964087804138519,0.0,0.03073556786324785,0.05829086041134231,0.5438636457772443,0.4561363542227558,1815.2339900633895
CVXPY-rounded,1.0,1800.0,0.9,0.555625152,0.5556366592,0.04146542232835821,3.589226341241556,0.059820439020692596,0.0,0.03073556786324785,0.05829086041134231,0.5438636457772443,0.4561363542227558,1815.2339900633895
CVXPY-rounded,2.0,1800.0,0.9,0.555625152,0.5556366592,0.04146542232835821,3.589226341241556,0.029910219510346298,0.0,0.03073556786324785,0.05829086041134231,0.5438636457772443,0.4561363542227558,1815.2339900633895
deadline-penalty-rounded,0.25,1800.0,0.9,0.555625152,0.5556366592,0.04146542232835821,3.9406928962826036,0.23928773087479083,0.0,0.030737472328205114,0.039605695509309966,0.5104792279335628,0.48952077206643724,1799.6306683480454
deadline-penalty-rounded,0.5,1800.0,0.9,0.555625152,0.5556366592,0.04146542232835821,3.589450395942549,0.11964386543739541,0.0,0.030737808410256397,0.0446216380674212,0.5438636457772443,0.4561363542227558,1799.9595522743512
deadline-penalty-rounded,1.0,1800.0,0.9,0.555625152,0.5556366592,0.04146542232835821,3.5893159631218623,0.059820439020692596,0.0,0.030736250529914518,0.05337617135207495,0.5438636457772443,0.4561363542227558,1808.690952570746
deadline-penalty-rounded,2.0,1800.0,0.9,0.555625152,0.5556366592,0.04146542232835821,3.589226341241556,0.029910219510346298,0.0,0.03073557136410255,0.057013508579773615,0.5438636457772443,0.4561363542227558,1808.690952570746
mirror-descent-rounded,0.25,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.3972851003436375,0.2620402141691601,0.0,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,1820.028959276019
mirror-descent-rounded,0.5,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.3972851003436375,0.13102010708458006,0.0,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,1820.028959276019
mirror-descent-rounded,1.0,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.3972851003436375,0.06551005354229003,0.0,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,1820.028959276019
mirror-descent-rounded,2.0,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.3972851003436375,0.032755026771145015,0.0,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,1820.028959276019
crossover-greedy,0.25,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.3972851003436375,0.2620402141691601,0.0,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,1820.028959276019
crossover-greedy,0.5,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.3972851003436375,0.13102010708458006,0.0,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,1820.028959276019
crossover-greedy,1.0,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.3972851003436375,0.06551005354229003,0.0,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,1820.028959276019
crossover-greedy,2.0,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.3972851003436375,0.032755026771145015,0.0,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,1820.028959276019
replay-only,0.25,1800.0,0.5,0.30868064,0.31529728,0.02352964776119403,2.1907446063976295,0.07302482021325432,0.005681818181818182,3.6467236467236467e-06,0.07301935012778386,1.0,0.0,1870.072287883468
replay-only,0.5,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.397509155044631,0.14579594236684987,0.0058823529411764705,7.246769230769235e-06,0.12169891687963978,1.0,0.0,1983.7650267533859
replay-only,1.0,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.397509155044631,0.07289797118342493,0.0,7.246769230769235e-06,0.12169891687963978,1.0,0.0,1983.7650267533859
replay-only,2.0,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,4.397509155044631,0.03644898559171247,0.0,7.246769230769235e-06,0.12169891687963978,1.0,0.0,1983.7650267533859
state-only,0.25,1800.0,0.7,0.43215289599999995,0.43324608,0.032331797014925376,12.294017094017136,0.40980056980057117,0.0,0.144992905603039,0.0,0.0,1.0,1791.686153846154
state-only,0.5,1800.0,0.7,0.43215289599999995,0.43324608,0.032331797014925376,12.294017094017136,0.20490028490028558,0.0,0.144992905603039,0.0,0.0,1.0,1791.686153846154
state-only,1.0,1800.0,0.7,0.43215289599999995,0.43324608,0.032331797014925376,12.294017094017136,0.10245014245014279,0.0,0.144992905603039,0.0,0.0,1.0,1791.686153846154
state-only,2.0,1800.0,0.9,0.555625152,0.558444416,0.04167495641791045,17.5291172199109,0.12735852195074576,0.0,0.24011034985754978,0.0,0.0,1.0,1954.9707416390181
