case,policy,fractional_objective,integer_objective,integer_objective_gap_to_best,p95_delay,p95_gap_to_best_queue,miss_rate,miss_rate_gap_to_best_queue,movement_target_met
8req_2site,best-integer-objective,NA,1.453199882,0,1.25625,0.7835227273,0,0,True
8req_2site,best-integer-queue,NA,1.496833129,0.04363324641,0.4727272727,0,0,0,True
8req_2site,CVXPY-rounded,1.254778655,1.453199882,0,1.2375,0.7647727273,0,0,True
8req_2site,deadline-aware-CVXPY-rounded,1.417552407,1.477622413,0.02442253089,0.5963636364,0.1236363636,0,0,True
8req_2site,repaired-deadline-aware-CVXPY-rounded,1.417552407,1.496833129,0.04363324641,0.4963636364,0.02363636364,0,0,True
8req_2site,crossover-greedy,NA,1.453199882,0,1.21875,0.7460227273,0.1666666667,0.1666666667,True
8req_2site,least-loaded-destination,NA,1.516433276,0.06323339349,0.593262987,0.1205357143,0,0,True
8req_2site,online-queue-greedy,NA,1.465579977,0.01238009528,0.6090909091,0.1363636364,0,0,True
8req_2site,mixed-greedy,NA,1.453199882,0,1.21875,0.7460227273,0.1666666667,0.1666666667,True
8req_2site,replay-only,NA,1.474685707,0.02148582466,0.8090909091,0.3363636364,0,0,True
8req_2site,state-only,NA,1.453199882,0,1.21875,0.7460227273,0.1666666667,0.1666666667,True
14req_2site,best-integer-objective,NA,2.924138995,0,1.734375,0.8601704545,0.1666666667,0.1666666667,True
14req_2site,best-integer-queue,NA,3.018380296,0.09424130117,0.8742045455,0,0,0,True
14req_2site,CVXPY-rounded,2.924116166,2.924683452,0.0005444569648,1.490625,0.6164204545,0,0,True
14req_2site,deadline-aware-CVXPY-rounded,3.212626581,3.348253827,0.4241148321,1.209375,0.3351704545,0,0,True
14req_2site,repaired-deadline-aware-CVXPY-rounded,3.212626581,3.018380296,0.09424130117,0.8744318182,0.0002272727273,0,0,True
14req_2site,crossover-greedy,NA,2.929489191,0.005350196153,2.428125,1.553920455,0.5,0.5,True
14req_2site,least-loaded-destination,NA,3.449448585,0.5253095908,1.137727273,0.2635227273,0,0,True
14req_2site,online-queue-greedy,NA,3.354108362,0.4299693676,1.20625,0.3320454545,0,0,True
14req_2site,mixed-greedy,NA,2.929489191,0.005350196153,2.428125,1.553920455,0.5,0.5,True
14req_2site,replay-only,NA,3.172758767,0.2486197727,1.712727273,0.8385227273,0,0,True
14req_2site,state-only,NA,2.929489191,0.005350196153,2.428125,1.553920455,0.5,0.5,True
20req_2site,best-integer-objective,NA,4.191054138,0,2.08125,0.925,0.3,0.3,True
20req_2site,best-integer-queue,NA,4.300863378,0.1098092397,1.15625,0,0,0,True
20req_2site,CVXPY-rounded,4.191046431,4.191054138,0,2.08125,0.925,0.3,0.3,True
20req_2site,deadline-aware-CVXPY-rounded,4.438580243,4.544704943,0.3536508046,1.27625,0.12,0,0,True
20req_2site,repaired-deadline-aware-CVXPY-rounded,4.438580243,4.300863378,0.1098092397,1.15625,0,0,0,True
20req_2site,crossover-greedy,NA,4.220003629,0.0289494909,3.58125,2.425,0.7,0.7,True
20req_2site,least-loaded-destination,NA,4.300863378,0.1098092397,1.15625,0,0,0,True
20req_2site,online-queue-greedy,NA,4.196774279,0.00572014069,1.446818182,0.2905681818,0.1,0.1,True
20req_2site,mixed-greedy,NA,4.220003629,0.0289494909,3.58125,2.425,0.7,0.7,True
20req_2site,replay-only,NA,4.241996065,0.05094192661,2.091818182,0.9355681818,0.4,0.4,True
20req_2site,state-only,NA,4.220003629,0.0289494909,3.58125,2.425,0.7,0.7,True
