retained_prefill_fraction,deadline_scale,budget_label,budget_fraction,budget_move_limit,repair_steps,net_changed_requests,fraction_moved_requests_changed,miss_rate,p95_delay,mean_delay,p95_normalized_delay,objective_delta
0.2,0.25,0%,0.0,0,0,0.0,0.0,0.0,0.22432664632759725,0.25468424905554093,0.11216332316379862,0.0
0.2,0.25,5%,0.05,6,6,6.0,0.049586776859504134,0.0,0.1510688820512769,0.25199252405057926,0.11216332316379862,-0.19507450335686727
0.2,0.25,10%,0.1,12,7,7.0,0.05785123966942149,0.0,0.1510688820512769,0.25199251247750587,0.11216332316379739,-0.19507553796670152
0.2,0.25,20%,0.2,24,7,7.0,0.05785123966942149,0.0,0.1510688820512769,0.25199251247750587,0.11216332316379739,-0.19507553796670152
0.2,0.25,unbounded,nan,nan,7,7.0,0.05785123966942149,0.0,0.1510688820512769,0.25199251247750587,0.11216332316379739,-0.19507553796670152
0.3,0.25,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.3791388715604082,0.07302482021325432,0.0
0.3,0.25,5%,0.05,6,4,4.0,0.03333333333333333,0.0,2.1907446063976295,0.37814693297315166,0.07302482021325432,-0.07183141037228324
0.3,0.25,10%,0.1,12,4,4.0,0.03333333333333333,0.0,2.1907446063976295,0.37814693297315166,0.07302482021325432,-0.07183141037228324
0.3,0.25,20%,0.2,24,4,4.0,0.03333333333333333,0.0,2.1907446063976295,0.37814693297315166,0.07302482021325432,-0.07183141037228324
0.3,0.25,unbounded,nan,nan,4,4.0,0.03333333333333333,0.0,2.1907446063976295,0.37814693297315166,0.07302482021325432,-0.07183141037228324
0.4,0.25,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.39238001470478273,0.11971655046644378,0.0
0.4,0.25,5%,0.05,7,7,7.0,0.04666666666666667,0.0,2.1907446063976295,0.3898889810694744,0.11216612384757241,-0.2655177007668712
0.4,0.25,10%,0.1,15,15,15.0,0.1,0.0,2.1907446063976295,0.3897973389595123,0.11216332316382704,-0.2856774863043512
0.4,0.25,20%,0.2,30,19,19.0,0.12666666666666668,0.0,2.1907446063976295,0.38979730161706216,0.11216332316382704,-0.28568400656595117
0.4,0.25,unbounded,nan,nan,19,19.0,0.12666666666666668,0.0,2.1907446063976295,0.38979730161706216,0.11216332316382704,-0.28568400656595117
0.5,0.25,0%,0.0,0,0,0.0,0.0,0.0,2.1907446063976295,0.24110342913534125,0.12589073504273074,0.0
0.5,0.25,5%,0.05,17,17,17.0,0.04788732394366197,0.0,2.1907446063976295,0.23864701389244833,0.11217032487320466,-0.6626371448375252
0.5,0.25,10%,0.1,35,35,35.0,0.09859154929577464,0.0,2.1907446063976295,0.23843402405486433,0.11216612384757241,-0.7735595932721111
