source_working_set_fraction,deadline_scale,moved_requests,repair_steps,net_changed_requests,fraction_moved_requests_changed,original_objective,repaired_objective,objective_delta,objective_relative_delta,original_miss_rate,repaired_miss_rate,miss_rate_delta,original_p95_delay,repaired_p95_delay,p95_delay_delta,original_mean_delay,repaired_mean_delay,mean_delay_delta,original_p95_normalized_delay,repaired_p95_normalized_delay,p95_normalized_delay_delta,original_replay_retained_prefill_fraction,repaired_replay_retained_prefill_fraction,replay_retained_prefill_fraction_delta,original_state_transfer_retained_prefill_fraction,repaired_state_transfer_retained_prefill_fraction,state_transfer_retained_prefill_fraction_delta,original_k0_retained_prefill_fraction,repaired_k0_retained_prefill_fraction,k0_retained_prefill_fraction_delta,original_k1_retained_prefill_fraction,repaired_k1_retained_prefill_fraction,k1_retained_prefill_fraction_delta,original_k2_retained_prefill_fraction,repaired_k2_retained_prefill_fraction,k2_retained_prefill_fraction_delta
0.2,0.25,121,7,7.0,0.05785123966942149,21.5788290661418,21.3837535281751,-0.19507553796670152,-0.009040135466515383,0.0,0.0,0.0,0.22432664632759725,0.1510688820512769,-0.07325776427632036,0.25468424905554093,0.25199251247750587,-0.0026917365780350644,0.11216332316379862,0.11216332316379739,-1.2351231148954867e-15,0.40280981337806676,0.4035553691666085,0.0007455557885417408,0.5971901866219333,0.5964446308333916,-0.0007455557885417408,0.010810558933855222,0.01342000419375131,0.0026094452598960875,0.3901353649728571,0.36404091237389624,-0.02609445259896087,0.5990540760932876,0.6225390834323524,0.02348500733906478
0.3,0.25,120,4,4.0,0.03333333333333333,29.65165056727143,29.57981915689915,-0.07183141037228324,-0.0024225096747756943,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.3791388715604082,0.37814693297315166,-0.0009919385872565467,0.07302482021325432,0.07302482021325432,0.0,0.6021124572848712,0.6023609816713266,0.00024852438645539543,0.39788754271512894,0.3976390183286735,-0.00024852438645545094,0.0022367194780987883,0.0029822926374650513,0.000745573159366263,0.5837216526871699,0.5824790307548928,-0.0012426219322770882,0.4140416278347312,0.4145386766076421,0.0004970487729109019
0.4,0.25,150,19,19.0,0.12666666666666668,37.073623578131645,36.787939571565694,-0.28568400656595117,-0.0077058560505659755,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.39238001470478273,0.38979730161706216,-0.0025827130877205673,0.11971655046644378,0.11216332316382704,-0.007553227302616733,0.7003319550404752,0.7018228408362938,0.001490885795818575,0.29966804495952476,0.2981771591637062,-0.001490885795818575,0.006522625356706074,0.005963543183274124,-0.00055908217343195,0.6936229689592919,0.6915730009900414,-0.002049967969250499,0.29985440568400207,0.3024634558266845,0.002609050142682423
0.5,0.25,355,65,65.0,0.18309859154929578,52.52547886332705,51.751865274136975,-0.7736135891900773,-0.014728349097074283,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.24110342913534125,0.23843383471286356,-0.002669594422477689,0.12589073504273074,0.11216332316382704,-0.013727411878903695,0.6990215264187867,0.7031963470319634,0.004174820613176755,0.30097847358121327,0.2968036529680365,-0.004174820613176755,0.15128133445158884,0.14770291678315162,-0.0035784176684372226,0.5959929177150313,0.5824247507222067,-0.013568166992824593,0.2527257478333799,0.2698723324946417,0.017146584661261788
0.6,0.25,401,98,98.0,0.24438902743142144,69.46038844938732,67.76730924680072,-1.6930792025866026,-0.024374744230235248,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.2959961384892567,0.29172048137655804,-0.004275657112698672,0.1888361025640961,0.11216332316382704,-0.07667277940026906,0.594234413345345,0.6070330216520146,0.012798608306669568,0.405765586654655,0.39296697834798544,-0.012798608306669568,0.28113447858096985,0.2687086452735236,-0.012425833307446232,0.4983069802118605,0.4853841135721164,-0.012922866639744068,0.2205585412071697,0.24590724115435988,0.02534869994719019
0.7,0.25,310,26,26.0,0.08387096774193549,75.70669282569636,75.34010285349578,-0.3665899722005861,-0.004842239946270089,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.39001721377194937,0.3885610282805257,-0.0014561854914236783,0.11217032487320466,0.11216332316379862,-7.001709406040391e-06,0.4953803551934393,0.496764917325665,0.0013845621322257085,0.5046196448065607,0.503235082674335,-0.0013845621322257085,0.4045051521687036,0.39673030327235936,-0.007774848896344222,0.4170993423329872,0.41603429453896745,-0.0010650477940197245,0.1783955054983092,0.1872354021886732,0.008839896690364002
0.8,0.25,431,1,1.0,0.002320185614849188,99.82942283124223,107.02752018428687,7.198097353044645,0.07210396643495325,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.5195895034536097,0.5169464712364457,-0.0026430322171639986,0.11216332316382704,0.11216332316382704,0.0,0.4868598853734682,0.4868598853734682,0.0,0.513140114626532,0.513140114626532,0.0,0.41994781231070316,0.3835445692185826,-0.03640324309212056,0.36403243092120596,0.4004356740133266,0.03640324309212062,0.21601975676809096,0.21601975676809096,0.0
0.9,0.25,449,63,63.0,0.1403118040089087,141.2364582078755,148.4346020588261,7.198143850950601,0.05096519653839085,0.0,0.0,0.0,3.589226341241556,3.589226341241556,0.0,0.6830356155195811,0.6771419875981821,-0.005893627921399025,0.23928175608277039,0.23928175608277039,0.0,0.5438636457772439,0.5438636457772439,0.0,0.4561363542227561,0.4561363542227561,0.0,0.3732966077123804,0.34093733173176494,-0.03235927598061544,0.3391666321501056,0.35595203578677054,0.01678540363666492,0.28753676013751395,0.3031106324814646,0.015573872343950634
0.2,0.5,121,7,7.0,0.05785123966942149,21.5788290661418,21.3837535281751,-0.19507553796670152,-0.009040135466515383,0.0,0.0,0.0,0.22432664632759725,0.1510688820512769,-0.07325776427632036,0.25468424905554093,0.25199251247750587,-0.0026917365780350644,0.05608166158189931,0.056081661581898694,-6.175615574477433e-16,0.40280981337806676,0.4035553691666085,0.0007455557885417408,0.5971901866219333,0.5964446308333916,-0.0007455557885417408,0.010810558933855222,0.01342000419375131,0.0026094452598960875,0.3901353649728571,0.36404091237389624,-0.02609445259896087,0.5990540760932876,0.6225390834323524,0.02348500733906478
0.3,0.5,120,4,4.0,0.03333333333333333,29.65165056727143,29.57981915689915,-0.07183141037228324,-0.0024225096747756943,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.3791388715604082,0.37814693297315166,-0.0009919385872565467,0.03651241010662716,0.03651241010662716,0.0,0.6021124572848712,0.6023609816713266,0.00024852438645539543,0.39788754271512894,0.3976390183286735,-0.00024852438645545094,0.0022367194780987883,0.0029822926374650513,0.000745573159366263,0.5837216526871699,0.5824790307548928,-0.0012426219322770882,0.4140416278347312,0.4145386766076421,0.0004970487729109019
0.4,0.5,150,19,19.0,0.12666666666666668,37.073623578131645,36.787939571565694,-0.28568400656595117,-0.0077058560505659755,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.39238001470478273,0.38979730161706216,-0.0025827130877205673,0.05985827523322189,0.05608166158191352,-0.0037766136513083665,0.7003319550404752,0.7018228408362938,0.001490885795818575,0.29966804495952476,0.2981771591637062,-0.001490885795818575,0.006522625356706074,0.005963543183274124,-0.00055908217343195,0.6936229689592919,0.6915730009900414,-0.002049967969250499,0.29985440568400207,0.3024634558266845,0.002609050142682423
0.5,0.5,355,65,65.0,0.18309859154929578,52.52547886332705,51.751865274136975,-0.7736135891900773,-0.014728349097074283,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.24110342913534125,0.23843383471286356,-0.002669594422477689,0.06294536752136537,0.05608166158191352,-0.006863705939451847,0.6990215264187867,0.7031963470319634,0.004174820613176755,0.30097847358121327,0.2968036529680365,-0.004174820613176755,0.15128133445158884,0.14770291678315162,-0.0035784176684372226,0.5959929177150313,0.5824247507222067,-0.013568166992824593,0.2527257478333799,0.2698723324946417,0.017146584661261788
0.6,0.5,401,98,98.0,0.24438902743142144,69.46038844938732,67.76730924680072,-1.6930792025866026,-0.024374744230235248,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.2959961384892567,0.29172048137655804,-0.004275657112698672,0.09441805128204805,0.05608166158191352,-0.03833638970013453,0.594234413345345,0.6070330216520146,0.012798608306669568,0.405765586654655,0.39296697834798544,-0.012798608306669568,0.28113447858096985,0.2687086452735236,-0.012425833307446232,0.4983069802118605,0.4853841135721164,-0.012922866639744068,0.2205585412071697,0.24590724115435988,0.02534869994719019
0.7,0.5,310,26,26.0,0.08387096774193549,75.70669282569636,75.34010285349578,-0.3665899722005861,-0.004842239946270089,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.39001721377194937,0.3885610282805257,-0.0014561854914236783,0.05608516243660233,0.05608166158189931,-3.5008547030201953e-06,0.4953803551934393,0.496764917325665,0.0013845621322257085,0.5046196448065607,0.503235082674335,-0.0013845621322257085,0.4045051521687036,0.39673030327235936,-0.007774848896344222,0.4170993423329872,0.41603429453896745,-0.0010650477940197245,0.1783955054983092,0.1872354021886732,0.008839896690364002
0.8,0.5,431,1,1.0,0.002320185614849188,99.82942283124223,107.02752018428687,7.198097353044645,0.07210396643495325,0.0,0.0,0.0,2.1907446063976295,2.1907446063976295,0.0,0.5195895034536097,0.5169464712364457,-0.0026430322171639986,0.05608166158191352,0.05608166158191352,0.0,0.4868598853734682,0.4868598853734682,0.0,0.513140114626532,0.513140114626532,0.0,0.41994781231070316,0.3835445692185826,-0.03640324309212056,0.36403243092120596,0.4004356740133266,0.03640324309212062,0.21601975676809096,0.21601975676809096,0.0
0.9,0.5,449,63,63.0,0.1403118040089087,141.2364582078755,148.4346020588261,7.198143850950601,0.05096519653839085,0.0,0.0,0.0,3.589226341241556,3.589226341241556,0.0,0.6830356155195811,0.6771419875981821,-0.005893627921399025,0.11964087804138519,0.11964087804138519,0.0,0.5438636457772439,0.5438636457772439,0.0,0.4561363542227561,0.4561363542227561,0.0,0.3732966077123804,0.34093733173176494,-0.03235927598061544,0.3391666321501056,0.35595203578677054,0.01678540363666492,0.28753676013751395,0.3031106324814646,0.015573872343950634
