policy,drain_window_s,retained_prefill_fraction,release_policy,target_moved_fraction,network_capacity_pressure,prefill_capacity_pressure,absolute_p95_delay_over_deadline,absolute_deadline_miss_rate,verdict
Deadline-aware,20.0,0.25,edf,1.0000186393289843,0.7584919587008547,0.7695071193866373,0.8676277470128904,0.0,Pass
Online queue,20.0,0.25,edf,0.8111835973904938,0.8630234190769233,0.9477327491785322,4.08944493089133,0.6417582417582418,Target shortfall
Least loaded,20.0,0.25,edf,0.7730102516309414,0.8059645636923077,0.9477327491785325,4.314574241784117,0.6666666666666666,Target shortfall
Replay only,20.0,0.25,edf,0.9392424833734074,0.000105723076923,1.2048192771084336,1.7122751829103262,0.406060606060606,Target shortfall
State only,20.0,0.25,edf,1.059645852749301,1.1064615384615382,0.0,0.600591184957265,0.0,Network overload
