deadline_headroom,linear_overrun_weight,quadratic_overrun_weight,drain_window_s,status,safe,p95_delay_over_deadline,deadline_miss_rate,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction
0.6,5.0,25.0,0.0,OK,False,0.8411841212669414,0.012953367875647668,0.030737584355555545,0.04546282098089327,0.5438636457772439,0.4561363542227561
0.6,5.0,25.0,900.0,OK,True,0.12269565712216585,0.0,0.030737584355555545,0.04546282098089327,0.5438636457772439,0.4561363542227561
0.6,5.0,25.0,1800.0,OK,True,0.059820439020692596,0.0,0.030737584355555545,0.04546282098089327,0.5438636457772439,0.4561363542227561
0.6,5.0,25.0,3600.0,OK,True,0.059820439020692596,0.0,0.030737584355555545,0.04546282098089327,0.5438636457772439,0.4561363542227561
0.6,5.0,100.0,0.0,OK,False,0.8397815721034622,0.012953367875647668,0.030737584355555545,0.04742558111232809,0.5438636457772439,0.4561363542227561
0.6,5.0,100.0,900.0,OK,True,0.12269565712216585,0.0,0.030737584355555545,0.04742558111232809,0.5438636457772439,0.4561363542227561
0.6,5.0,100.0,1800.0,OK,True,0.05982155929419643,0.0,0.030737584355555545,0.04742558111232809,0.5438636457772439,0.4561363542227561
0.6,5.0,100.0,3600.0,OK,True,0.05982155929419643,0.0,0.030737584355555545,0.04742558111232809,0.5438636457772439,0.4561363542227561
0.6,5.0,500.0,0.0,OK,False,0.8397815721034622,0.012953367875647668,0.030737584355555545,0.04745673603504928,0.5438636457772439,0.4561363542227561
0.6,5.0,500.0,900.0,OK,True,0.12269565712216585,0.0,0.030737584355555545,0.04745673603504928,0.5438636457772439,0.4561363542227561
0.6,5.0,500.0,1800.0,OK,True,0.05982155929419643,0.0,0.030737584355555545,0.04745673603504928,0.5438636457772439,0.4561363542227561
0.6,5.0,500.0,3600.0,OK,True,0.05982155929419643,0.0,0.030737584355555545,0.04745673603504928,0.5438636457772439,0.4561363542227561
0.6,25.0,25.0,0.0,OK,False,0.8411841212669414,0.012953367875647668,0.030737808410256397,0.04346890592673725,0.5438636457772439,0.4561363542227561
0.6,25.0,25.0,900.0,OK,True,0.12269565712216632,0.0,0.030737808410256397,0.04346890592673725,0.5438636457772439,0.4561363542227561
0.6,25.0,25.0,1800.0,OK,True,0.059820439020692596,0.0,0.030737808410256397,0.04346890592673725,0.5438636457772439,0.4561363542227561
0.6,25.0,25.0,3600.0,OK,True,0.059820439020692596,0.0,0.030737808410256397,0.04346890592673725,0.5438636457772439,0.4561363542227561
0.6,25.0,100.0,0.0,OK,False,0.8411841212669414,0.012953367875647668,0.030737584355555545,0.04543166605817208,0.5438636457772439,0.4561363542227561
0.6,25.0,100.0,900.0,OK,True,0.12269565712216585,0.0,0.030737584355555545,0.04543166605817208,0.5438636457772439,0.4561363542227561
