policy,drain_window_s,max_safe_retained_prefill_fraction,max_safe_retained_prefill_fraction_std,seed_count,release_policy
deadline-penalty-rounded,10.0,0.1875,0.0,1,edf
deadline-penalty-rounded,12.5,0.1875,0.0,1,edf
deadline-penalty-rounded,16.0,0.27,0.0,1,edf
deadline-penalty-rounded,20.0,0.3928,0.0,1,edf
deadline-penalty-rounded,25.0,0.46,0.0,1,edf
deadline-penalty-rounded,32.0,0.5234,0.0,1,edf
deadline-penalty-rounded,40.0,0.7,0.0,1,edf
deadline-penalty-rounded,50.0,0.5022,0.0,1,edf
deadline-penalty-rounded,63.0,0.7422,0.0,1,edf
deadline-penalty-rounded,80.0,0.7422,0.0,1,edf
deadline-penalty-rounded,100.0,0.7422,0.0,1,edf
deadline-penalty-rounded,125.0,0.7422,0.0,1,edf
deadline-penalty-rounded,160.0,0.7422,0.0,1,edf
deadline-penalty-rounded,200.0,0.7422,0.0,1,edf
deadline-penalty-rounded,250.0,0.7422,0.0,1,edf
deadline-penalty-rounded,300.0,0.71,0.0,1,edf
deadline-penalty-rounded,400.0,0.7522,0.0,1,edf
deadline-penalty-rounded,500.0,0.7422,0.0,1,edf
deadline-penalty-rounded,600.0,0.71,0.0,1,edf
deadline-penalty-rounded,800.0,0.74,0.0,1,edf
deadline-penalty-rounded,1000.0,0.7522,0.0,1,edf
deadline-penalty-rounded,1200.0,0.7522,0.0,1,edf
deadline-penalty-rounded,1600.0,0.7422,0.0,1,edf
deadline-penalty-rounded,2000.0,0.7422,0.0,1,edf
deadline-penalty-rounded,2400.0,0.7422,0.0,1,edf
deadline-penalty-rounded,3000.0,0.74,0.0,1,edf
deadline-penalty-rounded,3600.0,0.7422,0.0,1,edf
least-loaded-destination,10.0,0.0,0.0,1,edf
least-loaded-destination,12.5,0.0,0.0,1,edf
least-loaded-destination,16.0,0.0,0.0,1,edf
least-loaded-destination,20.0,0.0,0.0,1,edf
least-loaded-destination,25.0,0.0,0.0,1,edf
least-loaded-destination,32.0,0.0,0.0,1,edf
least-loaded-destination,40.0,0.0,0.0,1,edf
least-loaded-destination,50.0,0.0,0.0,1,edf
least-loaded-destination,63.0,0.0,0.0,1,edf
least-loaded-destination,80.0,0.0,0.0,1,edf
least-loaded-destination,100.0,0.0,0.0,1,edf
least-loaded-destination,125.0,0.0,0.0,1,edf
least-loaded-destination,160.0,0.0,0.0,1,edf
least-loaded-destination,200.0,0.0,0.0,1,edf
least-loaded-destination,250.0,0.0,0.0,1,edf
least-loaded-destination,300.0,0.0,0.0,1,edf
least-loaded-destination,400.0,0.0,0.0,1,edf
least-loaded-destination,500.0,0.0,0.0,1,edf
least-loaded-destination,600.0,0.0,0.0,1,edf
least-loaded-destination,800.0,0.0,0.0,1,edf
least-loaded-destination,1000.0,0.0,0.0,1,edf
least-loaded-destination,1200.0,0.0,0.0,1,edf
least-loaded-destination,1600.0,0.0,0.0,1,edf
least-loaded-destination,2000.0,0.0,0.0,1,edf
least-loaded-destination,2400.0,0.0,0.0,1,edf
least-loaded-destination,3000.0,0.0,0.0,1,edf
least-loaded-destination,3600.0,0.0,0.0,1,edf
online-queue-greedy,10.0,0.01,0.0,1,edf
online-queue-greedy,12.5,0.01,0.0,1,edf
online-queue-greedy,16.0,0.01,0.0,1,edf
online-queue-greedy,20.0,0.01,0.0,1,edf
online-queue-greedy,25.0,0.01,0.0,1,edf
online-queue-greedy,32.0,0.01,0.0,1,edf
online-queue-greedy,40.0,0.01,0.0,1,edf
online-queue-greedy,50.0,0.01,0.0,1,edf
online-queue-greedy,63.0,0.01,0.0,1,edf
online-queue-greedy,80.0,0.01,0.0,1,edf
online-queue-greedy,100.0,0.01,0.0,1,edf
online-queue-greedy,125.0,0.01,0.0,1,edf
online-queue-greedy,160.0,0.01,0.0,1,edf
online-queue-greedy,200.0,0.01,0.0,1,edf
online-queue-greedy,250.0,0.01,0.0,1,edf
online-queue-greedy,300.0,0.01,0.0,1,edf
online-queue-greedy,400.0,0.01,0.0,1,edf
online-queue-greedy,500.0,0.01,0.0,1,edf
online-queue-greedy,600.0,0.01,0.0,1,edf
online-queue-greedy,800.0,0.01,0.0,1,edf
online-queue-greedy,1000.0,0.01,0.0,1,edf
online-queue-greedy,1200.0,0.01,0.0,1,edf
online-queue-greedy,1600.0,0.01,0.0,1,edf
online-queue-greedy,2000.0,0.01,0.0,1,edf
online-queue-greedy,2400.0,0.01,0.0,1,edf
online-queue-greedy,3000.0,0.01,0.0,1,edf
online-queue-greedy,3600.0,0.01,0.0,1,edf
replay-only,10.0,0.08,0.0,1,edf
replay-only,12.5,0.0703,0.0,1,edf
replay-only,16.0,0.13,0.0,1,edf
replay-only,20.0,0.16,0.0,1,edf
replay-only,25.0,0.19,0.0,1,edf
replay-only,32.0,0.22,0.0,1,edf
replay-only,40.0,0.32,0.0,1,edf
replay-only,50.0,0.3906,0.0,1,edf
replay-only,63.0,0.3906,0.0,1,edf
replay-only,80.0,0.4219,0.0,1,edf
replay-only,100.0,0.45,0.0,1,edf
replay-only,125.0,0.3359,0.0,1,edf
replay-only,160.0,0.5391,0.0,1,edf
replay-only,200.0,0.3359,0.0,1,edf
replay-only,250.0,0.625,0.0,1,edf
replay-only,300.0,0.625,0.0,1,edf
replay-only,400.0,0.3359,0.0,1,edf
replay-only,500.0,0.625,0.0,1,edf
replay-only,600.0,0.3359,0.0,1,edf
replay-only,800.0,0.625,0.0,1,edf
replay-only,1000.0,0.625,0.0,1,edf
replay-only,1200.0,0.3359,0.0,1,edf
replay-only,1600.0,0.3359,0.0,1,edf
replay-only,2000.0,0.3359,0.0,1,edf
replay-only,2400.0,0.3359,0.0,1,edf
replay-only,3000.0,0.625,0.0,1,edf
replay-only,3600.0,0.3359,0.0,1,edf
state-only,10.0,0.0959,0.0,1,edf
state-only,12.5,0.125,0.0,1,edf
state-only,16.0,0.15,0.0,1,edf
state-only,20.0,0.1875,0.0,1,edf
state-only,25.0,0.2,0.0,1,edf
state-only,32.0,0.21,0.0,1,edf
state-only,40.0,0.38,0.0,1,edf
state-only,50.0,0.4375,0.0,1,edf
state-only,63.0,0.4531,0.0,1,edf
state-only,80.0,0.48,0.0,1,edf
state-only,100.0,0.4922,0.0,1,edf
state-only,125.0,0.5234,0.0,1,edf
state-only,160.0,0.54,0.0,1,edf
state-only,200.0,0.54,0.0,1,edf
state-only,250.0,0.54,0.0,1,edf
state-only,300.0,0.41,0.0,1,edf
state-only,400.0,0.54,0.0,1,edf
state-only,500.0,0.54,0.0,1,edf
state-only,600.0,0.54,0.0,1,edf
state-only,800.0,0.41,0.0,1,edf
state-only,1000.0,0.54,0.0,1,edf
state-only,1200.0,0.41,0.0,1,edf
state-only,1600.0,0.54,0.0,1,edf
state-only,2000.0,0.41,0.0,1,edf
state-only,2400.0,0.41,0.0,1,edf
state-only,3000.0,0.41,0.0,1,edf
state-only,3600.0,0.54,0.0,1,edf
