seed,policy,integer_classes,integer_requests,enumerated_allocations,drain_window_s,retained_prefill_fraction,release_policy,target_moved_fraction,network_capacity_pressure,prefill_capacity_pressure,absolute_p95_delay_over_deadline,absolute_deadline_miss_rate,integer_objective,runtime_s,verdict
0,Integer feasibility oracle,2,6,1216,20.0,0.25,edf,1.3333333333333333,0.7595776050546307,0.4390944575078298,0.2906940901666494,0.0,4.624536380886507,0.3813482080004178,Pass
0,Deadline-aware,2,6,,20.0,0.25,edf,1.1428571428571428,0.47973322424503,0.4109145056651018,0.30737488548484954,0.0,3.625980408809095,0.01916241701110266,Pass
0,Online queue,2,6,,20.0,0.25,edf,1.1428571428571428,0.47973322424503,0.4109145056651018,0.30737488548484954,0.0,3.625980408809095,0.00044133298797532916,Pass
0,Least loaded,2,6,,20.0,0.25,edf,1.1428571428571428,0.1516107796612843,0.4390944575078298,0.31217018125165036,0.0,3.85190993859404,0.00041516698547638953,Pass
0,Replay only,2,6,,20.0,0.25,edf,1.5238095238095237,0.31982214949668664,1.1709185533542128,0.29694849233604387,0.0,inf,0.0004424579965416342,Prefill overload
0,State only,2,6,,20.0,0.25,edf,1.5238095238095237,1.2792885979867465,0.0,0.29078057802365276,0.0,inf,0.0004302500165067613,Network overload
1,Integer feasibility oracle,2,8,4391,20.0,0.25,edf,1.0526315789473684,0.707503180440813,0.0,0.30549914862910976,0.0,3.873867731283565,1.414511750015663,Pass
1,Deadline-aware,2,8,,20.0,0.25,edf,1.0526315789473684,1.1791719674013548,0.0,0.3052842983106873,0.0,inf,0.017341792001388967,Network overload
1,Online queue,2,8,,20.0,0.25,edf,1.263157894736842,0.9433375739210837,0.0,0.4453561963627462,0.0,5.852878408377601,0.00045479199616238475,Pass
1,Least loaded,2,8,,20.0,0.25,edf,1.263157894736842,0.5895859837006774,0.4661842032641761,0.4455341003538461,0.0,4.547655640686519,0.0004428749962244183,Pass
1,Replay only,2,8,,20.0,0.25,edf,1.263157894736842,0.4217729801133932,1.2778354338185507,0.4459835681008132,0.0,inf,0.00047066700062714517,Prefill overload
1,State only,2,8,,20.0,0.25,edf,1.263157894736842,1.415006360881626,0.0,0.30563947869457164,0.0,inf,0.00045237498125061393,Network overload
2,Integer feasibility oracle,2,7,2431,20.0,0.25,edf,1.1111111111111112,0.7608289404349688,0.42664597823963984,0.30066946587725185,0.0,4.096332490477899,0.7767739580012858,Pass
2,Deadline-aware,2,7,,20.0,0.25,edf,1.1111111111111112,1.2680482340582815,0.0,0.30051736779084026,0.0,inf,0.01777670899173245,Network overload
2,Online queue,2,7,,20.0,0.25,edf,1.3333333333333333,0.7382317630586434,0.42664597823963984,0.41675972866768096,0.0,5.046093381035066,0.00045979200513102114,Pass
2,Least loaded,2,7,,20.0,0.25,edf,1.3333333333333333,0.6340241170291407,0.48367136173914127,0.41684993924688973,0.0,4.853107610224923,0.00044029197306372225,Pass
2,Replay only,2,7,,20.0,0.25,edf,1.3333333333333333,0.44293905783518606,1.2799379347189197,0.3051097340115286,0.0,inf,0.0005034169880673289,Prefill overload
2,State only,2,7,,20.0,0.25,edf,1.1111111111111112,0.7608289404349688,0.0,0.30070641285819455,0.0,4.297147461877948,0.0005268329987302423,Pass
3,Integer feasibility oracle,2,6,1216,20.0,0.25,edf,1.3333333333333333,0.8796760345451533,0.4496851623588829,0.29574309101723256,0.0,4.683542394690032,0.38793979201000184,Pass
3,Deadline-aware,2,6,,20.0,0.25,edf,1.0666666666666667,0.5026720197400876,0.4449225752604049,0.33542801195203026,0.0,3.0631765652872645,0.017126666993135586,Pass
3,Online queue,2,6,,20.0,0.25,edf,1.0666666666666667,0.5819579060555551,0.0,0.33504320590485376,0.0,3.176955460632983,0.0004369169764686376,Pass
3,Least loaded,2,6,,20.0,0.25,edf,1.0666666666666667,0.14548947651388877,0.4496851623588829,0.33560212861449645,0.0,3.203867613963845,0.0004264579911250621,Pass
3,Replay only,2,6,,20.0,0.25,edf,1.0666666666666667,0.2513360098700438,0.8993703247177658,0.3349166956914582,0.0,4.289905347682052,0.0004510420258156955,Pass
3,State only,2,6,,20.0,0.25,edf,1.0666666666666667,1.0053440394801751,0.0,0.33143436244213476,0.0,inf,0.00044083400280214846,Network overload
4,Integer feasibility oracle,2,9,8785,20.0,0.25,edf,1.0,0.9299857776564415,0.6171939821360533,0.29709026941657773,0.0,6.693852651570989,2.841012541000964,Pass
4,Deadline-aware,2,9,,20.0,0.25,edf,1.0,0.9299857776564415,0.6171939821360533,0.29709026941657773,0.0,6.693852651570989,0.02787200000602752,Pass
4,Online queue,2,9,,20.0,0.25,edf,1.125,0.6974893332423311,0.4628954866020399,0.4012728162525738,0.0,6.480925452704451,0.0004580410022754222,Pass
4,Least loaded,2,9,,20.0,0.25,edf,1.125,0.6974893332423311,0.5094093611534446,0.4012728162525738,0.0,6.35049850914875,0.00044341699685901403,Pass
4,Replay only,2,9,,20.0,0.25,edf,1.125,0.27899573329693245,0.9257909732040798,0.4035845684732895,0.0,7.5495127049264,0.0004944999818690121,Pass
4,State only,2,9,,20.0,0.25,edf,1.125,1.1159829331877298,0.0,0.40101595489471653,0.0,inf,0.0004738749994430691,Network overload
5,Integer feasibility oracle,2,9,8785,20.0,0.25,edf,1.032258064516129,0.8871193570137981,0.0,0.2958466125390509,0.0,7.291169355565129,2.8492276670003776,Pass
5,Deadline-aware,2,9,,20.0,0.25,edf,1.032258064516129,0.22177983925344952,0.684520072229632,0.2967637745952895,0.0,6.305756161674022,0.0169855410058517,Pass
5,Online queue,2,9,,20.0,0.25,edf,1.1612903225806452,0.7729852423176701,0.513390054172224,0.4595979892397226,0.0,7.139817309546364,0.000455000001238659,Pass
5,Least loaded,2,9,,20.0,0.25,edf,1.1612903225806452,0.7729852423176701,0.513390054172224,0.4602605087255714,0.0,6.963575615187036,0.0004352079995442182,Pass
5,Replay only,2,9,,20.0,0.25,edf,1.032258064516129,0.41225879590275744,1.369040144459264,0.296191705893553,0.0,inf,0.000471291015855968,Prefill overload
5,State only,2,9,,20.0,0.25,edf,1.1612903225806452,1.2367763877082723,0.0,0.4595979892397226,0.0,inf,0.00047029199777171016,Network overload
6,Integer feasibility oracle,2,9,8785,20.0,0.25,edf,1.0434782608695652,0.8526645512001851,0.0,0.2966268253740232,0.0,5.382226340761536,2.836643082991941,Pass
6,Deadline-aware,2,9,,20.0,0.25,edf,1.0434782608695652,0.9019916817780084,0.6803175057388094,0.2966426168472558,0.0,5.662833259053116,0.01675629199598916,Pass
6,Online queue,2,9,,20.0,0.25,edf,1.0434782608695652,0.962124460563209,0.0,0.4304004499864829,0.0,6.241578332190006,0.0004519580106716603,Pass
6,Least loaded,2,9,,20.0,0.25,edf,1.0434782608695652,0.6013277878520057,0.4577439408209531,0.43081659479846685,0.0,4.589594511539904,0.0004429580003488809,Pass
6,Replay only,2,9,,20.0,0.25,edf,1.0434782608695652,0.24053111514080225,0.907090007651746,0.43456189810632234,0.0,5.8458728576987244,0.0004921249928884208,Pass
6,State only,2,9,,20.0,0.25,edf,1.0434782608695652,1.4431866908448134,0.0,0.4304004499864829,0.0,inf,0.0004583749978337437,Network overload
