model,kv_bytes_per_token,context_bytes_per_token,prefill_tokens_per_s,context_tokens,request_count,network_throughput_gbps,crossover_gbps,replay_time_s,state_transfer_time_s,replay_fraction,state_transfer_fraction
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.25,1.1004352,9225.017093525179,40550.4,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.26627482862474927,1.1004352,9224.0156966092,38071.942632949824,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.2836091374365584,1.1004352,9223.075505490542,35744.969614273155,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.3020718978693302,1.1004352,9222.192779245339,33560.22215739283,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.3217365713500347,1.1004352,9221.364005596544,31509.007376630347,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.3426814015941796,1.1004352,9220.58588693896,29583.16369910688,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.3649897259295163,1.1004352,9219.855327218385,27775.028390683216,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.38875030688670464,1.1004352,9219.169419612746,26077.407066727923,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.41405768537630394,1.1004352,9218.52543496615,24483.545066399976,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.4410125568573427,1.1004352,9217.920810929845,22987.10057654725,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.4697221719942057,1.1004352,9217.353141766911,21582.11939828349,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.5003007633960085,1.1004352,9216.820168780067,20263.01125584267,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.5328700001364136,1.1004352,9216.319771324552,19024.527553446045,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.5675594718623748,1.1004352,9215.849958370303,17861.740491678775,1.0,0.0
DeepSeek-V4-Pro,9900.0,4.0,13900.0,128000,1000,0.6045072044180282,1.1004352,9215.408860579839,16770.023460282297,1.0,0.0
