policy,deadline_scale,drain_window_s,max_safe_source_prefill_fraction,p95_delay_at_frontier,p95_delay_over_deadline_at_frontier,deadline_miss_rate_at_frontier,network_capacity_pressure_at_frontier,prefill_capacity_pressure_at_frontier,replay_source_prefill_fraction_at_frontier,state_transfer_source_prefill_fraction_at_frontier,drain_completion_s_at_frontier
CVXPY-rounded,0.25,1800.0,0.7,3.589450395942549,0.23928773087479083,0.0,0.5203692832820516,1.0890982110259217,0.6154440154440157,0.3845559845559843,1799.5122408026757
CVXPY-rounded,0.5,1800.0,0.7,3.589450395942549,0.11964386543739541,0.0,0.5203692832820516,1.0890982110259217,0.6154440154440157,0.3845559845559843,1799.5122408026757
CVXPY-rounded,1.0,1800.0,0.7,3.589450395942549,0.05982193271869771,0.0,0.5203692832820516,1.0890982110259217,0.6154440154440157,0.3845559845559843,1799.5122408026757
CVXPY-rounded,2.0,1800.0,0.7,3.589450395942549,0.029910966359348853,0.0,0.5203692832820516,1.0890982110259217,0.6154440154440157,0.3845559845559843,1799.5122408026757
deadline-penalty-rounded,0.25,1800.0,0.7,5.005976232478721,0.2685669014245074,0.0,0.6710296943589742,1.0890982110259217,0.6103315137797898,0.38966848622021005,1795.9578396072013
deadline-penalty-rounded,0.5,1800.0,0.7,4.028503521367611,0.1196483465314183,0.0,0.6710141505641024,1.1489156626506023,0.5949940087871125,0.40500599121288744,1798.0009269391696
deadline-penalty-rounded,1.0,1800.0,0.7,3.589450395942549,0.05982215677339885,0.0,0.6710141505641024,1.0890982110259217,0.6018106776727469,0.3981893223272531,1799.5122408026757
deadline-penalty-rounded,2.0,1800.0,0.7,3.589450395942549,0.029911078386699427,0.0,0.6710141505641024,1.0890982110259217,0.6018106776727469,0.3981893223272531,1799.5122408026757
deadline-aware-m0.8-rounded,0.25,1800.0,0.6,16.596923076923076,0.3250831026233901,0.0,1.0355420717948716,0.4455932822197883,0.4270037278657968,0.5729962721342031,1800.890567210567
deadline-aware-m0.8-rounded,0.5,1800.0,0.7,7.216961729517721,0.20142517606837676,0.0,1.4893690566381763,1.1151953267615917,0.6286845959259751,0.37131540407402475,1812.906899055429
