policy,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,4 Gbps_retained_prefill_fraction,6 Gbps_retained_prefill_fraction,9 Gbps_retained_prefill_fraction
CVXPY,0.701771,0.298229,1.79577e-09,0.701771,0.298229
deadline-penalty,0.701771,0.298229,2.23602e-10,0.701771,0.298229
mirror-descent-best,0.701771,0.298229,0,0.701771,0.298229
crossover-greedy,0.701771,0.298229,0,0.701771,0.298229
mixed-greedy,0.701771,0.298229,0,0.701771,0.298229
replay-only,1,0,0.111836,0.728099,0.160065
state-only,0,1,0.701771,0,0.298229
