policy,shed_fraction,slack_multiplier,status,safe,failure_mode,rounded_shed_achieved,rounded_shed_target,rounded_shed_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,max_net_busy,max_prefill_busy,replay_shed_frac,state_shed_frac,fractional_max_net_busy_proxy,fractional_max_prefill_busy_proxy,objective
CVXPY-rounded,0.2,0.25,SAFE,True,,165.47469879518073,165.47469879518073,1.0,10.783633133719801,10.76747737449378,22.491738656798944,24.68231916063246,0.9280792868075004,0.0,0.24330089682051276,0.3985104052573932,0.6993010251630941,0.3006989748369059,0.2994858287515704,0.26426880349221094,4.195164844862574
mirror-descent-rounded,0.2,0.25,SAFE,True,,168.67469879518075,165.47469879518073,1.0193383038210626,10.18691428294232,10.953066621731681,17.06086560507765,17.432019627601314,0.547650596043849,0.0,0.27661538461538454,0.2920774005111354,0.5714285714285714,0.42857142857142855,0.3019229780547379,0.2631363028952126,4.197133153209687
crossover-greedy,0.2,0.25,SAFE,True,,168.67469879518075,165.47469879518073,1.0193383038210626,22.129230769230762,22.129230769230762,37.066461538461525,38.39421538461537,0.49421948717948705,0.0,0.6454358974358972,0.0,0.0,1.0,0.6331910564102562,0.0,4.4180332560326985
mixed-greedy,0.2,0.25,SAFE,True,,168.67469879518075,165.47469879518073,1.0193383038210626,22.129230769230762,22.129230769230762,37.066461538461525,38.39421538461537,0.49421948717948705,0.0,0.6454358974358972,0.0,0.0,1.0,0.6331910564102562,0.0,4.4180332560326985
replay-only,0.2,0.25,UNSAFE,False,slack misses,168.67469879518075,165.47469879518073,1.0193383038210626,16.42951788131547,16.42951788131547,29.244413828741536,30.383515690734963,0.9748137942913846,0.07142857142857142,3.829059829059827e-05,0.511135450894487,1.0,0.0,3.756417094017093e-05,0.5014384811975172,4.33355676752612
state-only,0.2,0.25,SAFE,True,,168.67469879518075,165.47469879518073,1.0193383038210626,22.129230769230762,22.129230769230762,37.066461538461525,38.39421538461537,0.49421948717948705,0.0,0.6454358974358972,0.0,0.0,1.0,0.6331910564102562,0.0,4.4180332560326985
CVXPY-rounded,0.3,0.25,UNSAFE,False,slack misses,248.21204819277108,248.21204819277105,1.0000000000000002,17.907999809082696,16.266158430085472,40.25463736564159,43.58431973146853,1.4366513577387718,0.38461538461538464,0.3021929900854702,0.7372033588901059,0.8528735632183908,0.14712643678160922,0.41823257674147063,0.4209497776047766,4.854508621983688
mirror-descent-rounded,0.3,0.25,SAFE,True,,253.0120481927711,248.21204819277105,1.0193383038210626,14.222795860364531,14.238937377481955,24.987796848934195,27.1267901390176,0.7484538088952546,0.0,0.46102564102564086,0.4016064257028112,0.5238095238095237,0.4761904761904762,0.41931250125414316,0.42018475466717486,4.8547661829005335
crossover-greedy,0.3,0.25,SAFE,True,,253.0120481927711,248.21204819277105,1.0193383038210626,27.860697062120053,27.661538461538452,52.556923076923056,54.76984615384614,0.7007589743589742,0.0,0.9220512820512817,0.036509675063891925,0.04761904761904762,0.9523809523809524,0.9220512820512818,0.021964220518437237,6.163404000197505
mixed-greedy,0.3,0.25,SAFE,True,,253.0120481927711,248.21204819277105,1.0193383038210626,27.860697062120053,27.661538461538452,52.556923076923056,54.76984615384614,0.7007589743589742,0.0,0.9220512820512817,0.036509675063891925,0.04761904761904762,0.9523809523809524,0.9220512820512818,0.021964220518437237,6.163404000197505
replay-only,0.3,0.25,UNSAFE,False,slack misses,253.0120481927711,248.21204819277105,1.0193383038210626,21.906015636625757,21.90643409816422,39.540142196759064,41.204983379672534,1.3180047398919688,0.3,5.196581196581193e-05,0.6936838262139466,1.0,0.0,5.470085470085469e-05,0.7301935012778386,5.363911113716309
state-only,0.3,0.25,SAFE,True,,248.45108433734939,248.21204819277105,1.000963031997515,8.017517460412758,3.1724465230769243,38.726153846153835,47.577846153846146,0.6244180458119661,0.0,0.8298461538461536,0.0,0.0,1.0,0.9220512820512818,0.0,6.231842879151096
CVXPY-rounded,0.4,0.25,UNSAFE,False,slack misses,330.94939759036146,330.94939759036146,1.0,24.191701868535436,21.53446182864568,53.74536636072683,58.12652736839386,1.9441229629487835,0.6078431372549019,0.4029165182905984,0.8832420591456737,0.8568499534016776,0.14315004659832248,0.5450706089652646,0.5712230718557325,5.632172016765513
mirror-descent-rounded,0.4,0.25,UNSAFE,False,slack misses,337.3493975903615,330.94939759036146,1.0193383038210626,18.82272889549297,18.620098385148985,33.17709742915718,34.65977490178897,1.0916447544958388,0.13636363636363635,0.5532307692307691,0.5841548010222708,0.5714285714285714,0.42857142857142866,0.5447021134396993,0.5715456185021748,5.632277893859781
crossover-greedy,0.4,0.25,SAFE,True,,337.3493975903615,330.94939759036146,1.0193383038210626,21.28550744641346,15.965575353160894,50.62061538461536,54.38258461538459,0.674941538461538,0.0,0.9220512820512817,0.2920774005111354,0.28571428571428575,0.7142857142857143,0.9220512820512818,0.272683461117196,6.73542283054957
mixed-greedy,0.4,0.25,SAFE,True,,337.3493975903615,330.94939759036146,1.0193383038210626,21.28550744641346,15.965575353160894,50.62061538461536,54.38258461538459,0.674941538461538,0.0,0.9220512820512817,0.2920774005111354,0.28571428571428575,0.7142857142857143,0.9220512820512818,0.272683461117196,6.73542283054957
replay-only,0.4,0.25,UNSAFE,False,prefill bottleneck,337.3493975903615,330.94939759036146,1.0193383038210626,25.557148613100424,23.002408110764737,43.81256460658485,60.6801739732824,1.3764202199941957,0.2916666666666667,5.47008547008547e-05,1.095290251916758,1.0,0.0,5.470085470085469e-05,0.9999999981818182,26.37636008027459
state-only,0.4,0.25,UNSAFE,False,slack misses,331.7667469879518,330.94939759036146,1.0024697110904008,9.319113730316747,7.628978543589749,27.384923076923005,49.73544615384611,1.751391905914531,0.4215686274509804,0.9220512820512817,0.0,0.0,1.0,0.9220512820512818,0.0,7.571496325859215
CVXPY-rounded,0.5,0.25,UNSAFE,False,prefill bottleneck,413.6867469879518,413.6867469879518,1.0,28.803720458549897,25.350224276553863,66.90750828023702,72.60301759020416,2.441316448736834,0.6818181818181818,0.6118618336638177,1.0292807594012414,0.8401491146318733,0.1598508853681267,0.6803315163414301,0.7148260855879098,6.621191288763715
mirror-descent-rounded,0.5,0.25,UNSAFE,False,slack misses,421.68674698795184,413.6867469879518,1.0193383038210626,22.791721874080103,22.129230769230762,40.964019524250844,43.57277189406576,1.2924479673472444,0.2222222222222222,0.7376410256410254,0.6936838262139466,0.5428571428571427,0.4571428571428572,0.6970748540138584,0.7015924496740565,6.623775909888103
crossover-greedy,0.5,0.25,UNSAFE,False,slack misses,421.68674698795184,413.6867469879518,1.0193383038210626,22.68596180301626,21.90596914089926,48.68430769230766,53.99532307692305,1.007672501848887,0.08,0.9220512820512817,0.5476451259583789,0.4285714285714285,0.5714285714285714,0.9220512820512818,0.5234027017159545,7.433947085657724
mixed-greedy,0.5,0.25,UNSAFE,False,slack misses,421.68674698795184,413.6867469879518,1.0193383038210626,22.68596180301626,21.90596914089926,48.68430769230766,53.99532307692305,1.007672501848887,0.08,0.9220512820512817,0.5476451259583789,0.4285714285714285,0.5714285714285714,0.9220512820512818,0.5234027017159545,7.433947085657724
replay-only,0.5,0.25,INFEASIBLE,False,infeasible,nan,413.6867469879518,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
state-only,0.5,0.25,UNSAFE,False,network bottleneck,413.7561445783133,413.6867469879518,1.0001677539608576,13.850424837934668,5.532307692307691,56.06693380376067,76.0059647737436,1.8688977934586888,0.1643835616438356,1.3628458885470087,0.0,0.0,1.0,0.9999999984615384,0.0,31.139880626798345
CVXPY-rounded,0.6,0.25,UNSAFE,False,prefill bottleneck,496.4240963855422,496.4240963855421,1.0000000000000002,17.821726214585595,8.686460717948723,60.554555953478804,71.3322120323397,2.33689044990757,0.4838709677419355,0.6361977217094019,0.9694633077765608,0.6683131407269338,0.3316868592730662,0.7328422560671073,0.7301934512757413,7.926541049654631
mirror-descent-rounded,0.6,0.25,UNSAFE,False,slack misses,496.4934939759036,496.4240963855421,1.0001397949673814,10.491439524815277,8.157719630769236,33.750527956862406,41.31451240486421,1.6577291990427363,0.4,0.6454358974358972,0.7301935012778386,0.4853313454161426,0.5146686545838575,0.5999046940149156,0.7301935012778386,8.026575435734593
crossover-greedy,0.6,0.25,UNSAFE,False,slack misses,496.4934939759036,496.4240963855421,1.0001397949673814,10.491439524815277,8.157719630769236,33.750527956862406,41.31451240486421,1.6577291990427363,0.4,0.6454358974358972,0.7301935012778386,0.4853313454161426,0.5146686545838575,0.9220512820512818,0.7301935012778386,8.460399076760513
mixed-greedy,0.6,0.25,UNSAFE,False,slack misses,496.4934939759036,496.4240963855421,1.0001397949673814,10.491439524815277,8.157719630769236,33.750527956862406,41.31451240486421,1.6577291990427363,0.4,0.6454358974358972,0.7301935012778386,0.4853313454161426,0.5146686545838575,0.9220512820512818,0.7301935012778386,8.460399076760513
replay-only,0.6,0.25,INFEASIBLE,False,infeasible,nan,496.4240963855421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
state-only,0.6,0.25,INFEASIBLE,False,infeasible,nan,496.4240963855421,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
CVXPY-rounded,0.7,0.25,UNSAFE,False,prefill bottleneck,579.1614457831325,579.1614457831324,1.0000000000000002,16.227938216604954,10.822252049298175,49.0596373618401,58.50190409693377,2.4389282023172734,0.5632911392405063,0.6471112394757836,0.9694633077765608,0.6001065104513383,0.3998934895486617,0.8099793480502012,0.730193478873881,9.429967163098194
mirror-descent-rounded,0.7,0.25,UNSAFE,False,slack misses,579.6395180722892,579.1614457831324,1.00082545599787,11.4214744596296,9.06413292307693,36.36380046620045,44.133389077877936,1.8651971303931638,0.4418604651162791,0.8298461538461536,0.7301935012778386,0.41571329750439,0.5842867024956099,0.820103584367851,0.7301935012778386,9.439374405650495
crossover-greedy,0.7,0.25,UNSAFE,False,slack misses,579.6395180722892,579.1614457831324,1.00082545599787,11.72165176036504,9.06413292307693,38.13170537478584,48.24172307692305,1.8651971303931638,0.4418604651162791,0.9220512820512817,0.7301935012778386,0.41571329750439,0.5842867024956099,0.9220512820512818,0.7301935012778386,9.805326308919724
mixed-greedy,0.7,0.25,UNSAFE,False,slack misses,579.6395180722892,579.1614457831324,1.00082545599787,11.72165176036504,9.06413292307693,38.13170537478584,48.24172307692305,1.8651971303931638,0.4418604651162791,0.9220512820512817,0.7301935012778386,0.41571329750439,0.5842867024956099,0.9220512820512818,0.7301935012778386,9.805326308919724
replay-only,0.7,0.25,INFEASIBLE,False,infeasible,nan,579.1614457831324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
state-only,0.7,0.25,INFEASIBLE,False,infeasible,nan,579.1614457831324,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,
