policy,retained_prefill_fraction,deadline_scale,status,safe,rounded_retained_prefill_moved_s,rounded_retained_prefill_target_s,rounded_retained_prefill_ratio,mean_delay,p50_delay,p95_delay,p99_delay,p95_normalized_delay,miss_rate,drain_window_s,retained_prefill_removal_rate_s_per_s,drain_completion_s,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,repair_move_count,repair_move_summary
mirror-descent-rounded,0.9,0.25,OK,True,748.4144578313253,744.6361445783132,1.0050740395567983,0.701220471910786,0.056085162436488645,4.3972851003436375,13.36363076923118,0.2620402141691601,0.0,1800.0,0.4157858099062918,1820.028959276019,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,0,
crossover-greedy,0.9,0.25,OK,True,748.4144578313253,744.6361445783132,1.0050740395567983,0.701220471910786,0.056085162436488645,4.3972851003436375,13.36363076923118,0.2620402141691601,0.0,1800.0,0.4157858099062918,1820.028959276019,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,0,
mixed-greedy,0.9,0.25,OK,True,748.4144578313253,744.6361445783132,1.0050740395567983,0.701220471910786,0.056085162436488645,4.3972851003436375,13.36363076923118,0.2620402141691601,0.0,1800.0,0.4157858099062918,1820.028959276019,0.03073556786324785,0.06604843616891806,0.546157016278591,0.4538429837214091,0,
replay-only,0.9,0.25,OK,False,748.4144578313253,744.6361445783132,1.0050740395567983,2.6133504852142653,0.056085162436488645,4.397509155044631,93.75859675531865,0.29159188473369974,0.013725490196078431,1800.0,0.4157858099062918,1983.7650267533859,7.246769230769235e-06,0.12169891687963978,1.0,0.0,0,
state-only,0.9,0.25,OK,False,748.4144578313253,744.6361445783132,1.0050740395567983,5.410758831613297,0.1510688820512769,17.5291172199109,149.1824299245883,1.018868175605966,0.052941176470588235,1800.0,0.4157858099062918,1954.9707416390181,0.24011034985754978,0.0,0.0,1.0,0,
CVXPY-rounded,0.2,0.5,OK,True,165.47855421686745,165.47469879518073,1.0000232991612301,0.25468424905554093,0.1510688820512769,0.22432664632759725,2.1907446063976295,0.05608166158189931,0.0,1800.0,0.09193253012048191,1787.3147115485465,0.008427694653751195,0.008203480589022757,0.40280981337806715,0.5971901866219328,0,
repaired-CVXPY-rounded,0.2,0.5,OK,True,165.47855421686745,165.47469879518073,1.0000232991612301,0.25199251247750587,0.1510688820512769,0.1510688820512769,2.1907446063976295,0.056081661581898694,0.0,1800.0,0.09193253012048191,1787.3147115485465,0.008392824584995259,0.006084945843981988,0.4035553691666089,0.596444630833391,7,class0:k0/replay->k2/replay x1; class0:k1/replay->k2/replay x1; class0:k1/state->k2/replay x1; class0:k2/state->k2/replay x1; class1:k1/replay->k0/replay x1; class1:k2/replay->k0/replay x1; class3:k1/replay->k2/replay x1
deadline-aware-m0.8-rounded,0.2,0.5,OK,True,165.4746987951807,165.47469879518073,0.9999999999999998,0.8068948572221886,0.09441805128204805,4.028503521367611,14.18729572649574,0.14162707692307208,0.0,1800.0,0.09193038821954483,1805.1319549240568,0.026127709720797716,0.008971157356699525,0.35177073625349486,0.6482292637465051,0,
deadline-aware-m1.0-rounded,0.2,0.5,OK,True,165.51710843373496,165.47469879518073,1.0002562907735322,0.6617458215241321,0.06294536752136537,3.5893025198398165,11.5511437347009,0.1416270769231005,0.0,1800.0,0.09195394912985276,1797.4965934065935,0.027679084526495725,0.009220396738469026,0.38447741725093754,0.6155225827490625,0,
mirror-descent-rounded,0.2,0.5,OK,True,170.9879518072289,165.47469879518073,1.0333178005591799,0.2665222249388065,0.1510688820512769,1.680825675311043,2.1907446063976295,0.029902122280825102,0.0,1800.0,0.09499330655957161,1785.2096125309258,0.008392715669515678,0.007301935012778386,0.4227733934611053,0.5772266065388946,0,
crossover-greedy,0.2,0.5,OK,True,170.9879518072289,165.47469879518073,1.0333178005591799,0.2665222249388065,0.1510688820512769,1.680825675311043,2.1907446063976295,0.029902122280825102,0.0,1800.0,0.09499330655957161,1785.2096125309258,0.008392715669515678,0.007301935012778386,0.4227733934611053,0.5772266065388946,0,
mixed-greedy,0.2,0.5,OK,True,170.9879518072289,165.47469879518073,1.0333178005591799,0.2665222249388065,0.1510688820512769,1.680825675311043,2.1907446063976295,0.029902122280825102,0.0,1800.0,0.09499330655957161,1785.2096125309258,0.008392715669515678,0.007301935012778386,0.4227733934611053,0.5772266065388946,0,
replay-only,0.2,0.5,OK,True,168.67469879518075,165.47469879518073,1.0193383038210626,2.190744606397627,2.1907446063976295,2.1907446063976295,2.1907446063976295,0.03651241010662716,0.0,1800.0,0.09370816599732264,1673.619316034969,1.2763532763532757e-06,0.017037848363149567,1.0,0.0,0,
