claim,metric,winner,best_baseline,winner_value,best_baseline_value,pass
deadline-aware reduces miss rate,miss rate,deadline-aware-rounded,online-queue-greedy,0.0,0.0,no
mixed action beats replay-only,largest tested safe retained-prefill fraction,deadline-aware-rounded,replay-only,1.0,1.0,no
model architecture changes action mix,replay/state fraction range,varies by model,fixed policy,1.0,0.0,yes
