policy,status,retained_prefill_moved_s,retained_prefill_target_s,retained_prefill_ratio,drain_window_s,retained_prefill_removal_rate_s_per_s,drain_completion_s,mean_reconstruction_delay,p50_reconstruction_delay,p95_reconstruction_delay,deadline_miss_rate,network_capacity_pressure,prefill_capacity_pressure,resident_state_tb,average_equivalent_state_target_tb,actual_evacuated_state_tb,actual_evacuated_nvl72_hbm_fraction,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction
deadline-penalty-rounded,OK,331.0072289,330.9493976,1.000174744,1800,0.183892905,1789.424787,0.4140631122,0.1510688821,2.190744606,0,0.008462664302,0.02327856882,0.61736128,0.246944512,0.246987664,0.01843191522,0.7010773979,0.2989226021
CVXPY-rounded,OK,331.0072289,330.9493976,1.000174744,1800,0.183892905,1790.190745,0.3923800147,0.1510688821,2.190744606,0,0.008532602044,0.02337203359,0.61736128,0.246944512,0.246987664,0.01843191522,0.700331955,0.299668045
mirror-descent-rounded,OK,339.6626506,330.9493976,1.026328052,1800,0.1887014726,1787.190745,0.4910148361,0.1510688821,2.190744606,0,0.00839271567,0.02433978338,0.61736128,0.246944512,0.25344608,0.01891388657,0.7094211124,0.2905788876
crossover-greedy,OK,339.6626506,330.9493976,1.026328052,1800,0.1887014726,1787.190745,0.4910148361,0.1510688821,2.190744606,0,0.00839271567,0.02433978338,0.61736128,0.246944512,0.25344608,0.01891388657,0.7094211124,0.2905788876
least-loaded-destination,OK,333.6019277,330.9493976,1.008014911,1800,0.1853344043,1819.118338,1.397433825,0.1510688821,12.65209407,0,0.1415571376,0,0.61736128,0.246944512,0.2489237504,0.01857639928,0,1
online-queue-greedy,OK,333.6019277,330.9493976,1.008014911,1800,0.1853344043,1804.067731,0.7676120249,0.09441805128,3.589450396,0,0.03197042128,0.02847559937,0.61736128,0.246944512,0.2489237504,0.01857639928,0.4811390533,0.5188609467
mixed-greedy,OK,339.6626506,330.9493976,1.026328052,1800,0.1887014726,1787.190745,0.4910148361,0.1510688821,2.190744606,0,0.00839271567,0.02433978338,0.61736128,0.246944512,0.25344608,0.01891388657,0.7094211124,0.2905788876
replay-only,OK,350.2650602,330.9493976,1.058364399,1800,0.1945917001,1834.504636,0.8812248898,0.05608516244,2.190744606,0,1.823361823e-06,0.03650967506,0.61736128,0.246944512,0.26135728,0.01950427463,1,0
state-only,OK,339.6626506,330.9493976,1.026328052,1800,0.1887014726,1789.168671,0.6402724103,0.1510688821,5.532307692,0,0.03073504274,0,0.61736128,0.246944512,0.25344608,0.01891388657,0,1
