policy,shed_fraction,slack_multiplier,status,group_type,group,moved_requests,missed_requests,miss_rate,avg_missed_network_wait,avg_missed_prefill_wait,avg_missed_total_delay
mirror-descent-rounded,0.2,0.25,OK,destination,k2,70,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,action,replay,8,0,0.0,0.0,0.0,0.0
mirror-descent-rounded,0.2,0.25,OK,action,state,70,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class2,70,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class4,8,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,destination,k0,0,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,destination,k1,8,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,destination,k2,70,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,action,replay,8,0,0.0,0.0,0.0,0.0
crossover-greedy,0.2,0.25,OK,action,state,70,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class2,70,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class4,8,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,destination,k0,0,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,destination,k1,8,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,destination,k2,70,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,action,replay,8,0,0.0,0.0,0.0,0.0
mixed-greedy,0.2,0.25,OK,action,state,70,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class2,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class4,14,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,destination,k0,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,destination,k1,14,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,destination,k2,0,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,action,replay,14,0,0.0,0.0,0.0,0.0
replay-only,0.2,0.25,OK,action,state,0,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,class,class2,70,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,class,class3,0,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,class,class4,0,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,class,class5,4,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,destination,k0,4,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,destination,k1,0,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,destination,k2,70,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,action,replay,0,0,0.0,0.0,0.0,0.0
state-only,0.2,0.25,OK,action,state,74,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,class,class2,97,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,class,class3,2,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,class,class4,12,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,destination,k0,1,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,destination,k1,12,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,destination,k2,98,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,action,replay,14,0,0.0,0.0,0.0,0.0
CVXPY-rounded,0.3,0.25,OK,action,state,97,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,class,class0,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,class,class1,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,class,class2,97,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,class,class3,2,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,class,class4,12,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,class,class5,0,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,destination,k0,1,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,destination,k1,8,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,destination,k2,102,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,action,replay,12,0,0.0,0.0,0.0,0.0
repaired-CVXPY-rounded,0.3,0.25,OK,action,state,99,0,0.0,0.0,0.0,0.0
