policy,release_policy,release_seed,drain_window_s,deadline_scale,max_safe_retained_prefill_fraction,frontier_censored_by_search,first_unsafe_retained_prefill_fraction,first_unsafe_failure_mode,absolute_p95_delay_over_deadline_at_frontier,absolute_deadline_miss_rate_at_frontier,p95_delay_over_deadline_at_frontier,deadline_miss_rate_at_frontier,network_capacity_pressure_at_frontier,prefill_capacity_pressure_at_frontier,average_equivalent_state_target_tb_at_frontier,actual_evacuated_state_tb_at_frontier,actual_evacuated_nvl72_hbm_fraction_at_frontier,replay_retained_prefill_fraction_at_frontier,state_transfer_retained_prefill_fraction_at_frontier,drain_completion_s_at_frontier
deadline-penalty-rounded,shortest-context-first,,40.0,1.0,0.0,False,0.0078,absolute_deadline_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,shortest-context-first,,80.0,1.0,0.0,False,0.0078,absolute_deadline_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,shortest-context-first,,160.0,1.0,0.0,False,0.0078,absolute_deadline_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,shortest-context-first,,300.0,1.0,0.0,False,0.0078,absolute_deadline_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,shortest-context-first,,600.0,1.0,0.0,False,0.0078,absolute_deadline_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,shortest-context-first,,1200.0,1.0,0.0,False,0.0078,absolute_deadline_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,shortest-context-first,,2400.0,1.0,0.0,False,0.0078,absolute_deadline_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,shortest-context-first,,3600.0,1.0,0.0,False,0.0078,absolute_deadline_miss,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
deadline-penalty-rounded,random,7,10.0,1.0,0.125,False,0.13,absolute_deadline_miss,0.9559991412436599,0.0078125,0.11116897778632481,0.0078125,0.7553446903247865,0.6627820372398684,0.07717016,0.0771874208,0.00576025528358209,0.5229398829711901,0.47706011702880996,9.977960162436599
deadline-penalty-rounded,random,7,20.0,1.0,0.0312,False,0.0391,absolute_deadline_miss,0.639518388022399,0.0,0.028041250893513392,0.0,0.19638968670085472,0.0028039430449069004,0.019261671936,0.0192860672,0.0014392587462686568,0.007159904534606206,0.9928400954653938,19.46141370963749
