policy,retained_prefill_fraction,deadline_scale,drain_window_s,status,safe,failure_mode,retained_prefill_target_s,retained_prefill_moved_s,resident_state_tb,average_equivalent_state_target_tb,actual_evacuated_state_tb,retained_prefill_moved_fraction,actual_evacuated_nvl72_hbm_fraction,retained_prefill_removal_rate_s_per_s,request_migration_fraction,deadline_overrun_mean,deadline_overrun_p95,deadline_overrun_max,deadline_load_max,mean_delay_s,p50_delay_s,p95_delay_s,p99_delay_s,p95_delay_over_deadline,deadline_miss_rate,network_capacity_pressure,prefill_capacity_pressure,replay_retained_prefill_fraction,state_transfer_retained_prefill_fraction,fractional_network_capacity_pressure,fractional_prefill_capacity_pressure,drain_completion_s,objective
deadline-penalty-rounded,0.2,0.25,0.0,UNSAFE,False,deadline misses,165.47469879518073,165.51325301204818,0.61736128,0.12347225600000002,0.123501024,0.20004659832246038,0.009216494328358209,inf,0.09901269059327082,0.0,0.0,0.0,0.8499999766306618,3.206513692928024,1.5107112259829059,12.443377695001551,20.41709072895555,0.8972686360454218,0.021739130434782608,0.003818698077113013,0.012450285992454667,0.7391101793617516,0.2608898206382484,0.0035416665712020732,0.012507525885019967,22.410518987444043,19.62929186661559
deadline-penalty-rounded,0.2,0.25,900.0,SAFE,True,,165.47469879518073,165.51325301204818,0.61736128,0.12347225600000002,0.123501024,0.20004659832246038,0.009216494328358209,0.18390361445783132,0.09901269059327082,0.0,0.0,0.0,0.8499999766306618,0.3364810764197722,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.1888361025640961,0.0,0.003818698077113013,0.012450285992454667,0.7391101793617516,0.2608898206382484,0.0035416665712020732,0.012507525885019967,892.4081359107455,19.62929186661559
deadline-penalty-rounded,0.2,0.25,1800.0,SAFE,True,,165.47469879518073,165.51325301204818,0.61736128,0.12347225600000002,0.123501024,0.20004659832246038,0.009216494328358209,0.09195180722891566,0.09901269059327082,0.0,0.0,0.0,0.8499999766306618,0.3364810764197693,0.1510688820512769,2.1907446063976295,2.1907446063976295,0.1888361025640961,0.0,0.003818698077113013,0.012450285992454667,0.7391101793617516,0.2608898206382484,0.0035416665712020732,0.012507525885019967,1782.6255272150934,19.62929186661559
deadline-penalty-rounded,0.2,0.25,3600.0,SAFE,True,,165.47469879518073,165.51325301204818,0.61736128,0.12347225600000002,0.123501024,0.20004659832246038,0.009216494328358209,0.04597590361445783,0.09901269059327082,0.0,0.0,0.0,0.8499999766306618,0.33648107641979746,0.1510688820512769,2.190744606397857,2.190744606397857,0.1888361025642098,0.0,0.003818698077113013,0.012450285992454667,0.7391101793617516,0.2608898206382484,0.0035416665712020732,0.012507525885019967,3563.0603098237893,19.62929186661559
CVXPY-rounded,0.2,0.25,0.0,UNSAFE,False,deadline misses,165.47469879518073,165.47855421686745,0.61736128,0.12347225600000002,0.1234751328,0.20000465983224602,0.009214562149253732,inf,0.19913660121660856,nan,nan,nan,nan,6.844320872464501,6.7099929818803465,14.414505966495739,14.98856771829061,1.9017916112592608,0.4214876033057851,0.008427694653751195,0.008203480589022757,0.40280981337806715,0.5971901866219328,0.00839271550070317,0.006745040973914412,15.16985037675215,19.598715222317452
CVXPY-rounded,0.2,0.25,900.0,SAFE,True,,165.47469879518073,165.47855421686745,0.61736128,0.12347225600000002,0.1234751328,0.20000465983224602,0.009214562149253732,0.18386506024096383,0.19913660121660856,nan,nan,nan,nan,0.25468424905554093,0.1510688820512769,0.22432664632759725,2.1907446063976295,0.11216332316379862,0.0,0.008427694653751195,0.008203480589022757,0.40280981337806715,0.5971901866219328,0.00839271550070317,0.006745040973914412,894.752728077472,19.598715222317452
CVXPY-rounded,0.2,0.25,1800.0,SAFE,True,,165.47469879518073,165.47855421686745,0.61736128,0.12347225600000002,0.1234751328,0.20000465983224602,0.009214562149253732,0.09193253012048191,0.19913660121660856,nan,nan,nan,nan,0.25468424905554093,0.1510688820512769,0.22432664632759725,2.1907446063976295,0.11216332316379862,0.0,0.008427694653751195,0.008203480589022757,0.40280981337806715,0.5971901866219328,0.00839271550070317,0.006745040973914412,1787.3147115485465,19.598715222317452
CVXPY-rounded,0.2,0.25,3600.0,SAFE,True,,165.47469879518073,165.47855421686745,0.61736128,0.12347225600000002,0.1234751328,0.20000465983224602,0.009214562149253732,0.04596626506024096,0.19913660121660856,nan,nan,nan,nan,0.25468424905555026,0.1510688820512769,0.22432664632759725,2.190744606397857,0.11216332316379862,0.0,0.008427694653751195,0.008203480589022757,0.40280981337806715,0.5971901866219328,0.00839271550070317,0.006745040973914412,3572.4386784906956,19.598715222317452
mirror-descent-rounded,0.2,0.25,0.0,UNSAFE,False,deadline misses,165.47469879518073,170.9879518072289,0.61736128,0.12347225600000002,0.12758608,0.20666356011183598,0.009521349253731343,inf,0.1991366037735849,nan,nan,nan,nan,7.631141788253427,7.628978543589749,14.313776574358986,14.948265878974372,1.908503543247865,0.4811320754716981,0.008392715669515678,0.007301935012778386,0.4227733934611053,0.5772266065388946,0.00839271566951567,0.006745040769137155,15.106888205128218,19.598715164124453
mirror-descent-rounded,0.2,0.25,900.0,SAFE,True,,165.47469879518073,170.9879518072289,0.61736128,0.12347225600000002,0.12758608,0.20666356011183598,0.009521349253731343,0.18998661311914322,0.1991366037735849,nan,nan,nan,nan,0.26652222493880673,0.1510688820512769,1.680825675311043,2.1907446063976295,0.059804244561650205,0.0,0.008392715669515678,0.007301935012778386,0.4227733934611053,0.5772266065388946,0.00839271566951567,0.006745040769137155,893.7001785686617,19.598715164124453
