policy,source_load_fraction,deadline_scale,status,safe,failure_mode,source_load_target_s,source_load_moved_s,request_migration_fraction,deadline_overrun_mean,deadline_overrun_p95,deadline_overrun_max,deadline_load_max,mean_delay_s,p50_delay_s,p95_delay_s,p99_delay_s,p95_delay_over_deadline,deadline_miss_rate,max_network_busy_fraction,max_prefill_busy_fraction,replay_load_fraction,state_transfer_load_fraction,fractional_max_network_busy_fraction,fractional_max_prefill_busy_fraction,objective
CVXPY-rounded,0.2,0.25,UNSAFE,False,deadline misses,165.47469879518073,165.4746987951807,0.19913659517612747,nan,nan,nan,nan,5.544696815397823,5.532307692307691,10.302897755897444,11.478805942651714,1.3334346655726506,0.2727272727272727,0.1762470290598292,0.21905805038335158,0.4368592730661696,0.5631407269338303,0.25178145141048514,0.20235124520878037,20.099681111003115
deadline-penalty-rounded,0.2,0.25,SAFE,True,,165.47469879518073,165.4746987951807,0.09901269230877537,0.0,0.0,0.0,0.8499999947772705,5.576367255436136,4.078859815384617,17.434206870190685,22.341107198777763,0.8097292077948722,0.0,0.17289591758404566,0.35189485213581595,0.7017707362534947,0.29822926374650527,0.10624999943124397,0.3752257738466738,20.195878823343506
deadline-aware-m0.8-rounded,0.2,0.25,UNSAFE,False,network bottleneck,165.47469879518073,165.47469879518073,0.10600785545191416,nan,nan,nan,nan,8.162958942457847,1.258938157948718,40.99940571678631,65.05685216229747,1.4310066289777774,0.12698412698412698,1.2414071116581196,0.08598758671047828,0.10624417520969243,0.8937558247903076,0.9892961329593359,0.08071928989444425,165.47469879457245
deadline-aware-m1.0-rounded,0.2,0.25,UNSAFE,False,network bottleneck,165.47469879518073,165.47469879518073,0.13646542855177463,nan,nan,nan,nan,6.476436380917759,1.0071706912820513,35.48823482858119,59.53350197563084,1.20100008128547,0.08,1.1595782038974358,0.08972617743702081,0.11183597390493939,0.8881640260950606,0.9927678396334766,0.07503192043579791,165.47469879516973
mirror-descent-rounded,0.2,0.25,UNSAFE,False,deadline misses,165.47469879518073,165.47469879518073,0.1991366037735849,nan,nan,nan,nan,5.823953626358405,5.66508307692308,10.631558475311039,15.83806114528043,1.3324275396923084,0.2692307692307692,0.1762470290598292,0.2920774005111354,0.5824790307548928,0.4175209692451072,0.25178147008547014,0.20235122307411463,20.09968089243926
crossover-greedy,0.2,0.25,UNSAFE,False,deadline misses,165.47469879518073,165.47469879518073,0.1991366037735849,nan,nan,nan,nan,5.823953626358405,5.66508307692308,10.631558475311039,15.83806114528043,1.3324275396923084,0.2692307692307692,0.1762470290598292,0.2920774005111354,0.5824790307548928,0.4175209692451072,0.25178147008547014,0.20235122307411463,20.09968089243926
mixed-greedy,0.2,0.25,UNSAFE,False,deadline misses,165.47469879518073,165.47469879518073,0.1991366037735849,nan,nan,nan,nan,5.823953626358405,5.66508307692308,10.631558475311039,15.83806114528043,1.3324275396923084,0.2692307692307692,0.1762470290598292,0.2920774005111354,0.5824790307548928,0.4175209692451072,0.25178147008547014,0.20235122307411463,20.09968089243926
replay-only,0.2,0.25,UNSAFE,False,deadline misses,165.47469879518073,168.67469879518075,0.025913962264150943,nan,nan,nan,nan,16.42951788131547,16.42951788131547,29.244413828741536,30.383515690734963,0.9748137942913846,0.07142857142857142,3.829059829059827e-05,0.511135450894487,1.0,0.0,3.756417094017093e-05,0.5014384811975172,20.330860486971364
state-only,0.2,0.25,UNSAFE,False,deadline misses,165.47469879518073,165.47469879518073,0.19390792452830188,nan,nan,nan,nan,5.820665524601528,5.560928164102565,10.476626970256417,18.090646153846127,1.336456043213676,0.28378378378378377,0.3688205128205127,0.0,0.0,1.0,0.2555188512820512,0.0,23.45570022316796
local-repair-oracle,0.2,0.25,SAFE,True,,165.47469879518073,165.4746987951807,nan,nan,nan,nan,nan,4.218672014622351,3.928149420854703,7.774905776631646,13.855408060854908,0.9488139408434227,0.0,0.12338482105982915,0.2382913472070099,0.5501863932898414,0.4498136067101585,0.12338482105982909,0.23829134720700987,nan
CVXPY-rounded,0.3,0.25,UNSAFE,False,deadline misses,248.21204819277105,248.21204819277108,0.21209356759381562,nan,nan,nan,nan,8.204774803744918,7.855581866666673,16.42951788131547,23.877491594349436,1.8430403610256425,0.44144144144144143,0.2442310133789176,0.43811610076670315,0.6142901522211871,0.38570984777881295,0.2517814062322233,0.4530705389169223,28.751516920614502
deadline-penalty-rounded,0.3,0.25,UNSAFE,False,deadline misses,248.21204819277105,248.21204819277108,0.11829549817025017,0.012600082472724436,0.018389337236424386,0.3800456200723822,1.2300456200723822,8.579634806713038,5.211876430769234,29.277815415476738,35.499064046363934,1.121965880771459,0.08333333333333333,0.2475970618347579,0.6175684556407448,0.757440198819509,0.24255980118049097,0.11544466866896404,0.6150228100558965,29.694278140055925
deadline-aware-m0.8-rounded,0.3,0.25,UNSAFE,False,network bottleneck,248.21204819277105,248.21204819277108,0.12808779819570576,nan,nan,nan,nan,11.94745152193611,2.2157525552136756,53.5784079622564,78.5586753798564,2.199283666488888,0.21518987341772153,1.4428322877264956,0.08598758671047828,0.07082945013979497,0.929170549860205,0.9934105787587394,0.0825483640760497,248.21204819274556
deadline-aware-m1.0-rounded,0.3,0.25,UNSAFE,False,network bottleneck,248.21204819277105,248.21204819277108,0.16266119566438342,nan,nan,nan,nan,8.596123177003987,1.7310655234188035,48.31044363158971,62.75928189111795,1.5963910712888887,0.12244897959183673,1.1440863544159545,0.20381161007667034,0.18870767319043186,0.8112923268095681,0.9953888925902294,0.11614608250905527,248.2120481910233
mirror-descent-rounded,0.3,0.25,UNSAFE,False,deadline misses,248.21204819277105,248.2467469879518,0.21209358490566038,nan,nan,nan,nan,7.946226230506344,4.381325110231133,30.668291156233323,35.92568436543376,1.022276371874444,0.06557377049180328,0.11078384683760692,0.6206644760861627,0.8250632872074422,0.17493671279255785,0.25178147008547014,0.45307046367287307,28.751515511767764
crossover-greedy,0.3,0.25,UNSAFE,False,deadline misses,248.21204819277105,248.2467469879518,0.21209358490566038,nan,nan,nan,nan,7.946226230506344,4.381325110231133,30.668291156233323,35.92568436543376,1.022276371874444,0.06557377049180328,0.11078384683760692,0.6206644760861627,0.8250632872074422,0.17493671279255785,0.25178147008547014,0.45307046367287307,28.751515511767764
mixed-greedy,0.3,0.25,UNSAFE,False,deadline misses,248.21204819277105,248.2467469879518,0.21209358490566038,nan,nan,nan,nan,7.946226230506344,4.381325110231133,30.668291156233323,35.92568436543376,1.022276371874444,0.06557377049180328,0.11078384683760692,0.6206644760861627,0.8250632872074422,0.17493671279255785,0.25178147008547014,0.45307046367287307,28.751515511767764
replay-only,0.3,0.25,UNSAFE,False,deadline misses,248.21204819277105,248.36626506024098,0.09316037735849021,nan,nan,nan,nan,9.722040944402167,1.43001725444098,38.4448519448423,42.73838973235599,1.2814950648280767,0.14,5.470085470085466e-05,0.7301935012778386,1.0,0.0,5.470085470085469e-05,0.7301935012778386,29.4284702937266
state-only,0.3,0.25,SAFE,True,,248.21204819277105,248.45108433734939,0.2003864150943396,nan,nan,nan,nan,8.017517460412758,3.1724465230769243,38.726153846153835,47.577846153846146,0.6244180458119661,0.0,0.8298461538461536,0.0,0.0,1.0,0.572114379487179,0.0,36.35675743616949
local-repair-oracle,0.3,0.25,UNSAFE,False,deadline misses,248.21204819277105,248.21204819277108,nan,nan,nan,nan,nan,6.2491869794170505,5.287858981196584,19.22635418245626,24.59310966054151,1.158254510313391,0.13513513513513514,0.3610241166951569,0.4126907630522088,0.6691363777570674,0.33086362224293264,0.3610241166951567,0.4126907630522088,nan
