policy,cases,pass_rate_mean,pass_rate_stderr,target_moved_fraction_mean,target_moved_fraction_stderr,network_capacity_pressure_mean,network_capacity_pressure_stderr,prefill_capacity_pressure_mean,prefill_capacity_pressure_stderr,absolute_p95_delay_over_deadline_mean,absolute_p95_delay_over_deadline_stderr,absolute_deadline_miss_rate_mean,absolute_deadline_miss_rate_stderr,runtime_s_mean,runtime_s_stderr
Integer feasibility oracle,7,1.0,0.0,1.1294493831586914,0.054109440825421136,0.8253364923351415,0.031182393091979805,0.27608851146320085,0.10052266115741627,0.29745278614569937,0.0017395088914846839,0.0,0.0,1.6410652855743788,0.4441276266302509
Deadline-aware,7,0.7142857142857143,0.18442777839082938,1.0641432607097119,0.018321732124550846,0.7833403920189504,0.14747958921233653,0.4054098058614288,0.11218979492753198,0.3055858891996472,0.005231591414011235,0.0,0.0,0.019003059715032578,0.0015085978961715543
Online queue,7,1.0,0.0,1.1622548030063133,0.039175847764636694,0.7394085004862175,0.06660069417769492,0.2591208606684294,0.0924164690949049,0.39940075312841566,0.02160912729110531,0.0,0.0,0.00045111899713187346,3.272743306705188e-06
Least loaded,7,1.0,0.0,1.1622548030063133,0.039175847764636694,0.5132161029024284,0.09705282248035016,0.4741683630023788,0.010947592043356607,0.40035803846335644,0.021157094833463744,0.0,0.0,0.0004351964203773865,4.054050672417746e-06
Replay only,7,0.42857142857142855,0.2020305089104421,1.1982433919902942,0.06945997390948887,0.3382365488079716,0.032501598340550976,1.118569053132077,0.07665892161326174,0.3596138089447155,0.025137870173278867,0.0,0.0,0.00047507142880931497,8.655444383053158e-06
State only,7,0.14285714285714285,0.14285714285714288,1.1849305399677648,0.06259343744882222,1.1794877072177616,0.09101052231708459,0.0,0.0,0.3599393180199251,0.02611165830632774,0.0,0.0,0.0004646905706197556,1.1876606545148478e-05
