phase,gpu,samples,power_mean_w
baseline,0,40,157.72475
baseline,1,40,84.17699999999999
drain,0,57,122.53438596491227
drain,1,57,85.55543859649123
post,0,120,88.09949999999999
post,1,120,154.67116666666666
