timestamp, uuid, power.draw [W], power.limit [W], utilization.gpu [%], memory.used [MiB], clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/09/10 17:38:06.421, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.02 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:06.924, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.03 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:07.425, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.41 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:07.925, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.10 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:08.425, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.01 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:08.926, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.84 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:09.426, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.91 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:09.927, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.81 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:10.427, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.80 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:10.927, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.90 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:11.428, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.00 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:11.928, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.63 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:12.429, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.50 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:12.929, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.08 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:13.430, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.92 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:13.930, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.05 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:14.431, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.77 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:14.931, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.97 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:15.432, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.65 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:15.932, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.63 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:16.432, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.14 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:16.933, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.83 W, 300.00 W, 0 %, 0 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:17.433, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.23 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:17.933, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.91 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:18.434, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.43 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:18.934, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.92 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:19.434, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.25 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:19.935, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.55 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:20.435, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.75 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:20.935, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.43 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:21.436, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.35 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:21.936, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.93 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:22.436, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.54 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:22.937, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.26 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:23.437, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.05 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:23.937, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 47.48 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
2026/09/10 17:38:24.438, GPU-ee757c0c-d22b-d7b6-e597-582796b8e965, 46.34 W, 300.00 W, 0 %, 6 MiB, 210 MHz, 1512 MHz
