configuration,match_id,sample_id,context_profile,workload_source,bandwidth_mbps,time_budget_s,policy,power_attainment_fraction,completion_s,completion_budget_ratio,full_shed_by_budget,admitted_moves,replay_moves,kv_moves,context_evidence,replay_contention_evidence,kv_contention_evidence,power_evidence,result_evidence,planning_evidence,destination_contract,paired_pareto
0,445d0d22274f6e6a,51fde7b51569b7ba,medium,fixed_anchor,1000.0,30,queue_haul,0.014698677753924852,1.2025315974889723,0.040084386582965745,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,445d0d22274f6e6a,51fde7b51569b7ba,medium,fixed_anchor,1000.0,30,greedy,0.014698677753924852,1.2025315974889723,0.040084386582965745,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,445d0d22274f6e6a,51fde7b51569b7ba,medium,fixed_anchor,1000.0,30,greedy_coupled,0,161.8446811163,5.394822703876667,False,50,0,50,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,single_pool_zero_load_service_sensitivity,False
0,445d0d22274f6e6a,51fde7b51569b7ba,medium,fixed_anchor,1000.0,30,random,0.4045207181190715,14658.0736475163,488.60245491720997,False,10000,5450,4550,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,445d0d22274f6e6a,51fde7b51569b7ba,medium,fixed_anchor,1000.0,30,kv_only,0,0.0,0.0,False,0,0,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,445d0d22274f6e6a,51fde7b51569b7ba,medium,fixed_anchor,1000.0,30,replay_only,0.014698677753924852,1.2025315974889723,0.040084386582965745,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,18f15e09efb9660d,51fde7b51569b7ba,medium,fixed_anchor,1000.0,40,queue_haul,0.014698677753924852,1.2025315974889723,0.03006328993722431,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,18f15e09efb9660d,51fde7b51569b7ba,medium,fixed_anchor,1000.0,40,greedy,0.014698677753924852,1.2025315974889723,0.03006328993722431,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,18f15e09efb9660d,51fde7b51569b7ba,medium,fixed_anchor,1000.0,40,greedy_coupled,0.07443274864293002,1.3336035974889724,0.03334008993722431,False,1250,1250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,single_pool_zero_load_service_sensitivity,True
0,18f15e09efb9660d,51fde7b51569b7ba,medium,fixed_anchor,1000.0,40,random,0.3375899419605237,16912.839727516304,422.8209931879076,False,10000,4750,5250,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,18f15e09efb9660d,51fde7b51569b7ba,medium,fixed_anchor,1000.0,40,kv_only,0,0.0,0.0,False,0,0,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,18f15e09efb9660d,51fde7b51569b7ba,medium,fixed_anchor,1000.0,40,replay_only,0.014698677753924852,1.2025315974889723,0.03006328993722431,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,2fbf3fc532900004,51fde7b51569b7ba,medium,fixed_anchor,1000.0,50,queue_haul,0.014698677753924852,1.2025315974889723,0.024050631949779445,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,2fbf3fc532900004,51fde7b51569b7ba,medium,fixed_anchor,1000.0,50,greedy,0.014698677753924852,1.2025315974889723,0.024050631949779445,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,2fbf3fc532900004,51fde7b51569b7ba,medium,fixed_anchor,1000.0,50,greedy_coupled,0.07443274864293002,1.3336035974889724,0.026672071949779448,False,1250,1250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,single_pool_zero_load_service_sensitivity,True
0,2fbf3fc532900004,51fde7b51569b7ba,medium,fixed_anchor,1000.0,50,random,0.37021875797383164,15785.4566875163,315.709133750326,False,10000,5100,4900,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,2fbf3fc532900004,51fde7b51569b7ba,medium,fixed_anchor,1000.0,50,kv_only,0,0.0,0.0,False,0,0,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,2fbf3fc532900004,51fde7b51569b7ba,medium,fixed_anchor,1000.0,50,replay_only,0.014698677753924852,1.2025315974889723,0.024050631949779445,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,3cec0c28b26b5fe7,51fde7b51569b7ba,medium,fixed_anchor,1000.0,60,queue_haul,0.014698677753924852,1.2025315974889723,0.020042193291482872,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,3cec0c28b26b5fe7,51fde7b51569b7ba,medium,fixed_anchor,1000.0,60,greedy,0.014698677753924852,1.2025315974889723,0.020042193291482872,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,3cec0c28b26b5fe7,51fde7b51569b7ba,medium,fixed_anchor,1000.0,60,greedy_coupled,0.07443274864293002,1.3336035974889724,0.022226726624816208,False,1250,1250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,single_pool_zero_load_service_sensitivity,True
0,3cec0c28b26b5fe7,51fde7b51569b7ba,medium,fixed_anchor,1000.0,60,random,0.3506176378908374,16429.675567516304,273.82792612527174,False,10000,4900,5100,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,3cec0c28b26b5fe7,51fde7b51569b7ba,medium,fixed_anchor,1000.0,60,kv_only,0,0.0,0.0,False,0,0,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,3cec0c28b26b5fe7,51fde7b51569b7ba,medium,fixed_anchor,1000.0,60,replay_only,0.014698677753924852,1.2025315974889723,0.020042193291482872,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,accd7e868d68eaf4,51fde7b51569b7ba,medium,fixed_anchor,1000.0,75,queue_haul,0.014698677753924852,1.2025315974889723,0.016033754633186296,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,accd7e868d68eaf4,51fde7b51569b7ba,medium,fixed_anchor,1000.0,75,greedy,0.014698677753924852,1.2025315974889723,0.016033754633186296,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,accd7e868d68eaf4,51fde7b51569b7ba,medium,fixed_anchor,1000.0,75,greedy_coupled,0.15804022097649656,1.4974435974889724,0.0199659146331863,False,2500,2500,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,single_pool_zero_load_service_sensitivity,True
0,accd7e868d68eaf4,51fde7b51569b7ba,medium,fixed_anchor,1000.0,75,random,0.3506176378908374,16429.675567516304,219.06234090021738,False,10000,4900,5100,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,accd7e868d68eaf4,51fde7b51569b7ba,medium,fixed_anchor,1000.0,75,kv_only,0,0.0,0.0,False,0,0,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
0,accd7e868d68eaf4,51fde7b51569b7ba,medium,fixed_anchor,1000.0,75,replay_only,0.014698677753924852,1.2025315974889723,0.016033754633186296,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
1,4bbac4a7508ecdc8,51fde7b51569b7ba,medium,fixed_anchor,2500.0,30,queue_haul,0.014698677753924852,1.1828707974889725,0.03942902658296575,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
1,4bbac4a7508ecdc8,51fde7b51569b7ba,medium,fixed_anchor,2500.0,30,greedy,0.014698677753924852,1.1828707974889725,0.03942902658296575,False,250,250,0,measured,serial_measured_rate_per_active_flow,shared_destination_and_route_links,modeled,simulated,deadline_specific_admitted_set_with_fluid_links,fluid_shared_link_execution,True
