phase,route,direction,bytes,window_s,bytes_per_s,target_bytes_per_s,target_ratio,ok
baseline,api,client_to_target,0,0.0,0.0,125000000.0,0.0,1
baseline,kv,target_to_client,0,0.0,0.0,125000000.0,0.0,1
drain,api,client_to_target,2181489,88.25461387634277,24718.129785900772,125000000.0,0.00019774503828720618,1
drain,kv,target_to_client,1548,88.2943651676178,17.532262642823024,125000000.0,1.4025810114258419e-07,1
post,api,client_to_target,1842799,54.79306197166443,33631.97700017169,125000000.0,0.0002690558160013735,1
post,kv,target_to_client,1224,54.78328800201416,22.34258009404252,125000000.0,1.7874064075234016e-07,1
