phase,route,direction,bytes,window_s,bytes_per_s,target_bytes_per_s,target_ratio,ok
baseline,api,client_to_target,0,0.0,0.0,125000000.0,0.0,1
baseline,kv,target_to_client,0,0.0,0.0,125000000.0,0.0,1
drain,api,client_to_target,102075,30.468708992004395,3350.158355143519,125000000.0,2.6801266841148153e-05,1
drain,kv,target_to_client,1260026280,30.434794902801514,41400846.76187567,125000000.0,0.3312067740950053,1
post,api,client_to_target,325654,29.123732089996338,11181.739997939974,125000000.0,8.94539199835198e-05,1
post,kv,target_to_client,328361100,29.201278924942017,11244750.644107345,125000000.0,0.08995800515285876,1
