phase,gpu,samples,power_mean_w
baseline,0,240,194.28991666666667
baseline,1,240,82.71916666666667
drain,0,283,139.62017667844523
drain,1,283,121.92879858657246
post,0,240,107.59675
post,1,240,162.98920833333335
