phase,gpu,samples,total_samples,coverage,power_mean_w
baseline,0,240,240,1.0,298.02000000000004
baseline,1,240,240,1.0,83.13270833333333
drain,0,122,122,1.0,166.2138524590164
drain,1,122,122,1.0,278.8375409836066
post,0,240,240,1.0,201.66370833333337
post,1,240,240,1.0,315.03162499999996
