case,snapshot,draw,wan_gbps,deadline_s,policy,shed_fraction,replay_gpu_time_bound,kv_fraction,qh_gap
original,0,0,400,10,queue_haul,0.9951688223705311,1.0,0.004892263931552835,0.0
original,0,0,400,10,greedy,0.7483883402270275,1.0,0.0026571024448908704,0.24678048214350357
original,0,0,400,10,kv_only,0.04067854608319137,1.0,0.04067854608319137,0.9544902762873397
original,0,0,400,10,replay_only,0.9947603626832873,1.0,0.0,0.00040845968724378956
original,0,0,400,10,isolated_fastest,0.04067854608319137,1.0,0.04067854608319137,0.9544902762873397
original,0,0,400,20,queue_haul,1.0,1.0,0.0,0.0
original,0,0,400,20,greedy,0.751245680317722,1.0,0.005514442535585403,0.248754319682278
original,0,0,400,20,kv_only,0.08364237624704574,1.0,0.08364237624704574,0.9163576237529543
original,0,0,400,20,replay_only,1.0,1.0,0.0,0.0
original,0,0,400,20,isolated_fastest,0.08364237624704574,1.0,0.08364237624704574,0.9163576237529543
original,0,0,400,25,queue_haul,1.0,1.0,0.0,0.0
original,0,0,400,25,greedy,0.7526705144192402,1.0,0.0069392766371035985,0.24732948558075984
original,0,0,400,25,kv_only,0.10512429132897287,1.0,0.10512429132897287,0.8948757086710272
original,0,0,400,25,replay_only,0.9999999999999999,1.0,0.0,1.1102230246251565e-16
original,0,0,400,25,isolated_fastest,0.10512429132897287,1.0,0.10512429132897287,0.8948757086710272
original,0,0,400,30,queue_haul,0.9999999999999998,1.0,0.0,0.0
original,0,0,400,30,greedy,0.754094836278032,1.0,0.008363598495895313,0.2459051637219678
original,0,0,400,30,kv_only,0.12660620641090006,1.0,0.12660620641090006,0.8733937935890997
original,0,0,400,30,replay_only,0.9999999999999999,1.0,0.0,-1.1102230246251565e-16
original,0,0,400,30,isolated_fastest,0.12660620641090006,1.0,0.12660620641090006,0.8733937935890997
original,0,0,400,35,queue_haul,0.9999999999999982,1.0,0.0,0.0
original,0,0,400,35,greedy,0.7555189012201357,1.0,0.009787663437999075,0.24448109877986257
original,0,0,400,35,kv_only,0.1480881214928272,1.0,0.1480881214928272,0.851911878507171
original,0,0,400,35,replay_only,0.9999999999999999,1.0,0.0,-1.6653345369377348e-15
original,0,0,400,35,isolated_fastest,0.1480881214928272,1.0,0.1480881214928272,0.851911878507171
original,0,0,400,40,queue_haul,0.9999999999999999,1.0,0.0,0.0
original,0,0,400,40,greedy,0.7569428189790981,1.0,0.011211581196961515,0.2430571810209018
original,0,0,400,40,kv_only,0.16957003657475445,1.0,0.16957003657475445,0.8304299634252454
original,0,0,400,40,replay_only,0.9999999999999999,1.0,0.0,0.0
original,0,0,400,40,isolated_fastest,0.16957003657475445,1.0,0.16957003657475445,0.8304299634252454
original,0,0,400,45,queue_haul,0.9999999999998164,1.0,0.0,0.0
original,0,0,400,45,greedy,0.7583666445594366,1.0,0.012635406777299936,0.24163335544037978
original,0,0,400,45,kv_only,0.19105195165668157,1.0,0.19105195165668157,0.8089480483431348
original,0,0,400,45,replay_only,0.9999999999999999,1.0,0.0,-1.8351986597053838e-13
original,0,0,400,45,isolated_fastest,0.19105195165668157,1.0,0.19105195165668157,0.8089480483431348
original,0,0,400,60,queue_haul,0.9999999999999996,1.0,0.0,0.0
original,0,0,400,60,greedy,0.7626378189195511,1.0,0.016906581137414414,0.2373621810804485
original,0,0,400,60,kv_only,0.2554976969024631,1.0,0.2554976969024631,0.7445023030975364
original,0,0,400,60,replay_only,0.9999999999999999,1.0,0.0,-3.3306690738754696e-16
original,0,0,400,60,isolated_fastest,0.2554976969024631,1.0,0.2554976969024631,0.7445023030975364
original,0,0,40000,10,queue_haul,0.9999999999999939,1.0,0.014460745043232514,0.0
original,0,0,40000,10,greedy,0.9369488688110004,1.0,0.43142918789635537,0.06305113118899353
original,0,0,40000,10,kv_only,0.6200929095614727,1.0,0.6200929095614727,0.3799070904385212
original,0,0,40000,10,replay_only,0.994760362683287,1.0,0.0,0.005239637316706847
original,0,0,40000,10,isolated_fastest,0.6200929095614727,1.0,0.6200929095614727,0.3799070904385212
original,0,0,40000,20,queue_haul,1.0,1.0,0.0,0.0
original,0,0,40000,20,greedy,0.984914765788625,1.0,0.6374932419746231,0.015085234211374976
original,0,0,40000,20,kv_only,0.7817485693004843,1.0,0.7817485693004844,0.2182514306995157
original,0,0,40000,20,replay_only,0.9999999999999998,1.0,0.0,2.220446049250313e-16
original,0,0,40000,20,isolated_fastest,0.7817485693004843,1.0,0.7817485693004844,0.2182514306995157
original,0,0,40000,25,queue_haul,0.9999999999999942,1.0,0.0,0.0
original,0,0,40000,25,greedy,0.9946662964665433,1.0,0.6772908118378528,0.005333703533450973
original,0,0,40000,25,kv_only,0.8353373106794991,1.0,0.8353373106794991,0.1646626893204951
original,0,0,40000,25,replay_only,0.9999999999999999,1.0,0.0,-5.662137425588298e-15
original,0,0,40000,25,isolated_fastest,0.8353373106794991,1.0,0.8353373106794991,0.1646626893204951
original,0,0,40000,30,queue_haul,1.0,1.0,0.0,0.0
original,0,0,40000,30,greedy,1.0,1.0,0.6847481022341643,0.0
original,0,0,40000,30,kv_only,0.8748844784593948,1.0,0.8748844784593948,0.12511552154060523
original,0,0,40000,30,replay_only,0.9999999999999999,1.0,0.0,1.1102230246251565e-16
original,0,0,40000,30,isolated_fastest,0.8748844784593948,1.0,0.8748844784593948,0.12511552154060523
original,0,0,40000,35,queue_haul,0.9999999999999999,1.0,0.0,0.0
