model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,p05_qh_minus_baseline_w,median_qh_minus_baseline_w,p95_qh_minus_baseline_w,qh_win_fraction
gpt-oss-20b,coding,8,40,1,greedy,0.8,20,8.126778721367785,8.207300098278772,8.437581185226371,1.0
gpt-oss-20b,coding,8,40,1,greedy,1.0,20,12.27340459410334,12.395011379674543,12.742791606928222,1.0
gpt-oss-20b,coding,8,40,1,greedy,1.2,20,-92.30991879431531,-89.79056781344116,-88.90963741391897,0.0
gpt-oss-20b,coding,8,40,1,kv_only,0.8,20,-1338.6550707689648,-1302.1200807075543,-1289.3450510941002,0.0
gpt-oss-20b,coding,8,40,1,kv_only,1.0,20,306569.4490481308,309606.98642949096,318293.96418195614,1.0
gpt-oss-20b,coding,8,40,1,kv_only,1.2,20,2522530.084937132,2547523.702051927,2619002.3271915526,1.0
gpt-oss-20b,coding,8,40,1,replay_only,0.8,20,11.629486961626728,11.74471371198187,12.074247834908697,1.0
gpt-oss-20b,coding,8,40,1,replay_only,1.0,20,15.7761128343991,15.93242499337066,16.379458256647922,1.0
gpt-oss-20b,coding,8,40,1,replay_only,1.2,20,-88.67325214436278,-86.25315419957042,-85.40692917397246,0.0
gpt-oss-20b,coding,8,40,1,isolated_fastest,0.8,20,-36619.215474397824,-35619.79246945209,-35270.32861403326,0.0
gpt-oss-20b,coding,8,40,1,isolated_fastest,1.0,20,-73584.57654416526,-71576.28342115053,-70874.05237973278,0.0
gpt-oss-20b,coding,8,40,1,isolated_fastest,1.2,20,518954.2614986829,524096.14035651716,538801.2720589207,1.0
gpt-oss-20b,coding,8,40,30,greedy,0.8,20,396.7138065356669,400.64450811338554,411.88582397891406,1.0
gpt-oss-20b,coding,8,40,30,greedy,1.0,20,108367.03799068416,109440.7553158314,112511.45283982996,1.0
gpt-oss-20b,coding,8,40,30,greedy,1.2,20,0.0,0.0,0.0,0.0
gpt-oss-20b,coding,8,40,30,kv_only,0.8,20,-42282.88122074017,-41128.88369075648,-40725.37043963434,0.0
gpt-oss-20b,coding,8,40,30,kv_only,1.0,20,3139100.738146446,3170203.432382878,3259153.2555296193,1.0
gpt-oss-20b,coding,8,40,30,kv_only,1.2,20,3139100.738146446,3170203.432382878,3259153.2555296193,1.0
gpt-oss-20b,coding,8,40,30,replay_only,0.8,20,396.7138065356669,400.64450811338554,411.88582397891406,1.0
gpt-oss-20b,coding,8,40,30,replay_only,1.0,20,108367.03799068416,109440.7553158314,112511.45283982996,1.0
gpt-oss-20b,coding,8,40,30,replay_only,1.2,20,0.0,0.0,0.0,0.0
gpt-oss-20b,coding,8,40,30,isolated_fastest,0.8,20,-84988.8429886267,-82669.30108293128,-81858.23704582335,0.0
gpt-oss-20b,coding,8,40,30,isolated_fastest,1.0,20,2694870.301740536,2721571.492302317,2797933.564353808,1.0
gpt-oss-20b,coding,8,40,30,isolated_fastest,1.2,20,1147780.165046134,1159152.5479360027,1191676.1434522383,1.0
gpt-oss-20b,coding,8,40,300,greedy,0.8,20,2785.6083101114373,2813.2085468540845,2892.1417787601154,1.0
gpt-oss-20b,coding,8,40,300,greedy,1.0,20,130171.98354343046,131461.7476319489,135150.31193131767,1.0
gpt-oss-20b,coding,8,40,300,greedy,1.2,20,-9.313225746154785e-10,0.0,0.0,0.0
