model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,snapshots,status,p05_shed_mw,median_shed_mw,p95_shed_mw,workload_p05_mw,workload_p95_mw,median_calibration_width_mw,full_plan_success,p05_completed_sessions,median_completed_sessions,p95_completed_sessions,mean_network_utilization,mean_migration_compute_utilization,mean_serving_utilization,mean_prefill_contention_session_s,mean_prefill_peak_ready_sessions,mean_prefill_ready_at_deadline,mean_prefill_network_blocked_at_deadline,mean_prefill_remaining_gpu_s,mean_planned_shed_mw,mean_kv_utilization,action_counts_mean,action_shed_mw_mean,mean_not_completed,network_budget_gbps_median
gpt-oss-20b,coding,8,40,1,queue_haul,0.8,20,1,complete,4.065586807037056e-05,4.105869268129913e-05,4.221072078628823e-05,4.105869268129913e-05,4.105869268129913e-05,1.5548527159176685e-06,0.0,14.0,14.0,14.0,"[0.2685534456, 0.08732450560000002, 0.35587795120000004]","[0.06740275838090605, 4.221132317063733e-06]","[0.923579322450976, 0.9999955739324558]","[19515.87594445182, 11401.754321105747]","[28382.0, 13912.0]","[28382.0, 13912.0]","[0.0, 0.0]","[12950.888830713518, 4959.136958995038]",2.549560391648157,"[0.031764496653129526, 0.028925845427023034]","[9.0, 4.0, 0.0, 1.0]","[3.789716504647788e-05, 3.13424857900463e-06, 0.0, 2.5361584932989053e-07]",399986.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,queue_haul,1.0,20,1,complete,0.30789944996729524,0.3109501652028798,0.3196748299735114,0.3109501652028798,0.3109501652028798,0.011775380006216175,0.0,16647.0,16647.0,16647.0,"[0.2685534456, 0.6714137614349099, 0.93996720703491]","[0.22668115757574392, 0.08444882248373894]","[0.7388634579607805, 0.8960749887366471]","[473.8029393261275, 9276.597030370753]","[15161.0, 17985.0]","[13221.0, 16515.0]","[0.0, 0.0]","[1722.7635210198591, 973.8087103810469]",2.549560391648157,"[0.031764496653129526, 0.029398713079183958]","[15170.0, 4.0, 1472.0, 1.0]","[0.2850207365985995, 3.13424857900463e-06, 0.027640159206329454, 2.5361584932989053e-07]",383353.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,queue_haul,1.2,20,1,complete,2.5238600858562967,2.5488668808253157,2.6203831929831076,2.5488668808253157,2.5488668808253157,0.09652310712681106,0.0,46383.0,46383.0,46383.0,"[0.26855344560000005, 0.6714137614349102, 0.93996720703491]","[0.21761368999678427, 0.08660416390946656]","[0.6157195483006502, 0.7467291572805395]","[0.0, 1368.2751367130697]","[15161.0, 17985.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 9.422670976810821e-14]",2.549560391648157,"[0.031764496653129526, 0.029398713079183958]","[28391.0, 4.0, 17987.0, 1.0]","[0.9642422016595428, 3.13424857900463e-06, 1.5986719665475368, 2.5361584932989053e-07]",353617.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,greedy,0.8,20,1,complete,3.252908934900277e-05,3.285139258302036e-05,3.3773139601061854e-05,3.285139258302036e-05,3.285139258302036e-05,1.2440502520590825e-06,0.0,13.0,13.0,13.0,"[0.24919081039999996, 0.1167641712, 0.3659549815999999]","[0.06741018562774362, 2.237360543693351e-05]","[0.9235676824927334, 0.999976258226274]","[19510.21359925042, 11404.41446125295]","[28377.0, 13916.0]","[28377.0, 13916.0]","[0.0, 0.0]","[12951.105285928374, 4958.676108020348]",2.5494457890707865,"[0.03176453298781734, 0.028926050247004342]","[7.0, 3.0, 0.0, 3.0]","[2.9475572813927237e-05, 2.7960661228845217e-06, 0.0, 7.608475479896715e-07]",399987.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,greedy,1.0,20,1,complete,0.3078871765627011,0.31093777019150015,0.3196620871819045,0.31093777019150015,0.31093777019150015,0.011774910619203351,0.0,16645.0,16645.0,16645.0,"[0.24919081039999996, 0.139213764, 0.3884045744]","[0.2266684212834526, 0.08447475827952287]","[0.738854145994187, 0.8960557602604649]","[473.4223893449078, 9277.628624957808]","[15154.0, 17992.0]","[13223.0, 16515.0]","[0.0, 0.0]","[1723.8705896798176, 973.4724167354591]",2.5494457890707865,"[0.03176453298781734, 0.029398098249164284]","[15161.0, 3.0, 1478.0, 3.0]","[0.28488073530344266, 2.7960661228845217e-06, 0.027767528113137437, 7.608475479896715e-07]",383355.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,greedy,1.2,20,1,complete,2.5239489954937104,2.548956671393129,2.620475502901902,2.548956671393129,2.548956671393129,0.09652650740819145,1.0,46383.0,46383.0,46383.0,"[0.24919081040000002, 0.139213764, 0.3884045744]","[0.21762152756420736, 0.0866201721785267]","[0.6157117883284892, 0.7467131335503878]","[0.0, 1368.4685447252664]","[15154.0, 17992.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 4.26707280620775e-14]",2.5494457890707865,"[0.03176453298781734, 0.029398098249164284]","[28384.0, 3.0, 17993.0, 3.0]","[0.9642049492434512, 2.7960661228845217e-06, 1.5987993354543446, 7.608475479896715e-07]",353617.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,kv_only,0.8,20,1,complete,0.001330000919164471,0.0013431787733888534,0.001380865791555253,0.0013431787733888534,0.0013431787733888534,5.086487239078224e-05,1.0,15.0,15.0,15.0,"[0.0349569024, 0.9560850432000002, 0.9910419455999996]","[0.0, 0.0]","[0.6250058205368467, 0.6254123885674245]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0013434365151110618,"[0.027399141963074025, 0.027400704186437363]","[0.0, 1.0, 0.0, 14.0]","[0.0, 1.879710041775299e-05, 0.0, 0.001331785970498147]",399985.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,kv_only,1.0,20,1,complete,0.001330000919164471,0.0013431787733888534,0.001380865791555253,0.0013431787733888534,0.0013431787733888534,5.086487239078224e-05,1.0,15.0,15.0,15.0,"[0.0349569024, 0.9560850432000002, 0.9910419455999996]","[0.0, 0.0]","[0.5000046564294773, 0.5003299108539399]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0013434365151110618,"[0.027399141963074025, 0.027400704186437363]","[0.0, 1.0, 0.0, 14.0]","[0.0, 1.879710041775299e-05, 0.0, 0.001331785970498147]",399985.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,kv_only,1.2,20,1,complete,0.001330000919164471,0.0013431787733888534,0.001380865791555253,0.0013431787733888534,0.0013431787733888534,5.086487239078224e-05,1.0,15.0,15.0,15.0,"[0.0349569024, 0.9560850432000002, 0.9910419455999996]","[0.0, 0.0]","[0.4166705470245643, 0.41694159237828304]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.0013434365151110618,"[0.027399141963074025, 0.027400704186437363]","[0.0, 1.0, 0.0, 14.0]","[0.0, 1.879710041775299e-05, 0.0, 0.001331785970498147]",399985.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,replay_only,0.8,20,1,complete,2.902638110874383e-05,2.9313978969317265e-05,3.013647295137953e-05,2.9313978969317265e-05,2.9313978969317265e-05,1.1100918426357006e-06,0.0,7.0,7.0,7.0,"[0.20760821839999993, 0.07261584480000002, 0.28022406320000004]","[0.06741222883273743, 2.258155939160557e-05]","[0.9235668166886718, 0.9999760226292359]","[19511.35724957474, 11404.839758624024]","[28377.0, 13916.0]","[28377.0, 13916.0]","[0.0, 0.0]","[12951.003125678686, 4958.665710322616]",2.549442250978381,"[0.031764465062136926, 0.028925977930882474]","[7.0, 0.0, 0.0, 0.0]","[2.9475572813927237e-05, 0.0, 0.0, 0.0]",399993.0,"[40.0, 40.0, 40.0]"
