model,workload,density,wan_gbps,deadline_s,policy,service_factor,draws,snapshots,status,p05_shed_mw,median_shed_mw,p95_shed_mw,workload_p05_mw,workload_p95_mw,median_calibration_width_mw,full_plan_success,p05_completed_sessions,median_completed_sessions,p95_completed_sessions,mean_network_utilization,mean_migration_compute_utilization,mean_serving_utilization,mean_prefill_contention_session_s,mean_prefill_peak_ready_sessions,mean_prefill_ready_at_deadline,mean_prefill_network_blocked_at_deadline,mean_prefill_remaining_gpu_s,mean_planned_shed_mw,mean_kv_utilization,action_counts_mean,action_shed_mw_mean,mean_not_completed,network_budget_gbps_median
gpt-oss-20b,coding,8,40,1,replay_only,1.0,20,1,complete,0.3078836738544608,0.31093423277788645,0.31965845051525477,0.31093423277788645,0.31093423277788645,0.011774776660793927,0.0,16639.0,16639.0,16639.0,"[0.20760821839999993, 0.09506543759999998, 0.3026736559999999]","[0.22668848771388764, 0.08447786047037821]","[0.7388534533509374, 0.8960555717828346]","[473.40380538563676, 9278.077714054149]","[15154.0, 17992.0]","[13223.0, 16515.0]","[0.0, 0.0]","[1722.8672681580615, 973.3173071926904]",2.549442250978381,"[0.031764465062136926, 0.029398025933042415]","[15161.0, 0.0, 1478.0, 0.0]","[0.28488073530344266, 0.0, 0.027767528113137437, 0.0]",383361.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,replay_only,1.2,20,1,complete,2.5239454927854705,2.548953133979515,2.620471866235252,2.548953133979515,2.548953133979515,0.09652637344978145,1.0,46377.0,46377.0,46377.0,"[0.20760821839999993, 0.09506543759999998, 0.3026736559999999]","[0.2176215275642074, 0.0866201721785267]","[0.6157112111257811, 0.746712976485695]","[0.0, 1368.506548452071]","[15154.0, 17992.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",2.549442250978381,"[0.031764465062136926, 0.029398025933042415]","[28384.0, 0.0, 17993.0, 0.0]","[0.9642049492434512, 0.0, 1.5987993354543446, 0.0]",353623.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,isolated_fastest,0.8,20,1,complete,0.035310984482103625,0.03566085116213339,0.03666142619518411,0.03566085116213339,0.03566085116213339,0.0013504417130804868,0.0,16762.0,16762.0,16762.0,"[0.1609130012, 0.45347816359999993, 0.6143911648000001]","[1.8537265718198366e-05, 0.1898926478876328]","[0.9999758526269339, 0.7603587424810333]","[7976.416280928109, 66341.3900323014]","[13915.0, 115982.0]","[13915.0, 99233.0]","[0.0, 0.0]","[4958.89003773719, 14987.429267468633]",2.0251592724409115,"[0.028926133152332723, 0.03510477555550229]","[1.0, 6.0, 16749.0, 6.0]","[2.140088030145218e-06, 1.521695095979343e-06, 0.035844334416902254, 9.436055629870204e-06]",383238.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,isolated_fastest,1.0,20,1,complete,0.378773502347028,0.38252644862403035,0.39325940651767666,0.38252644862403035,0.38252644862403035,0.014485904170648661,0.0,66508.0,66508.0,66508.0,"[0.18336259400000005, 0.45347816359999993, 0.6368407576]","[0.05975097066716053, 0.30687709873883484]","[0.8960554357809928, 0.6082869939848267]","[6190.498621649205, 37622.09581171547]","[17992.0, 82625.0]","[16515.0, 50964.0]","[0.0, 0.0]","[2209.6794875382993, 4241.794392538476]",2.0251592724409115,"[0.029398181154492664, 0.03510477555550229]","[1478.0, 6.0, 65018.0, 6.0]","[0.027765457405051305, 1.521695095979343e-06, 0.3568587175047278, 9.436055629870204e-06]",333492.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,1,isolated_fastest,1.2,20,1,complete,2.0049058243576137,2.0247707404687985,2.081581920924187,2.0247707404687985,2.0247707404687985,0.07667609656657325,1.0,133987.0,133987.0,133987.0,"[0.18336259400000005, 0.45347816359999993, 0.6368407576]","[0.08662046701493878, 0.32642748882467026]","[0.7467128631508276, 0.5069058283206893]","[1261.8012581899538, 15893.651388823924]","[16515.0, 82625.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 2.8796409701215e-14]",2.0251592724409115,"[0.029398181154492664, 0.03510477555550229]","[17993.0, 6.0, 115982.0, 6.0]","[1.5987972647462587, 1.521695095979343e-06, 0.43712410366949783, 9.436055629870204e-06]",266013.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,queue_haul,0.8,20,1,complete,0.00040336413712194246,0.00040736073120074666,0.0004187904913944002,0.00040736073120074666,0.00040736073120074666,1.542635427245773e-05,0.0,2423.0,2423.0,2423.0,"[0.8500757675200001, 0.01258578522666667, 0.8626615527466667]","[1.2826777715956297e-05, 1.9730840889069364e-08]","[0.999987060671909, 0.999999980096028]","[6549006.680324707, 3273913.0019017244]","[225141.0, 112214.0]","[225141.0, 112214.0]","[0.0, 0.0]","[82943.8692955589, 25732.82342970591]",3.212355975492683,"[0.050810928683502565, 0.03533832936974035]","[0.0, 2423.0, 0.0, 0.0]","[0.0, 0.000409606314673627, 0.0, 0.0]",397577.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,queue_haul,1.0,20,1,complete,3.180229472723202,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.12162545451855147,1.0,400000.0,400000.0,400000.0,"[0.8531216276000004, 0.029335791706666663, 0.8824574193066669]","[0.048238225866584654, 0.034316086525553034]","[0.8930331507710744, 0.9069668492289262]","[1214943.329798615, 803365.4797054323]","[168079.0, 131632.0]","[0.0, 0.0]","[0.0, 0.0]","[5.766047361799309e-14, 0.0]",3.212355975492683,"[0.052732289367099394, 0.04590441023208358]","[232452.0, 2423.0, 165125.0, 0.0]","[1.5861888031854838, 0.000409606314673627, 1.642846040948833, 0.0]",0.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,queue_haul,1.2,20,1,complete,3.180229472723202,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.12162545451855147,1.0,400000.0,400000.0,400000.0,"[0.8531216276000002, 0.029335791706666663, 0.8824574193066669]","[0.04019852155548721, 0.0285967387712942]","[0.7441942923092278, 0.755805707690772]","[206728.04078165485, 137911.56734469527]","[85046.0, 98394.0]","[0.0, 0.0]","[0.0, 0.0]","[1.4382592339323708e-14, 0.0]",3.212355975492683,"[0.052732289367099394, 0.04590441023208358]","[232452.0, 2423.0, 165125.0, 0.0]","[1.5861888031854838, 0.000409606314673627, 1.642846040948833, 0.0]",0.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,greedy,0.8,20,1,complete,6.650330586275557e-06,6.716223087361156e-06,6.904667415486117e-06,6.716223087361156e-06,6.716223087361156e-06,2.5433682921055923e-07,0.0,3.0,3.0,3.0,"[0.06382272610666664, 0.003282199386666665, 0.06710492549333334]","[1.6894341508076888e-06, 1.0851210157696585e-05]","[0.9999982935149345, 0.9999889844973164]","[10491742.48642218, 753644.850226223]","[364228.0, 26075.0]","[364228.0, 26075.0]","[0.0, 0.0]","[142983.20654371515, 6601.076496245691]",3.2123559754926836,"[0.06765913241680765, 0.02946952923449453]","[0.0, 0.0, 3.0, 0.0]","[0.0, 0.0, 6.753246389829952e-06, 0.0]",399997.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,greedy,1.0,20,1,complete,3.0718624347325183,3.1022989214890035,3.189343474401924,3.1022989214890035,3.1022989214890035,0.11748103966940567,0.0,397858.0,397858.0,397858.0,"[0.06402311712000001, 0.0054724436266666695, 0.06949556074666671]","[0.07652165008145582, 0.005930554193089521]","[0.8061200853076848, 0.9938799146923148]","[1654816.0602344458, 747577.0218136385]","[247815.0, 35288.0]","[0.0, 2142.0]","[0.0, 0.0]","[1.8202670273859134e-15, 284.2803113545323]",3.2123559754926836,"[0.06778554118288752, 0.030851158416295488]","[364709.0, 0.0, 33149.0, 0.0]","[1.2357472633348436, 0.0, 1.883653137635247, 0.0]",2142.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,greedy,1.2,20,1,complete,3.180229472723202,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.12162545451855147,1.0,400000.0,400000.0,400000.0,"[0.06402311712, 0.0054724436266666695, 0.06949556074666667]","[0.06376804173454652, 0.005100062000549342]","[0.6717667377564038, 0.8282332622435963]","[513140.4229326098, 5738.989951556111]","[181471.0, 16631.0]","[0.0, 0.0]","[0.0, 0.0]","[2.9124272438174614e-14, 0.0]",3.2123559754926836,"[0.06778554118288752, 0.030851158416295488]","[364709.0, 0.0, 35291.0, 0.0]","[1.2357472633348436, 0.0, 1.993697187114147, 0.0]",0.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,kv_only,0.8,20,1,complete,0.04112873457675628,0.04153624442195722,0.04270167171213457,0.04153624442195722,0.04153624442195722,0.0015729371353782916,1.0,440.0,440.0,440.0,"[0.0, 0.9998057472000001, 0.9998057472000001]","[0.0, 0.0]","[0.625, 0.637932631097698]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.04154421478553315,"[0.027399083221995246, 0.02744993504754001]","[0.0, 0.0, 0.0, 440.0]","[0.0, 0.0, 0.0, 0.04176521372816533]",399560.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,kv_only,1.0,20,1,complete,0.04112873457675628,0.04153624442195722,0.04270167171213457,0.04153624442195722,0.04153624442195722,0.0015729371353782916,1.0,440.0,440.0,440.0,"[0.0, 0.9998057472000001, 0.9998057472000001]","[0.0, 0.0]","[0.5, 0.5103461048781586]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.04154421478553315,"[0.027399083221995246, 0.02744993504754001]","[0.0, 0.0, 0.0, 440.0]","[0.0, 0.0, 0.0, 0.04176521372816533]",399560.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,kv_only,1.2,20,1,complete,0.04112873457675628,0.04153624442195722,0.04270167171213457,0.04153624442195722,0.04153624442195722,0.0015729371353782916,1.0,440.0,440.0,440.0,"[0.0, 0.9998057472000001, 0.9998057472000001]","[0.0, 0.0]","[0.41666666666666685, 0.42528842073179884]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.04154421478553315,"[0.027399083221995246, 0.02744993504754001]","[0.0, 0.0, 0.0, 440.0]","[0.0, 0.0, 0.0, 0.04176521372816533]",399560.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,replay_only,0.8,20,1,complete,6.650330586275557e-06,6.716223087361156e-06,6.904667415486117e-06,6.716223087361156e-06,6.716223087361156e-06,2.5433682921055923e-07,0.0,3.0,3.0,3.0,"[0.06382272610666664, 0.003282199386666665, 0.06710492549333334]","[1.6894341508076888e-06, 1.0851210157696585e-05]","[0.9999982935149345, 0.9999889844973164]","[10491742.48642218, 753644.850226223]","[364228.0, 26075.0]","[364228.0, 26075.0]","[0.0, 0.0]","[142983.20654371515, 6601.076496245691]",3.2123559754926836,"[0.06765913241680765, 0.02946952923449453]","[0.0, 0.0, 3.0, 0.0]","[0.0, 0.0, 6.753246389829952e-06, 0.0]",399997.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,replay_only,1.0,20,1,complete,3.0718624347325183,3.1022989214890035,3.189343474401924,3.1022989214890035,3.1022989214890035,0.11748103966940567,0.0,397858.0,397858.0,397858.0,"[0.06402311712000001, 0.0054724436266666695, 0.06949556074666671]","[0.07652165008145582, 0.005930554193089521]","[0.8061200853076848, 0.9938799146923148]","[1654816.0602344458, 747577.0218136385]","[247815.0, 35288.0]","[0.0, 2142.0]","[0.0, 0.0]","[1.8202670273859134e-15, 284.2803113545323]",3.2123559754926836,"[0.06778554118288752, 0.030851158416295488]","[364709.0, 0.0, 33149.0, 0.0]","[1.2357472633348436, 0.0, 1.883653137635247, 0.0]",2142.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,replay_only,1.2,20,1,complete,3.180229472723202,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.12162545451855147,1.0,400000.0,400000.0,400000.0,"[0.06402311712, 0.0054724436266666695, 0.06949556074666667]","[0.06376804173454652, 0.005100062000549342]","[0.6717667377564038, 0.8282332622435963]","[513140.4229326098, 5738.989951556111]","[181471.0, 16631.0]","[0.0, 0.0]","[0.0, 0.0]","[2.9124272438174614e-14, 0.0]",3.2123559754926836,"[0.06778554118288752, 0.030851158416295488]","[364709.0, 0.0, 35291.0, 0.0]","[1.2357472633348436, 0.0, 1.993697187114147, 0.0]",0.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,isolated_fastest,0.8,20,1,complete,0.08226160118294529,0.08307666181413204,0.08540763348002109,0.08307666181413204,0.08307666181413204,0.003146032297075799,0.0,98686.0,98686.0,98686.0,"[0.9909984912933328, 0.007287276813333329, 0.9982857681066667]","[0.018025363961039285, 2.0252182041244297e-05]","[0.6508665614819625, 0.9999795568233492]","[75009.66788868819, 2269115.111076965]","[98494.0, 76709.0]","[0.0, 76709.0]","[0.0, 0.0]","[1.1667750099420005e-13, 14587.395356892372]",2.0529809985100584,"[0.0359018889832301, 0.031995974343673184]","[98494.0, 192.0, 0.0, 0.0]","[0.07376505832668998, 0.009769565103432859, 0.0, 0.0]",301314.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,isolated_fastest,1.0,20,1,complete,0.4853591709826663,0.4901681845025177,0.5039213628879459,0.4901681845025177,0.4901681845025177,0.018562191905279527,0.0,166968.0,166968.0,166968.0,"[0.9909984912933328, 0.008771802253333332, 0.9997702935466665]","[0.014420291168831428, 0.00933005364911171]","[0.5206932491855703, 0.9905778587918552]","[27356.194210626818, 1837810.552832783]","[65386.0, 84797.0]","[0.0, 16515.0]","[0.0, 0.0]","[5.760322774328586e-14, 137.98585649881824]",2.0529809985100584,"[0.0359018889832301, 0.03293242865848045]","[98494.0, 192.0, 68282.0, 0.0]","[0.07376505832668998, 0.009769565103432859, 0.40933562214442354, 0.0]",233032.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,30,isolated_fastest,1.2,20,1,complete,2.0324493076770684,2.0525871288688324,2.1101787837895154,2.0525871288688324,2.0525871288688324,0.07772947611244721,1.0,183483.0,183483.0,183483.0,"[0.9909984912933328, 0.008771802253333332, 0.9997702935466666]","[0.012016909307359526, 0.007851703516759099]","[0.4339110409879752, 0.825481548993212]","[16335.619506679383, 44216.243601293296]","[65386.0, 68047.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",2.0529809985100584,"[0.0359018889832301, 0.03293242865848045]","[98494.0, 192.0, 84797.0, 0.0]","[0.07376505832668998, 0.009769565103432859, 1.980367429485631, 0.0]",216517.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,queue_haul,0.8,20,1,complete,0.002789921409008103,0.002817564380599799,0.002896619828839766,0.002817564380599799,0.002817564380599799,0.00010669841983166316,0.0,16759.0,16759.0,16759.0,"[0.5658942739413335, 0.0013406699119999999, 0.5672349438533331]","[1.2330245550479102e-05, 8.18855406973418e-09]","[0.9999876544724448, 0.9999999918002122]","[57991405.360032775, 38468434.05596118]","[193989.0, 128577.0]","[193989.0, 128577.0]","[0.0, 0.0]","[79344.01994517639, 27401.378122318536]",3.212355975492684,"[0.05009849248893872, 0.03585617051734458]","[0.0, 16759.0, 0.0, 0.0]","[0.0, 0.0028330962557223736, 0.0, 0.0]",383241.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,queue_haul,1.0,20,1,complete,3.1802294727232017,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.12162545451855193,1.0,400000.0,400000.0,400000.0,"[0.5662196906160001, 0.24151702727200003, 0.8077367178880002]","[0.004667964764663713, 0.0035104171845618524]","[0.8993968799650748, 0.9006031200349248]","[1173923.8841350856, 793318.7232999583]","[151904.0, 130735.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",3.212355975492684,"[0.052151255216277614, 0.04648544438290536]","[201800.0, 16759.0, 180977.0, 464.0]","[1.6094544506565942, 0.0028330962557223736, 1.5933191635935315, 0.023837739943141797]",0.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,queue_haul,1.2,20,1,complete,3.1802294727232017,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.12162545451855193,1.0,400000.0,400000.0,400000.0,"[0.5662196906160001, 0.24151702727200003, 0.8077367178880002]","[0.003889970637219757, 0.002925347653801543]","[0.7494973999708958, 0.7505026000291043]","[199445.17103641338, 124628.33183496883]","[85397.0, 97497.0]","[0.0, 0.0]","[0.0, 0.0]","[5.770037225794056e-14, 5.796058077933708e-14]",3.212355975492684,"[0.052151255216277614, 0.04648544438290536]","[201800.0, 16759.0, 180977.0, 464.0]","[1.6094544506565942, 0.0028330962557223736, 1.5933191635935315, 0.023837739943141797]",0.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,greedy,0.8,20,1,complete,4.313098896665285e-06,4.355833745714342e-06,4.478050079650575e-06,4.355833745714342e-06,4.355833745714342e-06,1.6495118298529033e-07,0.0,2.0,2.0,2.0,"[0.006382276997333333, 0.0003282155520000001, 0.006710492549333332]","[9.70588813864247e-07, 1.17253335781125e-05]","[0.9999990284404202, 0.9999882495718314]","[108833589.96538302, 7793734.886375171]","[364229.0, 26075.0]","[364229.0, 26075.0]","[0.0, 0.0]","[142971.27867432073, 6441.3764962232635]",3.2123559754926836,"[0.0676591600883639, 0.02946950156293826]","[0.0, 0.0, 2.0, 0.0]","[0.0, 0.0, 4.379845358814992e-06, 0.0]",399998.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,greedy,1.0,20,1,complete,3.0500574891797716,3.080277929172886,3.166704615310436,3.080277929172886,3.080277929172886,0.11664712613066472,0.0,397427.0,397427.0,397427.0,"[0.006384360064000003, 0.0005651960106666663, 0.006949556074666667]","[0.007628640942595108, 0.0006335867767239203]","[0.8006355481676938, 0.9993644518323066]","[1581852.2760341438, 7747363.183506845]","[247384.0, 35719.0]","[0.0, 2573.0]","[0.0, 0.0]","[1.2958904782589542e-13, 29.170933386994943]",3.2123559754926836,"[0.06767230029273819, 0.03096439930644479]","[364279.0, 0.0, 33148.0, 0.0]","[1.213607253297309, 0.0, 1.8836507642342157, 0.0]",2573.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,greedy,1.2,20,1,complete,3.180229472723203,3.211739676804835,3.3018549272417537,3.211739676804835,3.211739676804835,0.121625454518551,1.0,400000.0,400000.0,400000.0,"[0.006384360064000003, 0.0005651960106666665, 0.006949556074666667]","[0.006357200785495927, 0.0005296095880136557]","[0.667196290139744, 0.8328037098602559]","[498084.0842156496, 6065.030018379878]","[181040.0, 16631.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",3.2123559754926836,"[0.06767230029273819, 0.03096439930644479]","[364279.0, 0.0, 35721.0, 0.0]","[1.213607253297309, 0.0, 2.015837197151681, 0.0]",0.0,"[40.0, 40.0, 40.0]"
gpt-oss-20b,coding,8,40,300,kv_only,0.8,20,1,complete,0.41145605900432175,0.41553282909310046,0.4271918826673735,0.41553282909310046,0.41553282909310046,0.015735823663051766,1.0,4395.0,4395.0,4395.0,"[0.0, 0.9999887892480002, 0.9999887892480002]","[0.0, 0.0]","[0.625, 0.7543793616257497]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]","[0.0, 0.0]",0.41561256542390496,"[0.027399083221995246, 0.027907700825899218]","[0.0, 0.0, 0.0, 4395.0]","[0.0, 0.0, 0.0, 0.4178234614049097]",395605.0,"[40.0, 40.0, 40.0]"
