api_request_bytes,attempt,background,bandwidth,condition_index,deadline_met,deadline_s,destination,error,kv_response_bytes,median_tcp_rtt_ms,migration_s,policy,repeat,retransmissions,scenario_id,status,workload
15944,1,"{""east"": [0, 0]}",controlled_80,8192,True,180,east,,270,,1.989943604,replay,2,0,faea7381fb94d2d6,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_80,2048,True,180,east,,75497574,,2.653875732,kv_transfer,2,0,accb36868d0d208a,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",controlled_80,32768,True,180,east,,1134,,7.417545363,replay,2,0,97a7cda91263cdb4,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",controlled_80,32768,True,180,east,,1585449054,,13.84348453,kv_transfer,2,0,9a40f64e45abad94,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_80,8192,True,180,east,,377487870,,5.104172935,kv_transfer,1,0,eeb6a353507636db,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_80,2048,True,180,east,,54,,1.075476628,replay,0,0,cbddc5368848bf1d,complete,agentic_tool_loop
65096,1,"{""east"": [0, 0]}",controlled_80,32768,True,180,east,,1585449054,,14.871467149,kv_transfer,1,0,3e9bb2cad33baf1f,complete,agentic_tool_loop
65096,1,"{""east"": [0, 0]}",controlled_80,32768,True,180,east,,1134,,7.422689581,replay,1,0,332435abaefe6bf9,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_80,2048,True,180,east,,75497574,,2.454751115,kv_transfer,1,0,dc1df1b309cb46eb,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_80,8192,True,180,east,,270,,2.011572231,replay,0,0,95d5718c00c68d59,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_80,8192,True,180,east,,377487870,,4.945112218,kv_transfer,2,0,2208ceea2eafe47b,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",controlled_80,32768,True,180,east,,1585449054,,13.688305095,kv_transfer,0,0,cbdcb35ca0c0e087,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",controlled_80,32768,True,180,east,,1134,,7.417471688,replay,0,0,e47f0ca40398e32d,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_80,8192,True,180,east,,377487870,,4.808783322,kv_transfer,0,0,c8681ece05a8ea1c,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_80,2048,True,180,east,,75497574,,2.485806853,kv_transfer,0,0,73997749c2321791,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_80,8192,True,180,east,,270,,1.946362506,replay,1,0,542980d07d4c222a,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_80,2048,True,180,east,,54,,1.064634411,replay,1,0,f9d2fb8958563048,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_80,2048,True,180,east,,54,,1.102766898,replay,2,0,cbacebf1220e0c09,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_40,2048,True,180,east,,54,,1.129661272,replay,2,0,506204087ff2d417,complete,agentic_tool_loop
65096,1,"{""east"": [0, 0]}",controlled_40,32768,True,180,east,,1585449054,,19.869244653,kv_transfer,1,0,623689834a525d06,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_40,2048,True,180,east,,54,,1.079525902,replay,1,0,dd36e211d7d2408c,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_40,8192,True,180,east,,270,,1.978138339,replay,0,0,78f88dd3a0ac98b9,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",controlled_40,32768,True,180,east,,1585449054,,19.726174552,kv_transfer,0,0,a3eb6dbfc6928dad,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",controlled_40,32768,True,180,east,,1134,,7.409511565,replay,0,0,6279bcaa0a1e3511,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_40,2048,True,180,east,,75497574,,2.835720263,kv_transfer,1,0,5c80070e3991b261,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",controlled_40,32768,True,180,east,,1585449054,,19.727196049,kv_transfer,2,0,73308cee6732d120,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",controlled_40,32768,True,180,east,,1134,,7.4335128,replay,2,0,b52e9b3aba204738,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_40,8192,True,180,east,,270,,1.968447538,replay,2,0,fd978e3659b90cc9,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_40,8192,True,180,east,,377487870,,5.979994877,kv_transfer,2,0,58d4866836a50060,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_40,2048,True,180,east,,54,,1.110491055,replay,0,0,8a91d887aff63f51,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_40,2048,True,180,east,,75497574,,2.881711619,kv_transfer,2,0,ca1de1fcad5cd46a,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",controlled_40,2048,True,180,east,,75497574,,2.87501972,kv_transfer,0,0,80480faa1be2af75,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_40,8192,True,180,east,,377487870,,6.010149074,kv_transfer,1,0,2caf5e97a2008d37,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_40,8192,True,180,east,,377487870,,5.960427938,kv_transfer,0,0,1e171566ad21c6a3,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",controlled_40,8192,True,180,east,,270,,1.940371028,replay,1,0,d5287aea2e012884,complete,agentic_tool_loop
65096,1,"{""east"": [0, 0]}",controlled_40,32768,True,180,east,,1134,,7.391420519,replay,1,0,477d5aa10d1599cd,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",natural,2048,True,180,east,,54,,1.122242094,replay,1,0,4a6531c1ec791322,complete,agentic_tool_loop
3655,1,"{""east"": [0, 0]}",natural,2048,True,180,east,,75497574,,2.447881926,kv_transfer,0,0,c91e745b733dfb74,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",natural,8192,True,180,east,,377487870,,4.410370393,kv_transfer,2,0,0b3d4fb2c282a30f,complete,agentic_tool_loop
15944,1,"{""east"": [0, 0]}",natural,8192,True,180,east,,270,,1.99166759,replay,0,0,6fc4f715badd8068,complete,agentic_tool_loop
65095,1,"{""east"": [0, 0]}",natural,32768,True,180,east,,1585449054,,11.529635815,kv_transfer,0,0,da46cedb153ea239,complete,agentic_tool_loop
