scenario_id,session_id,order,method,destination,policy,bandwidth,bandwidth_mbps,workload,scheduler_wait_s,migration_ttft_s
0b044b5e5fa1538e,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.00037485,1.721572912
0b3d4fb2c282a30f,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,natural,2156.442281566448,agentic_tool_loop,0.00034822,4.1818372
0ec211e9c637bd0e,codex:e381cc89-38ef-e67e-79b9-4b800369b4f5,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.000649905,7.142595637
1e171566ad21c6a3,claude:1534babd-9b9e-68e0-057e-d9ce7e08adf0,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.000363519,5.795204938
2208ceea2eafe47b,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.000384198,4.728260758
2caf5e97a2008d37,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,kv_transfer,east,kv_transfer,controlled_40,800,agentic_tool_loop,0.000461302,5.787738066
332435abaefe6bf9,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.000670778,7.197525107
3e9bb2cad33baf1f,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,kv_transfer,east,kv_transfer,controlled_80,1700,agentic_tool_loop,0.000819807,14.650542949
477d5aa10d1599cd,claude:eaad8d63-63bf-7139-f930-0ef47fa45253,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000583816,7.16133134
4a6531c1ec791322,claude:92cc24b6-ac8d-5231-bb2d-33b876557766,0,replay,east,replay,natural,2156.442281566448,agentic_tool_loop,0.000335367,0.900830421
506204087ff2d417,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,controlled_40,800,agentic_tool_loop,0.000379184,0.905578273
542980d07d4c222a,claude:e2fd4f89-016f-29f0-48a1-3b2f1991b287,0,replay,east,replay,controlled_80,1700,agentic_tool_loop,0.000377555,1.718939907
