policy,deadline_s,target_frac,target_w,full_source_drop_w,planned_source_drop_w,planned_shortfall_w,planned_hit,measured_source_drop_w,measured_sink_rise_w,total_first_token_s,total_completion_s,max_completion_s,sessions,run_root
lp,10.0,0.25,1997.208539669091,7988.834158676364,898.2324608151393,1098.9760788539515,False,55.27177074634659,32.412447764439804,16.44210195541382,16.57732605934143,10.737844944000244,2,queue-haul/outputs/stage1c_grid/lp_D10_T0p25
lp,10.0,0.45,3594.9753714043636,7988.834158676364,898.2324608151393,2696.7429105892243,False,86.33231250000006,31.588458333333335,16.88381028175354,17.207189321517944,11.444222450256348,2,queue-haul/outputs/stage1c_grid/lp_D10_T0p45
lp,10.0,0.65,5192.742203139636,7988.834158676364,898.2324608151393,4294.509742324497,False,65.73020876826723,31.64858037578287,13.720181226730347,13.873570919036865,8.074805498123169,2,queue-haul/outputs/stage1c_grid/lp_D10_T0p65
lp,30.0,0.25,1997.208539669091,7988.834158676364,898.2324608151393,1098.9760788539515,False,79.74204592901879,31.231461377870545,22.309072017669678,22.441465616226196,16.601405143737793,2,queue-haul/outputs/stage1c_grid/lp_D30_T0p25
lp,30.0,0.45,3594.9753714043636,7988.834158676364,898.2324608151393,2696.7429105892243,False,90.3415866388309,39.550459290187874,18.4129798412323,18.543346166610718,12.784295320510864,2,queue-haul/outputs/stage1c_grid/lp_D30_T0p45
lp,30.0,0.65,5192.742203139636,7988.834158676364,898.2324608151393,4294.509742324497,False,61.47374712943633,32.65764518093248,16.821596384048462,17.124708890914917,11.310526609420776,2,queue-haul/outputs/stage1c_grid/lp_D30_T0p65
lp,120.0,0.25,1997.208539669091,7988.834158676364,1972.637747972356,24.570791696734887,False,135.8635416666667,105.8659375,20.53421950340271,20.982529640197754,13.707054376602173,2,queue-haul/outputs/stage1c_grid/lp_D120_T0p25
lp,120.0,0.45,3594.9753714043636,7988.834158676364,1972.637747972356,1622.3376234320076,False,141.22342379958246,92.24922755741129,19.778812646865845,20.09754705429077,13.10106086730957,2,queue-haul/outputs/stage1c_grid/lp_D120_T0p45
lp,120.0,0.65,5192.742203139636,7988.834158676364,1972.637747972356,3220.1044551672803,False,137.5258333333333,93.50754166666663,14.68029522895813,15.04531192779541,7.751678705215454,2,queue-haul/outputs/stage1c_grid/lp_D120_T0p65
random,10.0,0.25,1997.208539669091,7988.834158676364,792.602037608216,1204.6065020608748,False,204.8170348382046,130.9678241127349,57.71926140785217,58.310168981552124,21.8523268699646,5,queue-haul/outputs/stage1c_grid/random_D10_T0p25
random,10.0,0.45,3594.9753714043636,7988.834158676364,792.602037608216,2802.3733337961476,False,199.09195833333334,136.13527083333332,66.81028294563293,67.3839635848999,22.571564197540283,5,queue-haul/outputs/stage1c_grid/random_D10_T0p45
random,10.0,0.65,5192.742203139636,7988.834158676364,792.602037608216,4400.14016553142,False,205.0757083333333,131.71464583333335,70.0571346282959,70.61510920524597,24.647902488708496,5,queue-haul/outputs/stage1c_grid/random_D10_T0p65
random,30.0,0.25,1997.208539669091,7988.834158676364,792.602037608216,1204.6065020608748,False,205.57677083333328,119.56022916666666,61.9186110496521,62.612969636917114,17.97200036048889,5,queue-haul/outputs/stage1c_grid/random_D30_T0p25
random,30.0,0.45,3594.9753714043636,7988.834158676364,792.602037608216,2802.3733337961476,False,206.43478079331942,123.57346555323589,70.90554237365723,71.4128406047821,30.304997444152832,5,queue-haul/outputs/stage1c_grid/random_D30_T0p45
random,30.0,0.65,5192.742203139636,7988.834158676364,792.602037608216,4400.14016553142,False,199.01058455114824,136.29212943632564,65.66361951828003,66.27889704704285,24.641632318496704,5,queue-haul/outputs/stage1c_grid/random_D30_T0p65
random,120.0,0.25,1997.208539669091,7988.834158676364,792.602037608216,1204.6065020608748,False,208.33382045929022,136.99507306889353,68.55918073654175,69.17428731918335,21.777974605560303,5,queue-haul/outputs/stage1c_grid/random_D120_T0p25
random,120.0,0.45,3594.9753714043636,7988.834158676364,792.602037608216,2802.3733337961476,False,203.64950000000002,138.66354166666667,67.04143643379211,68.0957088470459,19.955255270004272,5,queue-haul/outputs/stage1c_grid/random_D120_T0p45
random,120.0,0.65,5192.742203139636,7988.834158676364,792.602037608216,4400.14016553142,False,202.5351209986082,129.78232419972164,57.735594272613525,60.12646436691284,16.343416690826416,5,queue-haul/outputs/stage1c_grid/random_D120_T0p65
greedy,10.0,0.25,1997.208539669091,7988.834158676364,798.403214906768,1198.805324762323,False,81.31069545929017,100.10433346381352,8.78449559211731,8.93770718574524,8.93770718574524,1,queue-haul/outputs/stage1c_grid/greedy_D10_T0p25
greedy,10.0,0.45,3594.9753714043636,7988.834158676364,798.403214906768,2796.5721564975956,False,103.0133958333333,102.40374999999999,8.811607360839844,9.016093492507935,9.016093492507935,1,queue-haul/outputs/stage1c_grid/greedy_D10_T0p45
greedy,10.0,0.65,5192.742203139636,7988.834158676364,798.403214906768,4394.338988232868,False,97.30360416666667,79.65916666666668,7.763393402099609,7.9213690757751465,7.9213690757751465,1,queue-haul/outputs/stage1c_grid/greedy_D10_T0p65
greedy,30.0,0.25,1997.208539669091,7988.834158676364,798.403214906768,1198.805324762323,False,74.27774360647186,87.76120907272094,7.384376287460327,7.545827388763428,7.545827388763428,1,queue-haul/outputs/stage1c_grid/greedy_D30_T0p25
greedy,30.0,0.45,3594.9753714043636,7988.834158676364,798.403214906768,2796.5721564975956,False,84.80646098643007,95.88748760438412,7.8669538497924805,8.000514268875122,8.000514268875122,1,queue-haul/outputs/stage1c_grid/greedy_D30_T0p45
greedy,30.0,0.65,5192.742203139636,7988.834158676364,798.403214906768,4394.338988232868,False,90.65602587856645,92.32977078983993,7.4201531410217285,7.5809550285339355,7.5809550285339355,1,queue-haul/outputs/stage1c_grid/greedy_D30_T0p65
greedy,120.0,0.25,1997.208539669091,7988.834158676364,798.403214906768,1198.805324762323,False,112.84333333333328,90.43306250000003,8.382215023040771,8.536654233932495,8.536654233932495,1,queue-haul/outputs/stage1c_grid/greedy_D120_T0p25
greedy,120.0,0.45,3594.9753714043636,7988.834158676364,798.403214906768,2796.5721564975956,False,82.92874169276274,99.72283981384831,8.693212509155273,8.85220456123352,8.85220456123352,1,queue-haul/outputs/stage1c_grid/greedy_D120_T0p45
