source_length_tercile,current_category,n,mean_predicted_p,observed_rate,mean_bias
swe-agent x long,ARTIFACT,3388,0.5010071182320084,0.9710743801652892,-0.47006726193328086
swe-agent x long,ENVIRONMENT,15889,0.4619508673534257,0.5119894266473661,-0.05003855929394041
swe-agent x long,INVESTIGATION,1625214,0.749893259859507,0.7586853177489241,-0.00879205788941706
swe-agent x long,NONE,74382,0.5424989085043062,0.45301282568363316,0.089486082820673
swe-agent x long,PRODUCT,1240713,0.6324559899400045,0.5997422449833282,0.03271374495667634
swe-agent x long,VALIDATION,498269,0.4980937943041192,0.45943656940327415,0.038657224900845055
swe-agent x short,ARTIFACT,14,0.5718561594047975,1.0,-0.4281438405952025
swe-agent x short,ENVIRONMENT,1791,0.5314687997635781,0.7520938023450586,-0.22062500258148054
swe-agent x short,INVESTIGATION,265779,0.6742272648059234,0.8005335259745879,-0.1263062611686645
swe-agent x short,NONE,74389,0.5424989085043062,0.6462917904528895,-0.10379288194858338
swe-agent x short,PRODUCT,216353,0.6279746847980409,0.8072779208053505,-0.17930323600730969
swe-agent x short,VALIDATION,61673,0.5798062836948081,0.7770823537042142,-0.19727607000940606
