source_length_tercile,grid_offset,bin,n,mean_predicted_p,observed_rate,mean_bias
hermes x long,1,0,514,0.0693991216708172,0.06031128404669261,0.009087837624124594
hermes x long,1,1,5330,0.1517632633751155,0.0874296435272045,0.064333619847911
hermes x long,1,2,6684,0.23814143345296887,0.16292639138240575,0.07521504207056312
hermes x long,1,3,4759,0.34782713342231164,0.16137844084891784,0.1864486925733938
hermes x long,1,4,5681,0.45714812426618984,0.32899137475796514,0.1281567495082247
hermes x long,1,5,1608,0.5444599094356549,0.4577114427860697,0.08674846664958524
hermes x long,1,6,1500,0.6199655835686201,0.31933333333333336,0.3006322502352867
hermes x long,1,7,32,0.7209249084249083,0.40625,0.3146749084249083
hermes x long,2,0,111,0.07761303356541449,0.009009009009009009,0.06860402455640548
hermes x long,2,1,1073,0.1705703568312757,0.07642124883504194,0.09414910799623376
hermes x long,2,2,5085,0.2539651532608464,0.11622418879056047,0.13774096447028594
hermes x long,2,3,5576,0.35829657845405893,0.2374461979913917,0.12085038046266725
hermes x long,2,4,4572,0.44027776687960224,0.2432195975503062,0.19705816932929604
hermes x long,2,5,3093,0.5427729606021576,0.3792434529582929,0.1635295076438647
hermes x long,2,6,3946,0.6559132790400641,0.5990876837303598,0.056825595309704324
hermes x long,2,7,2587,0.7200992164147965,0.5508310784692694,0.1692681379455271
hermes x long,2,8,61,0.8486141149647045,0.7213114754098361,0.12730263955486842
hermes x long,2,9,4,0.9,0.75,0.15000000000000002
hermes x long,4,0,1,0.0,0.0,0.0
hermes x long,4,1,96,0.16381461833470773,0.0625,0.10131461833470773
hermes x long,4,2,418,0.27744307422421943,0.10047846889952153,0.1769646053246979
hermes x long,4,3,2559,0.3619004687744841,0.20046893317702227,0.16143153559746184
hermes x long,4,4,4266,0.45131328205153176,0.24800750117205814,0.20330578087947362
hermes x long,4,5,5319,0.5550305434979239,0.3724384282759917,0.1825921152219322
hermes x long,4,6,4733,0.6392082219890904,0.47517430804986266,0.16403391393922778
hermes x long,4,7,2756,0.7562836686793142,0.6738026124818578,0.08248105619745638
hermes x long,4,8,5496,0.834017914673132,0.7832969432314411,0.050720971441690965
hermes x long,4,9,464,0.9325137228744829,0.8556034482758621,0.07691027459862076
hermes x long,8,1,1,0.18518518518518517,0.0,0.18518518518518517
hermes x long,8,2,11,0.2222222222222223,0.09090909090909091,0.13131313131313138
hermes x long,8,3,83,0.35454217423134243,0.2289156626506024,0.12562651158074004
hermes x long,8,4,197,0.4538598752385477,0.5634517766497462,-0.10959190141119851
hermes x long,8,5,511,0.5572996390688335,0.5968688845401174,-0.03956924547128393
hermes x long,8,6,4239,0.6622353164367307,0.4555319650861052,0.2067033513506255
hermes x long,8,7,5269,0.7467430952429256,0.5763902068703739,0.1703528883725517
hermes x long,8,8,6840,0.8596534792720506,0.7940058479532164,0.06564763131883422
hermes x long,8,9,8802,0.9496623737453885,0.9354692115428311,0.014193162202557397
hermes x long,16,6,133,0.6776990667828843,0.7443609022556391,-0.06666183547275484
hermes x long,16,7,208,0.7666068501855607,0.8461538461538461,-0.0795469959682854
hermes x long,16,8,1554,0.8669723097567087,0.8803088803088803,-0.013336570552171634
hermes x long,16,9,19791,0.9687580969541519,0.9394169066747512,0.029341190279400742
hermes x long,32,9,12833,0.993014402792473,0.9887789293228395,0.004235473469633488
hermes x long,64,9,2322,0.9997540769885737,1.0,-0.0002459230114263411
hermes x medium,1,0,343,0.0726250011365771,0.04956268221574344,0.023062318920833665
hermes x medium,1,1,3997,0.1434891056127986,0.14861145859394545,-0.005122352981146855
hermes x medium,1,2,3217,0.23271390798820857,0.3584084550823749,-0.12569454709416633
hermes x medium,1,3,2725,0.34413440815772495,0.4528440366972477,-0.10870962853952276
hermes x medium,1,4,2049,0.44956283979612954,0.7589067837969742,-0.30934394400084464
hermes x medium,1,5,392,0.5701512131765671,0.8903061224489796,-0.3201549092724124
hermes x medium,1,6,1027,0.6190968005432701,0.9464459591041869,-0.32734915856091684
hermes x medium,2,0,30,0.07041685525769377,0.26666666666666666,-0.1962498114089729
hermes x medium,2,1,944,0.17539743354595402,0.1461864406779661,0.029210992867987923
hermes x medium,2,2,3983,0.2507180642174386,0.25809691187547074,-0.0073788476580321505
hermes x medium,2,3,2955,0.35774571681479284,0.5106598984771573,-0.15291418166236448
hermes x medium,2,4,2540,0.4439961339937096,0.6015748031496063,-0.15757866915589674
hermes x medium,2,5,1753,0.5409383269003956,0.8659440958357102,-0.32500576893531463
hermes x medium,2,6,465,0.6588482965082687,0.8924731182795699,-0.23362482177130117
hermes x medium,2,7,1077,0.7040479157093107,0.9916434540389972,-0.28759553832968654
hermes x medium,2,8,3,0.8000000000000002,1.0,-0.19999999999999984
hermes x medium,4,0,1,0.0,1.0,-1.0
hermes x medium,4,1,13,0.14580657437800296,1.0,-0.8541934256219971
hermes x medium,4,2,261,0.2752393875404184,0.29118773946360155,-0.01594835192318317
hermes x medium,4,3,2125,0.3636539265898132,0.37929411764705884,-0.015640191057245623
hermes x medium,4,4,3144,0.4456225751310393,0.4844147582697201,-0.03879218313868077
hermes x medium,4,5,2938,0.5508803333721579,0.685500340367597,-0.13462000699543908
hermes x medium,4,6,3033,0.6463775698316833,0.8974612594790636,-0.25108368964738037
hermes x medium,4,7,938,0.7593676533119493,0.9317697228144989,-0.17240206950254955
hermes x medium,4,8,1198,0.8173342392648208,0.9891485809682805,-0.17181434170345966
hermes x medium,4,9,99,0.9119539058362874,0.98989898989899,-0.07794508406270251
hermes x medium,8,1,1,0.18518518518518517,1.0,-0.8148148148148149
hermes x medium,8,2,3,0.2222222222222222,1.0,-0.7777777777777778
hermes x medium,8,3,27,0.36056343441331334,1.0,-0.6394365655866867
hermes x medium,8,4,24,0.4185481326275971,0.875,-0.4564518673724029
hermes x medium,8,5,127,0.5565082876206878,0.7322834645669292,-0.17577517694624134
hermes x medium,8,6,3273,0.6642322668181442,0.7442713107241063,-0.08003904390596217
hermes x medium,8,7,4157,0.7477285973013402,0.9124368535001203,-0.16470825619878005
hermes x medium,8,8,3489,0.8500360284962866,0.9908283175695042,-0.1407922890732176
hermes x medium,8,9,2637,0.9337466125590576,0.9965870307167235,-0.06284041815766594
hermes x medium,16,6,24,0.6714478074527909,1.0,-0.32855219254720913
hermes x medium,16,7,21,0.7581945521460309,1.0,-0.24180544785396907
hermes x medium,16,8,310,0.8625222555340462,1.0,-0.13747774446595384
hermes x medium,16,9,12731,0.9631103708611478,1.0,-0.03688962913885219
hermes x medium,32,9,9767,0.9938993855208562,1.0,-0.006100614479143784
hermes x medium,64,9,2305,0.9997542270204336,1.0,-0.0002457729795664054
hermes x short,1,0,171,0.06964237755340454,0.40350877192982454,-0.33386639437642
hermes x short,1,1,1279,0.14757290379093507,0.5926505082095387,-0.4450776044186036
hermes x short,1,2,1729,0.22713349636562163,0.38519375361480623,-0.1580602572491846
hermes x short,1,3,1361,0.34067624490640686,0.7362233651726672,-0.3955471202662603
hermes x short,1,4,352,0.4464486911289667,0.8636363636363636,-0.41718767250739697
hermes x short,1,6,30,0.6111111111111108,0.9333333333333333,-0.3222222222222225
hermes x short,2,0,17,0.058927049080501774,0.4117647058823529,-0.35283765680185114
hermes x short,2,1,292,0.1740693002268077,0.8013698630136986,-0.627300562786891
hermes x short,2,2,2105,0.26431183524532037,0.6437054631828979,-0.3793936279375775
hermes x short,2,3,1171,0.3559845111613218,0.695132365499573,-0.33914785433825123
hermes x short,2,4,1042,0.43790881050159663,0.8934740882917467,-0.45556527779015005
hermes x short,2,5,207,0.5427514059874853,0.9710144927536232,-0.4282630867661379
hermes x short,2,6,88,0.6339902186421171,0.8522727272727273,-0.21828250863061016
hermes x short,4,2,120,0.2731337206329225,0.95,-0.6768662793670774
hermes x short,4,3,821,0.3652990231233008,0.9610231425091352,-0.5957241193858345
hermes x short,4,4,2005,0.44472058807039644,0.8623441396508729,-0.4176235515804764
hermes x short,4,5,1424,0.543457232654652,0.9276685393258427,-0.38421130667119074
