stratum,bin,n,mean_predicted_p,observed_rate
pooled,0,318183,0.058436897865500215,0.07847685137169491
pooled,1,509143,0.1488775338788781,0.18230634615422386
pooled,2,459562,0.2525574324509431,0.28689491298236147
pooled,3,369980,0.35157238713081007,0.3855397589058868
pooled,4,299483,0.4483196195570663,0.4852362237589446
pooled,5,375828,0.5544342981364727,0.583836222953053
pooled,6,412162,0.6454179773797201,0.6772337090755577
pooled,7,499299,0.7510657138394088,0.7803861013140423
pooled,8,671566,0.8557238981873567,0.8724444060598661
pooled,9,2023675,0.9720908133887682,0.9778304322581443
swe-agent,0,306003,0.05817339728018771,0.07723126897448718
swe-agent,1,460574,0.14840907478414195,0.18200983989543482
swe-agent,2,403894,0.25340061487830867,0.2882365175021169
swe-agent,3,318405,0.3520992899521077,0.38810948320535166
swe-agent,4,247305,0.448204432246221,0.4898566547380765
swe-agent,5,338717,0.5551264416304953,0.5857190515976464
swe-agent,6,361118,0.6447984197326521,0.6791824279044523
swe-agent,7,459286,0.7515364178688949,0.7822424371742226
swe-agent,8,619374,0.8564223933050887,0.8737305731270606
swe-agent,9,1872736,0.9725277440221289,0.9786884002870666
swe-agent x long,0,189193,0.061352162423510145,0.09460709434281395
swe-agent x long,1,298069,0.148260598562098,0.19850437314849917
swe-agent x long,2,254339,0.2522393868357901,0.2716295967193392
swe-agent x long,3,187706,0.3488125889121591,0.3380499291445132
swe-agent x long,4,169435,0.45009392111614716,0.43786702865405613
swe-agent x long,5,195722,0.5539700708082578,0.47448421741040864
swe-agent x long,6,213433,0.6476356246254158,0.592555977754143
swe-agent x long,7,274040,0.7493708044651193,0.6828236753758575
swe-agent x long,8,367101,0.8544250115699871,0.7946423463842376
swe-agent x long,9,1308817,0.9731301751639057,0.969736792844225
swe-agent x short,0,44637,0.05108962888824094,0.05905414790420503
swe-agent x short,1,54406,0.14229766500410554,0.15226261809359262
swe-agent x short,2,43636,0.25771563221525295,0.45519754331286094
swe-agent x short,3,40418,0.36468456021997375,0.6454055123954674
swe-agent x short,4,21649,0.4350741872071749,0.7758326019677583
swe-agent x short,5,40793,0.5564638058734793,0.9514132326624666
swe-agent x short,6,53628,0.6372030684912935,0.9600395315879764
swe-agent x short,7,59432,0.7602864923944788,0.9999158702382555
swe-agent x short,8,84987,0.861283114968992,0.9999647004836034
