stratum,n,full_key_rate,low_confidence_rate
pooled,917299,0.9489675667366911,0.14420161801113923
swe-agent,828735,0.9600861554055277,0.13225820075174816
swe-agent x long,552078,0.940629766083778,0.1972293770083213
swe-agent x short,88581,0.9995935923053476,0.0006321897472369921
swe-agent x medium,188076,0.9985909951296285,0.00353580467470597
hermes,44780,0.9508485931219295,0.11277355962483251
hermes x medium,13750,0.9894545454545455,0.030036363636363635
hermes x short,4922,0.9969524583502641,0.008533116619260463
hermes x long,26108,0.9218247280527041,0.1759996935805117
terminalbench,43784,0.7365932760825873,0.40240727206285404
terminalbench x long,33771,0.6684729501643422,0.5011400313878772
terminalbench x medium,7845,0.9590822179732313,0.08476736775015933
terminalbench x short,2168,0.992619926199262,0.013837638376383764
