dispatch_rank,id,action,commit_result,selection_to_stage_start_s,initial_staging_s,final_delta_s,staging_s,first_token_s,sink_warm_s,completion_s,source_boundary_wait_s,switch_downtime_s
0,codex:fdd895ad-51f8-486e-c57b-0cc8111eee93,R,committed,0.9022736549377441,0.6490499973297119,8.169924020767212,8.818974018096924,1.5451099872589111,10.342354536056519,10.342758655548096,0.6207690238952637,8.170579671859741
1,codex:773fe603-6c37-a82b-eb79-8a2c5c0d1c8e,R,committed,12.4004545211792,0.5054531097412109,0.4838235378265381,0.989276647567749,12.900331020355225,14.43911099433899,14.43927812576294,1.0490696430206299,0.48421216011047363
2,codex:e717fd54-aecf-8710-559b-8d23833866c4,S,committed,0.9462528228759766,8.838554859161377,0.6651289463043213,9.503683805465698,9.767165899276733,12.40006160736084,12.40030837059021,1.9445545673370361,0.6706278324127197
3,codex:41e93e85-eff7-106f-9736-224049baedb2,R,committed,15.368858337402344,0.2963533401489258,0.0,0.2963533401489258,15.658686637878418,15.66521167755127,15.665666103363037,3.3855438232421875e-05,0.0003342628479003906
4,codex:a9de70aa-f71f-9b95-5469-d6b3ec0b3fd5,S,committed,1.4430608749389648,8.33475661277771,0.4416515827178955,8.776408195495605,9.767608642578125,10.784313440322876,10.78456449508667,4.8160552978515625e-05,1.0060420036315918
5,codex:e6744833-786a-9c87-c539-3a40cda50680,R,committed,16.505597352981567,0.641789436340332,0.3791921138763428,1.0209815502166748,17.14101266860962,20.898715257644653,20.898874282836914,3.371535062789917,0.3798816204071045
6,claude:3ab49446-c806-6a06-d8f3-51d00da9a76a,R,committed,21.752628087997437,0.6124839782714844,0.07372236251831055,0.6862063407897949,22.358582973480225,22.43929100036621,22.439507961273193,2.1457672119140625e-05,0.07428836822509766
7,codex:1db326cd-3c43-ad82-b907-27bc1f12c287,R,committed,23.308779001235962,0.9758226871490479,0.20088624954223633,1.1767089366912842,24.276687145233154,25.334879636764526,25.33513307571411,0.849088191986084,0.20135498046875
8,claude:beb7fbf4-6556-b9f2-f2be-d69abc179398,R,committed,26.239210605621338,0.5007338523864746,0.0,0.5007338523864746,26.73351788520813,26.739944458007812,26.740280151367188,2.1457672119140625e-05,0.0002493858337402344
9,codex:e4fa4daa-9887-f50a-b110-c9378383c7b1,R,committed,27.62012553215027,0.5848586559295654,0.0,0.5848586559295654,28.200291395187378,28.204984188079834,28.205402851104736,2.6941299438476562e-05,0.0003170967102050781
