condition,replicates,selected_load_ell,admission_feasible,predicted_source_drop_w,measured_source_drop_mean_w,measured_source_drop_sd_w,prediction_error_pct,measured_sink_rise_mean_w,all_drop_over_2x_baseline_sd,source_starts_after_commit,all_deadlines_hit,all_context_consistent,all_proxy_audits_ok
admission,3,0.5184836735624321,True,21.605191879351594,23.493722222222193,6.053067872634303,8.741094980394484,108.44594444444444,False,0,True,True,True
mechanism_only,3,1.6975470357549278,False,194.2160185749597,162.58463523391814,2.8852248819241018,-16.286701567220675,222.4402543859649,True,0,True,True,True
